"MES","TIRE01","TIRE02","TIRE03","TIRE04","TIRE05","TIRE06","TIRE07","TIRE08","TIRE09","TIRE10","TIRE11","TIRE12"
2003-11-01,"10.463028064426503","12.826944995422943","16.367630860687548","17.712965754250696","14.135089381703814","2.2205123201658084",,"4.6888285845948205","7.4987520468818039","6.1291603919781057","5.5158131492887712","6.0807853737785189"
2003-12-01,"10.165113090304882","12.347230838997964","15.624058003667699","18.811677164286621","13.37745064717285","1.947247729826423",,"4.1145623458059939","7.2758261339910311","5.6779845381099703","4.9663943647941169","5.4218331433369853"
2004-01-01,"9.6213709493819994","12.121769638101551","14.864065171278661","19.933150392235799","12.705405943314739","1.6426667626955302",,"3.5463993401454799","7.078334298519394","5.2758303469287338","4.3458154841924701","4.7766064873755187"
2004-02-01,"8.8707377433430548","11.459239307443994","13.927320276454346","20.96796620239736","11.942442014204996","1.3740023322559856",,"2.9394710664265675","6.5693721252784041","4.9562794012888878","3.7583513733543703","4.1629129277682049"
2004-03-01,"8.0475333192723575","10.539865952677573","12.479590918564917","22.072049901868063","11.35784802256887","1.1522470364179516",,"2.450925734912464","6.4090733079184421","4.9522644296135843","3.2220476230081241","3.673166016753509"
2004-04-01,"7.0756924310241223","9.2879334541385585","12.003553448513911","21.649613856224391","10.830218765128455","1.050019719642822","2.297164723100642","2.0385591747112097","6.299563836372954","4.9056600586727672","2.571835494714994","3.2528520488683323"
2004-05-01,"6.1083917313430582","7.8597704166242535","11.407450117194903","20.585274017973674","10.391949413330739","0.80472035583106383","2.7118633310598383","1.6323297823697862","5.8197925595401347","4.772203893689797","2.2114962079760945","2.8426903755730555"
2004-06-01,"5.8223900910317798","7.6282612146735183","10.506440048682977","19.451976476621713","9.9251593841016668","0.52268550102577205","2.3025887936145795","1.2140660803655012","5.432473448676653","4.5824225917365791","1.7053842463850883","2.459823225608782"
2004-07-01,"5.7923225364697659","7.622535875857114","9.4885129506487615","18.316422527358831","9.4899833254833119","0.48585176026106797","2.1154568288986431","0.84073728451565766","4.9324874376954613","4.436956647540824","1.3528203838548898","2.1337481546475274"
2004-08-01,"6.0241980861256321","7.8877803966573596","8.9127057834588914","17.218911443926711","9.2474196739374257","0.33449768810066255","1.8279264844046184","0.54805769846548014","4.4556853066211444","4.5175259088663378","1.0312250640146279","1.9007930229626797"
