"MES","STME01","STME02","STME03","STME04","STME05","STME06","STME07","STME08","STME09","STME10","STME11","STME12","STME13","STME14"
1998-04-01,"5.48","9.1376000000000008","3.0482","0.90880000000000005","4.1399999999999999E-2","3.0999999999999999E-3","0.1479","3.6539999999999999","0.70520000000000005","3.5900000000000001E-2","5.4709000000000003","4.7823000000000002","1.21E-2","1.9377"
1998-05-01,"5.5","8.9256399999999996","3.0856599999999998","0.91991000000000001","3.9579999999999997E-2","3.13E-3","0.14948","3.7200769999999999","0.70313000000000003","3.6299999999999999E-2","5.4909299999999996","4.7755700000000001","1.208E-2","1.9169"
1998-06-01,"5.52","9.1758000000000006","3.0394999999999999","0.90691999999999995","3.8899999999999997E-2","3.0899999999999999E-3","0.14732999999999999","3.6100400000000001","0.68930999999999998","3.5799999999999998E-2","5.5108300000000003","4.7664400000000002","1.1820000000000001E-2","1.87862"
1998-07-01,"5.54","9.0443200000000008","3.1063900000000002","0.92676000000000003","3.85E-2","3.15E-3","0.15093000000000001","3.7114099999999999","0.69599999999999995","3.6630000000000003E-2","5.5308799999999998","4.7594500000000002","1.1900000000000001E-2","1.8906000000000001"
1998-08-01,"5.55","9.3193900000000003","3.1566999999999998","0.94033999999999995","3.9059999999999997E-2","3.2000000000000002E-3","0.15160999999999999","3.8498999999999999","0.69105000000000005","3.6790000000000003E-2","5.5433300000000001","4.7108800000000004","1.1679999999999999E-2","1.83809"
1998-09-01,"5.58","9.5191300000000005","3.3303400000000001","0.99287000000000003","4.1439999999999998E-2","3.3700000000000002E-3","0.16122","4.0202099999999996","0.71304999999999996","3.9120000000000002E-2","5.5708399999999996","4.7027999999999999","1.1950000000000001E-2","1.8277300000000001"
1998-10-01,"5.6","9.3531899999999997","3.37866","1.0075700000000001","4.811E-2","3.4199999999999999E-3","0.16350000000000001","4.13523","0.71699000000000002","3.977E-2","5.5917899999999996","4.6860600000000003","1.209E-2","1.8214399999999999"
1998-11-01,"5.62","9.2705300000000008","3.2759100000000001","0.97667000000000004","4.5609999999999998E-2","3.31E-3","0.15878999999999999","3.9697100000000001","0.68635999999999997","3.8539999999999998E-2","5.6129699999999998","4.6738299999999997","1.201E-2","1.8003899999999999"
1998-12-01,"5.65","9.37819","3.3571399999999998","1.00078","4.9090000000000002E-2","3.3999999999999998E-3","0.16391","4.0801600000000002","0.69428000000000001","3.9510000000000003E-2","5.6453600000000002","4.6692600000000004","1.192E-2","1.7870699999999999"
1999-01-01,"5.67","9.2890800000000002","3.2903600000000002","0.98104000000000002","4.845E-2","3.32E-3","0.15952","3.99207","0.72614999999999996","3.8679999999999999E-2","5.6409000000000002","2.9375","1.1639999999999999E-2","1.69065"
1999-02-01,"5.7","9.1078799999999998","3.2090399999999999","0.95682","4.752E-2","3.2399999999999998E-3","0.15559000000000001","3.9512999999999998","0.69921","3.7719999999999997E-2","5.6813099999999999","2.7980299999999998","1.14E-2","1.63642"
1999-03-01,"5.73","9.20167","3.1296200000000001","0.93315999999999999","4.7480000000000001E-2","3.16E-3","0.15174000000000001","3.8322099999999999","0.68415999999999999","3.6790000000000003E-2","5.7107999999999999","3.2816100000000001","1.1820000000000001E-2","1.71214"
1999-04-01,"5.76","9.2287700000000008","3.1074099999999998","0.92650999999999994","4.8189999999999997E-2","3.14E-3","0.15065999999999999","3.7787999999999999","0.68393999999999999","3.653E-2","5.7407500000000002","3.4412500000000001","1.1860000000000001E-2","1.72062"
1999-05-01,"5.79","9.2464300000000001","3.07701","0.91746000000000005","4.7419999999999997E-2","3.1099999999999999E-3","0.14918000000000001","3.7771699999999999","0.67105000000000004","3.6170000000000001E-2","5.7744499999999999","3.3546499999999999","1.1690000000000001E-2","1.73586"
1999-06-01,"5.81","9.1134599999999999","3.0604200000000001","0.91252","4.7840000000000001E-2","3.0899999999999999E-3","0.14838000000000001","3.7354799999999999","0.68533999999999995","3.5970000000000002E-2","5.79087","3.2656499999999999","1.1180000000000001E-2","1.73665"
1999-07-01,"5.85","9.4300300000000004","3.1983799999999998","0.95365999999999995","5.0529999999999999E-2","3.2299999999999998E-3","0.15507000000000001","3.9185400000000001","0.71257999999999999","3.7600000000000001E-2","5.8305199999999999","3.2533500000000002","1.1339999999999999E-2","1.75023"
1999-08-01,"5.89","9.3262599999999996","3.1413899999999999","0.93667","5.3039999999999997E-2","3.1700000000000001E-3","0.15231","3.8383600000000002","0.70521999999999996","3.6929999999999998E-2","5.8708799999999997","3.04461","1.1350000000000001E-2","1.73926"
1999-09-01,"5.93","9.70078","3.21088","0.95737000000000005","5.518E-2","3.2399999999999998E-3","0.15568000000000001","3.92496","0.72223000000000004","3.7740000000000003E-2","5.9009999999999998","3.06494","1.11E-2","1.7047099999999999"
1999-10-01,"5.96","9.7309099999999997","3.19441","0.95245999999999997","5.6570000000000002E-2","3.2299999999999998E-3","0.15487999999999999","3.89534","0.72111999999999998","3.755E-2","5.9408899999999996","3.0121699999999998","1.0829999999999999E-2","1.7012700000000001"
1999-11-01,"5.98","9.5592400000000008","3.0769199999999999","0.91739999999999999","5.833E-2","3.1099999999999999E-3","0.14918000000000001","3.75197","0.70245000000000002","3.6170000000000001E-2","5.9609500000000004","3.1041699999999999","1.0919999999999999E-2","1.7067600000000001"
