"MES","BCFP01","BCFP02","BCFP03","BCFP04","BCFP05","BCFP06","BCFP07","BCFP08","BCFP09","BCFP10","BCFP11","BCFP12","BCFP13","BCFP14","BCFP15","BCFP16","BCFP17","BCFP18","BCFP19","BCFP20","BCFP21","BCFP22","BCFP23","BCFP24","BCFP25","BCFP26","BCFP27","BCFP28","BCFP29","BCFP30","BCFP31","BCFP32"
1999-05-01,"5799480.7829999998","1770719.7830000001","4028761","1030548","2998202","11",,"19204550.641181402","4983174","279001","4698913","5260",,"13746691","96007","13505823","144861",,"474685.64118140005","61123","384361.64118140005","29201",,"4511035.1843547001","2149306.0240000002",,"1861004.4103546999","500724.75","130151.999","4043587.2060685004","14107183.082142901","5581804.5935550006"
1999-06-01,"5523143.1179999998","1766862.118","3756281","968547","2787722","12",,"19180437.900083899","4902582","253280","4643946","5356",,"13797111","90582","13552954","153575",,"480744.90008389996","52638","425974.90008389996","2132",,"4631919.2000768995","1989388.2930000001",,"2107501.6960768998","535029.21100000001","130447.488","4009741.8983495003","14293526.958909499","5060498.1557557005"
1999-07-01,"5487541.8499999996","1789951.85","3697590","984296","2713282","12",,"19573525.566060301","4971614","240516","4727167","3931",,"14143176","131534","13875400","136242",,"458735.56606029999","46470","409964.56606029999","2301",,"4458457.7255213","2016119.31",,"1909858.9465212999","532479.46900000004","133623.402","4085519.4979114998","14366976.377818784","5093035.9244966721"
1999-08-01,"5374531.8909999998","1697227.8910000001","3677304","956982","2720310","12",,"19731704.100425702","5010980","240641","4765288","5051",,"14262262","129606","13999337","133319",,"458462.10042570002","42997","413210.10042570002","2255",,"4556493.4819657002","2020561.882",,"2009598.0599657001","526333.54","133507.93","4132282.2834734996","6346549.5394830629","5156313.4752376443"
1999-09-01,"5396165.2050000001","1717373.2050000001","3678792","956926","2721854","12",,"20188019.915249001","5152366","261992","4885461","4913",,"14460755","125702","14201060","133993",,"574898.91524900007","46686","525928.91524900007","2284",,"4875487.7540489994","1900856.2749999999",,"2445317.1720489999","529314.30700000003","137465.37400000001","4189529.0478949999","6401659.3870190242","5518407.181293373"
1999-10-01,"5413847.7379999999","1780998.7379999999","3632849","1004679","2628158","12",,"20212674.335013401","5177563","237581","4936168","3814",,"14547197","127660","14284077","135460",,"487914.33501340001","45271","440360.33501340001","2283",,"4952536.01578","2183238.0929999999",,"2257318.4227799997","511979.5","138405.152","4222499.6904569995","6569619.3823683057","5586131.3930000002"
1999-11-01,"6091588.5159999998","1730618.5160000001","4360970","990857","3370101","12",,"19885154.544895601","5183589","262189","4918262","3138",,"14202876","130280","13936305","136291",,"498689.5448956","43127","453270.5448956","2292",,"5071210.2137599997","2409185.0870000003",,"2203579.8997599999","458445.22700000001","141473.23699999999","4237328.9779599998","6587446.2450429471","5569190.9360000007"
1999-12-01,"5892976.8629999999","2157813.8629999999","3735163","995036","2740115","12",,"19883996.7547778","5318898","326943","4988966","2989",,"14071800","128801","13803911","139088",,"493298.75477780006","37048","454049.75477780006","2201",,"4629965.2856789995","1853475.9270000001",,"2316364.0766789997","460125.28200000001","140262.64199999999","4265781.5684799999","6875943.0197175872","5640538.8399999999"
2000-01-01,"5628308.4440000001","1779836.4439999999","3848472","1029231","2819229","12",,"20256923.5696011","5542398","270643","5268830","2925",,"14197646","139919","13927797","129930",,"516879.5696011","45256","469382.5696011","2241",,"4667559.3696104996","1973192.335",,"2229656.9396104999","464710.09500000003","144113.6666","4262192.7597599998","6853489.8583989004","5681294.0573800001"
2000-02-01,"5487326.477","1686806.477","3800520","1013903","2786605","12",,"20249874.3844244","5614911","312648","5299946","2317",,"14084761","139641","13814394","130726",,"550202.38442440005","45044","502903.38442439999","2255",,"4833974.6800419996","2215295.483",,"2162139.498042","456539.69900000002","142662.715","4172532.5700400001","6970166.6715756003","5801348.7408100003"
2000-03-01,"5457774.9780000001","1677700.7779999999","3780074.2","996732.8","2783329.4","12",,"20312191.437120002","5580813","305299","5274243","1271",,"14276072","140647","14003056","132369",,"455306.43712000002","39529","413501.43712000002","2276",,"4790751.0773200002","2080300.825",,"2249964.0573200001","460486.19500000001","150660.08300000001","4247156.3000799995","7213304.0948800007","5763345.5290299999"
2000-04-01,"5754236.1809999999","1773143.281","3981092.9","1014298.6","2966782.1","12.2",,"20261536.833356701","5556814.2999999998","271897","5283488","1429.3",,"14285076.700000001","132718.9","14027224.9","125132.9",,"419645.83335670002","43584","373807.83335670002","2254",,"4969100.8788775001","2361348.2330000005",,"2148794.7598775001","458957.886","150628.29300000001","4044447.7413600003","7269753.5476433001","5770097.6159000006"
