"MES","SEPU01","SEPU02","SEPU03","SEPU04","SEPU05","SEPU06","SEPU07","SEPU08","SEPU09","SEPU10","SEPU11"
1998-01-01,"329.56","3.2154696132597","3114.7","2877.74","896.37","25.834430000000001","5120.18","278.11531610667839",,"814.02781888132586","504.83681647081045"
1998-02-01,"453.6","2.978723404255319","3223.4","2209.3000000000002","752.88","3.5404599999999999","5332.77","257.17017208413",,"690.08034953900847","562.21906789685363"
1998-03-01,"345.58","3.5762711864406778","3096.82","2469.96","797.79","4.1533699999999998","5457.07","307.2939145446698",,"841.57536274800111","779.16203777178225"
1998-04-01,"352.19","2.9786729857819907","3047.4","2835.02","894.47","12.247730000000001","5440.12","226.93501975256459",,"1205.0594739487351","468.9075630252101"
1998-05-01,"325.14999999999998","2.6284153005464481","3033.44","2512.1","854.89","4.1313300000000002","5714.03","245.02992088035663",,"842.3121387283237","449.23440888479985"
1998-06-01,"355.57","2.6102661596958177","2730.41","4323.62","851.49","28.608419999999999","5820.99","212.13673962374642",,"1058.8980688326828","447.83801436969298"
1998-07-01,"380.27","2.375","2983.1","2476.1999999999998","848.28","24.5837","5552.16","205.3869883512132",,"827.76323219877816","378.47349363277596"
1998-08-01,"353.35","2.4","3024.4","3066.8","883.53","5.3369",,"222.81742402466747",,"916.96506992770753","405.74545943505865"
1998-09-01,"308.24","2.3879999999999999","2773.1","2439.3000000000002","721.1","6.2824999999999998","5704.43","190.59545646959222",,"1225.270623366928","484.49599667028116"
1998-10-01,"387.35","2.0805899394259","2820.9","2882","881.49","31.039899999999999",,"204.53975420115376",,"837.40983056534139","499.33144687334806"
1998-11-01,"427.89","2.3058823529411998","2493.3000000000002","2631","907.79","6.3367000000000004",,"202.902785895188",,"775.49963756860302","478.53451212107751"
1998-12-01,"402.24","2.8826740010815","2452","2584","976.14","8.3958999999999993",,"203.56472795497186",,"896.09527366280759","488.22230820000459"
1999-01-01,"467.78","2.1166079999999998","1531.2","2443.1","887.01","6.9545399999999997",,"210.94175735257693",,"812.00712286949886","380.89186259484921"
1999-02-01,"298.95999999999998","1.7417920000000002","2454.8000000000002","1933.1","788.63","6.2079000000000004",,"200.64194495663457",,"762.16781996859913","397.06862091938706"
1999-03-01,"365.94","1.8299840000000001","2768.5","1918.4","840.61","3.6555","5717.47","186.36098089226431",,"651.3381359411743","347.09080532275993"
1999-04-01,"369.71","1.9843200000000001","2664.6","2525.6999999999998","1920.36","9.0555000000000003","5717.47","204.80085794799831",,"717.82890007189076","382.26535696610267"
1999-05-01,"309.2","1.9402240000000002","2363.8000000000002","2034.4","1002.41","7.4210000000000003","5717.02","202.67514884593427",,"879.37354215261576","462.6217500255122"
1999-06-01,"340.96","2.0063680000000002","2555.3000000000002","1639.2","899.21","8.7787000000000006","6367.57","204.8452194735724",,"915.9038643639808","401.59005275056518"
1999-07-01,"295.45","1.7417920000000002","2722.2","2295.5","829.26","11.465400000000001","4868.43","207.95164372064784",,"814.19780879483721","386.91095890410958"
1999-08-01,"302.38200000000001","1.7858880000000001","2662.8","1629","735.21","5.1718000000000002","5372.39","212.994572484858",,"723.01364365971108","462.73339749759384"
1999-09-01,"351.72","3.5717760000000003","3574.9","1705","811.33","10.4444","5003.8999999999996","198.08799342105263",,"563.30061983471069","477.67451745657593"
1999-10-01,"347.28","1.6536","3030.7","1912.4","982.3","8.0744000000000007","5614.88","210.38696537678209",,"566.74363454817774","411.53839190339107"
1999-11-01,"311.18","1.807936","2962.6","1820","1002.07","1.5599000000000001","5031.68","192.60749841135353",,"554.76234219574292","463.6269147182648"
1999-12-01,"270.3","2.2709440000000001","2836.2","1979.1","908.41","3.0990000000000002","5194.72","198.17524734877659",,"914.94411729359445","627.92486867936532"
2000-01-01,"305.35000000000002","2.0286","2663.3","2210.5","840.18","26.928999999999998","5547.2","211.26419579188308","579.16999999999996","921.64593513993771","476.87481453219721"
2000-02-01,"302.83999999999997","2.0286","3005.3","2179.1","832.4","18.907400000000003","5619.7","222.30881130507066","547.4","599.37513313924592","562.21189986525781"
2000-03-01,"511.95","2.2491000000000003","2804.5","3148","857.11","7.5521000000000003","5301.5","227.16789667896677","484.51","1281.3799476359156","621.48716390703328"
2000-04-01,"343.21","1.5875999999999999","2838.2","3166.7","850.91","7.6627000000000001","5068.3999999999996","222.89910706834681","487.39","1016.0488245931283","458.64571582593766"
2000-05-01,"340.85","1.6758000000000002","2721.6","2773.7","470.48","11.9381","5136.37","234.02899630439259","454.14","957.51302347608419","407.52762905652594"
2000-06-01,"306.61","1.56555","2816.6","2892","695.38","13.583600000000001","5307.03","237.16918552964509","453.9","1179.6141545445166","384.81828220945204"
2000-07-01,"365.39","1.7199000000000002","2467.5","2720.4","659","25.9984","5456.06","229.81525101455856","438.95","1042.8023221489718","377.46688692881798"
2000-08-01,"289.27999999999997","1.4994000000000001","2511.1999999999998","2957","516.16999999999996","24.765599999999999","5538.83","218.84557882290861","411.4","855.58174416113127","386.1528459982664"
2000-09-01,"302.5","1.5434999999999999","2443.1999999999998","3195.6","857.03","35.621499999999997","5033.88","212.78689765687102","451.92","687.6146548561245","410.64274669665446"
2000-10-01,"360.9","1.5434999999999999","2358.1","3263.2","738.72","28.929200000000002","5217.46","201.00342800063564","416.95","594.38052359513097","454.48737348263222"
2000-11-01,"330.99","1.4994000000000001","2261.8000000000002","2743","844.56","36.975999999999999","5218.9799999999996","220.47671587943745","451.59","653.1148618126565","442.42668290479094"
