"MES","FOEP01","FOEP02","FOEP03","FOEP04","FOEP05","FOEP06","FOEP07","FOEP08","FOEP09","FOEP10","FOEP11","FOEP12","FOEP13","FOEP14","FOEP15","FOEP16","FOEP17","FOEP18","FOEP19","FOEP20","FOEP21","FOEP22","FOEP23","FOEP24","FOEP25","FOEP26","FOEP27","FOEP28","FOEP29","FOEP30","FOEP31","FOEP32","FOEP33","FOEP34","FOEP35","FOEP36","FOEP37","FOEP38","FOEP39","FOEP40"
2002-12-01,"206.552621","206.529796","167.619855"," 27.448855","140.171000"," 14.373625"," 12.506795","  1.866830"," 13.333610"," 10.681574","  2.652036"," 11.202706","  0.908360","  0.000000"," 10.294346","  0.022825","256.631892","250.292009"," 22.292691","186.034171","  3.536139","  0.482084","  8.834329","  0.000000"," 12.415997"," 16.696598","  6.339883","-43.762213","-50.079271"," 50.079271"," -5.933517","  0.000000"," -5.933517",,"  0.000000"," 56.012788"," 68.099135","  0.000000"," -9.167290"," -2.919057"
2003-01-01,"222.9511610","222.9283360","191.7841860"," 26.5869410","165.1972450"," 12.0915140"," 10.6397950","  1.4517190","  7.7396940","  6.6975740","  1.0421200"," 11.3129420","  5.0849500","  0.0000000","  6.2279920","  0.0228250","221.3500130","220.0482520"," 13.3804990","201.7005320","  0.6333885","  0.4666700","  1.0265020","  0.0000000","  3.8058270"," -0.9651665","  1.3017610","  2.8800840","  1.6011480"," -1.6011480","  0.0000000","  0.0000000","  0.0000000",,"  0.0000000"," -1.6011480"," -1.6338970","  0.0000000","  3.1035420"," -3.0707930"
2003-02-01,"206.0785340","206.0337220","176.2825800"," 24.5744540","151.7081260","  8.6072050","  7.9645590","  0.6426460"," 10.0528070","  8.4236100","  1.6291970"," 11.0911300","  0.1293810","  0.0000000"," 10.9617490","  0.0448120","230.5512637","226.7038017"," 15.7770990","192.4398360","  0.2081921","  0.0000000","  0.6447970","  0.0000000","  3.6787610"," 13.9551166","  3.8474620","-20.6700797","-24.4727297"," 24.4727297"," -1.2247103","  0.0000000"," -1.2247103",,"  0.0000000"," 25.6974400"," 28.0829690","  0.0000000"," -2.8856960","  0.5001670"
2003-03-01,"209.655478","209.603926","182.303365"," 30.050593","152.252772"," 13.351211"," 10.700020","  2.651191","  6.938298","  4.713454","  2.224844","  7.011052","  0.855736","  0.000000","  6.155316","  0.051552","182.676166","177.413721"," 12.552317","200.487446"," 12.599637","  0.035558","  0.533317","  0.000000","  3.055425","-51.849979","  5.262445"," 32.190205"," 26.979312","-26.979312","-33.286323","  0.000000","-33.286323",,"  0.000000","  6.307011"," 12.765108","  0.000000"," -6.690426","  0.232329"
2003-04-01,"234.1580300","234.0978980","206.6214270"," 30.4349070","176.1865200"," 13.7645750"," 10.7764840","  2.9880910","  7.2219300","  6.1701350","  1.0517950","  6.4899660","  0.7610000","  0.0000000","  5.7289660","  0.0601320","269.2235310","266.9451080"," 15.3649990","245.6635920","  0.2074036","  0.0000000","  0.4587550","  0.0000000","  2.9960710","  2.2542874","  2.2784230","-32.8472100","-35.0655010"," 35.0655010"," -1.0435500","  0.0000000"," -1.0435500",,"  0.0000000"," 36.1090510"," 25.8382420","  0.0000000","  6.9434740","  3.3273350"
2003-05-01,"222.097818","222.053006","191.061018"," 33.364634","157.696384"," 13.780342"," 11.296686","  2.483656","  7.040141","  5.397930","  1.642211"," 10.171505","  0.000000","  0.000000"," 10.171505","  0.044812","228.221019","225.754296"," 14.746908","206.807855","  0.000000","  0.000000","  0.603488","  0.000000","  2.057885","  1.538160","  2.466723"," -3.701290"," -6.123201","  6.123201","  0.000000","  0.000000","  0.000000",,"  0.000000","  6.123201"," -7.268555","  0.000000"," 13.923224"," -0.531468"
2003-06-01,"251.146228","251.101417","213.549068"," 24.291673","189.257395"," 14.323127"," 11.347554","  2.975573","  4.255952","  4.255952","  0.000000"," 18.973270","  5.512484","  0.000000"," 13.460786","  0.044811","257.975238","248.633391"," 12.939312","237.581801","  2.205926","  0.485272","  0.669127","  0.000000","  3.020906"," -8.268953","  9.341847","  2.468026"," -6.829010","  6.829010"," -3.167182","  0.000000"," -3.167182",,"  0.000000","  9.996192"," 11.539731","  0.000000"," -2.088842","  0.545303"
2003-07-01,"283.3553040","282.1392040","252.8384780"," 26.6766930","226.1617850"," 15.9472050"," 12.0251960","  3.9220090","  4.3681490","  4.3681490","  0.0000000","  8.9853720","  0.3840000","  0.0000000","  8.6013720","  1.2161000","304.8539253","300.0523583"," 12.7811820","277.7414390","  0.7989496","  0.0702560","  0.8782540","  0.0000000","  8.5092490"," -0.7269713","  4.8015670","-17.9131543","-21.4986213"," 21.4986213"," -5.4640587","  0.0000000"," -5.4640587",,"  0.0000000"," 26.9626800"," 14.5935100","  0.0000000"," 10.1663240","  2.2028460"
2003-08-01,"291.5464400","291.4771040","261.7840230"," 24.9966930","236.7873300"," 13.8851370"," 11.0637030","  2.8214340","  4.4286600","  4.4286600","  0.0000000"," 11.3792840","  0.7720000","  0.0000000"," 10.6072840","  0.0693360","294.7321634","286.8020654"," 12.9145220","272.0240010","  0.0390365","  0.0000000","  0.7923210","  0.0000000","  4.8122810"," -3.7800961","  7.9300980","  4.6750386"," -3.1857234","  3.1857234"," -0.3061776","  0.0000000"," -0.3061776",,"  0.0000000","  3.4919010","  7.4386720","  0.0000000","  1.0002500"," -4.9470210"
2003-09-01,"310.216609","310.142401","276.871374"," 27.629333","249.242041"," 13.958579"," 11.514405","  2.444174","  4.392958","  4.392958","  0.000000"," 14.919490","  0.000000","  0.000000"," 14.919490","  0.074208","341.929434","336.368411"," 10.244726","282.064724","  5.683258","  0.034785","  0.936610","  0.000000","  3.480229"," 33.924079","  5.561023","-26.226010","-31.712825"," 31.712825"," 41.558714","  0.000000"," 41.558714",,"  0.000000"," -9.845889","  4.927976","  0.000000","-13.354124"," -1.419741"
