"MES","FBCB01","FBCB02","FBCB03","FBCB04","FBCB05","FBCB06","FBCB07","FBCB08","FBCB09","FBCB10","FBCB11","FBCB12","FBCB13","FBCB14","FBCB15"
1999-04-01,"3602835.0389999999","3165336.8059999999","437498.23300000001","0","185973.42299999998","-185973.42299999998","0","428547.18299999996","-428547.18299999996","0","280324.02","-280324.02","3602835.0389999999","4060181.4319999996","-457346.39299999969"
1999-05-01,"3630094.1860000002","3235607.3640000001","394486.82200000016","0","217482.606","-217482.606","0","457682.74299999996","-457682.74299999996","0","303436.25699999998","-303436.25699999998","3630094.1860000002","4214208.97","-584114.78399999952"
1999-06-01,"3695724.0279999999","3333254.1260000002","362469.90199999977","0","239371.40400000001","-239371.40400000001","0","423201.098","-423201.098","0","282660.201","-282660.201","3695724.0279999999","4278486.8290000008","-582762.80100000091"
1999-07-01,"3857142.648","3099552.2749999999","757590.37300000014","0","250191.32800000001","-250191.32800000001","0","435410.95400000003","-435410.95400000003","0","301983.484","-301983.484","3857142.648","4087138.0410000002","-229995.39300000016"
1999-08-01,"4013310.199","3209856.81","803453.38899999997","0","262630.70899999997","-262630.70899999997","0","432697.22500000003","-432697.22500000003","0","301389.74","-301389.74","4013310.199","4206574.4840000002","-193264.28500000015"
1999-09-01,"3907787.429","3399793.1819999996","507994.24700000044","0","266364.24900000001","-266364.24900000001","0","563046.97600000002","-563046.97600000002","0","291961.114","-291961.114","3907787.429","4521165.5209999997","-613378.09199999971"
1999-10-01,"4138698.9509999999","3503679.7319999998","635019.21900000004","0","287459.55300000001","-287459.55300000001","0","554484.83499999996","-554484.83499999996","0","299059.929","-299059.929","4138698.9509999999","4644684.0489999987","-505985.09799999883"
1999-11-01,"4158728.6269999999","3555061.4590000003","603667.1679999996","0","311704.92300000001","-311704.92300000001","0","531779.05599999998","-531779.05599999998","0","354423.32299999997","-354423.32299999997","4158728.6269999999","4752968.7609999999","-594240.13400000008"
1999-12-01,"4056974.2590000001","3237137.9780000001","819836.28099999996","0","251312.72099999999","-251312.72099999999","0","469402.326","-469402.326","0","410125.54","-410125.54","4056974.2590000001","4367978.5649999995","-311004.3059999994"
2000-01-01,"4140834.2859999998","3406519.3470000001","734314.93899999978","0","271523.84099999996","-271523.84099999996","0","333524.46100000001","-333524.46100000001","0","379873.55200000003","-379873.55200000003","4140834.2859999998","4391441.2010000004","-250606.9150000005"
2000-02-01,"4347341.6969999997","3513700.2780000004","833641.4189999993","0","264338.05","-264338.05","0","373865.89199999999","-373865.89199999999","0","396268.72100000002","-396268.72100000002","4347341.6969999997","4548172.9410000006","-200831.24400000088"
2000-03-01,"4224254.5769999996","3522492.3429999999","701762.23399999971","0","241229.14800000002","-241229.14800000002","0","410269.01900000003","-410269.01900000003","0","325093.88200000004","-325093.88200000004","4224254.5769999996","4499084.392","-274829.81500000041"
2000-04-01,"4437606.6529999999","3662895.96","774710.69299999997","0","238916.54799999998","-238916.54799999998","0","432087.201","-432087.201","0","277667.04300000001","-277667.04300000001","4437606.6529999999","4611566.7519999994","-173960.09899999946"
