"MES","AMOD01","AMOD02","AMOD03","AMOD04","AMOD05","AMOD06","AMOD07","AMOD08","AMOD09","AMOD10","AMOD11","AMOD12","AMOD13","AMOD14","AMOD15","AMOD16","AMOD17","AMOD18","AMOD19","AMOD20","AMOD21","AMOD22","AMOD23","AMOD24","AMOD25","AMOD26","AMOD27","AMOD28","AMOD29","AMOD30","AMOD31","AMOD32","AMOD33","AMOD34","AMOD35","AMOD36","AMOD37"
2002-11-01,"9769264.8529999983","10748449.868999999","-979185.01600000006","3592290.7480740002","4894939.7090739999","8685544.3257940002","-3790604.6167200003","-3224995.16","-51759.838000000003","-513849.61872000003","-137608.87599999999"," -","-137608.87599999999","-136538.584","-1070.2919999999999","-935310.12899999996"," -","-935310.12899999996","-899315.71100000001","-35994.417999999998","-229729.95599999998"," -","-229729.95599999998","-226659.50399999999","-3070.4520000000002","28966733","23308384","239228","4910927","508194","-13952649.408560321"," -","-217175.353","-2350536.0207400001","-2999340.8428203203","-8385597.1919999998","28375639.192513674"
2002-12-01,"10671570.586000001","11688768.699000001","-1017198.1129999999","4220864.7956639994","5388184.929663999","8784781.3695839997","-3396596.4399200003","-2831730.02","-52527.944000000003","-512338.47592","-108263.37400000001","0","-108263.37400000001","-107577.67200000001","-685.702","-898438.47500000009","0","-898438.47500000009","-869618.64800000004","-28819.827000000001","-160618.285","0","-160618.285","-157635.08300000001","-2983.2020000000002","28957116","23228793","240827","4977596","509900","-13878560.929959796","0","-214813.52499999999","-3425912.6001200005","-1239888.2068397943","-8997946.5980000012","29970990.451704204"
2003-01-01,"10901316.571999999","11597058.814999999","-695742.24300000002","4404580.0462539988","5617395.712253999","9005389.1183739994","-3387993.4061200004","-2813399.952","-53025.56","-521567.89412000007","-122593.87400000001","0","-122593.87400000001","-121903.58900000001","-690.28499999999997","-926400.26300000004","0","-926400.26300000004","-896913.93200000003","-29486.330999999998","-163821.52899999998","0","-163821.52899999998","-160838.32699999999","-2983.2020000000002","28848764","22998905","242425","4990141","617293","-14083333.111609153","0","-218898.12299999999","-3409405.4721299997","-1183122.5794791542","-9271906.936999999","30071327.506644845"
2003-02-01,"9689757.7100000009","10386108.151000001","-696350.44100000011","4634514.6300900001","5849921.74309","9446578.6412899997","-3596656.8982000002","-3036937.7590000001","-53328.324999999997","-506390.81420000002","-128109.163","0","-128109.163","-127417.04399999999","-692.11900000000003","-942394.00100000005","0","-942394.00100000005","-904563.38100000005","-37830.620000000003","-144903.94899999999","0","-144903.94899999999","-141920.747","-2983.2020000000002","28640507","22759581","243065","5019424","618437","-14150058.877262037","0","-208714.68299999999","-3398118.7604999999","-1322607.5527620371","-9220617.8809999991","28814720.462827962"
2003-03-01,"9652976.4240000006","10333179.197000001","-680202.77300000004","4680583.6748439986","5985439.4008439984","9356220.6951639988","-3370781.2943199999","-2809791.9389999998","-53525.531999999999","-507463.82331999997","-148125.26500000001","0","-148125.26500000001","-147430.39600000001","-694.86900000000003","-1015340.778","0","-1015340.778","-969764.96200000006","-45575.815999999999","-141389.68299999999","0","-141389.68299999999","-138406.481","-2983.2020000000002","28864704","22979182","244024","5053365","588133","-14305355.481297513","0","-215543.45800000001","-3394535.2229000004","-1844512.5033975113","-8850764.2970000003","28892908.617546484"
2003-04-01,"10085471.386","11157780.873","-1072309.4870000002","4335547.2447619997","5659447.8707619999","9391989.3401219994","-3732541.46936","-3162577.0559999999","-51873.237000000001","-518091.17636000004","-144703.55499999999","0","-144703.55499999999","-144007.769","-695.78599999999994","-1044074.002","0","-1044074.002","-999620.01","-44453.991999999998","-135123.06899999999","0","-135123.06899999999","-132139.867","-2983.2020000000002","28902592","23009621","244345","5082481","566145","-14088208.289976005","0","-215305.65100000001","-3357182.56941","-1784280.5685660038","-8731439.5010000002","29235402.340785991"
2003-05-01,"10037609.162","11111300.215","-1073691.0530000001","4775112.8565979982","6208419.122597998","9519688.8220379986","-3311269.6994400001","-2851148.9780000001","-51953.074000000001","-408167.64743999997","-144441.32700000002","0","-144441.32700000002","-143743.70800000001","-697.61900000000003","-1143977.5819999999","0","-1143977.5819999999","-1077810.199","-66167.383000000002","-144887.35699999999","0","-144887.35699999999","-141904.155","-2983.2020000000002","29260071","23318747","244984","5130506","565834","-14191536.478332996","0","-220482.86600000001","-3363615.3813899998","-1622340.8519429956","-8985097.3790000007","29881256.540265001"
2003-06-01,"10855720.968999999","11868317.857999999","-1012596.889","4429285.8747684006","5870134.6043520011","9697916.1779120006","-3827781.5735599999","-3361432.4750000001","-52164.692999999999","-414184.40555999998","-167827.40600000002","0","-167827.40600000002","-167127.03700000001","-700.36900000000003","-1125629.5385836002","0","-1125629.5385836002","-1077614.7965836001","-48014.741999999998","-147391.785","0","-147391.785","-144408.58300000001","-2983.2020000000002","29139954","23168069","245944","5177247","548694","-14126107.867671279","0","-221395.541","-3352624.8832399999","-1667876.4434312806","-8884211","30298852.976097122"
2003-07-01,"11247301.419000002","12311049.892000001","-1063748.473","4849080.6415734999","6238845.6969868001","9807738.5317860004","-3568892.8347991998","-3081321.4104002998","-19412.468193699999","-468158.95620519994","-152049.52800000002","0","-152049.52800000002","-151507.85800000001","-541.66999999999996","-1094392.0554132999","0","-1094392.0554132999","-1057218.3377304999","-37173.717682800001","-143323.47199999998","0","-143323.47199999998","-140340.26999999999","-2983.2020000000002","29261762","23231047","246903","5248188","535624","-14500915.572940655","0","-224947.60800000001","-3356541.1840500003","-1847951.6158906557","-9071475.1649999991","30857228.487632848"
2003-08-01,"11391694.067","12363496.254000001","-971802.18700000015","5141401.4847779991","6577137.1407779995","10021588.240618","-3444451.0998400003","-2975241.8709999998","-19934.646000000001","-449274.58284000005","-176107.52499999999","0","-176107.52499999999","-175563.03","-544.495","-1122187.2209999999","0","-1122187.2209999999","-1080445.92","-41741.300999999999","-137440.91","0","-137440.91","-134457.70800000001","-2983.2020000000002","29365218","23266282","248182","5340665","510089","-14696760.919793326","0","-228776.91899999999","-3310485.8521811003","-1833019.7936122268","-9324478.3550000004","31201552.631984677"
2003-09-01,"11966356.496000001","12972318.347000001","-1005961.851","4794626.1486139987","6271191.4806139981","9905437.1615339983","-3634245.6809200002","-3188049.4810000001","-16155.601000000001","-430040.59892000002","-191044.14499999999","0","-191044.14499999999","-190498.23699999999","-545.90800000000002","-1146842.253","0","-1146842.253","-1100751.584","-46090.669000000002","-138678.93399999998","0","-138678.93399999998","-135695.73199999999","-2983.2020000000002","29369851","23370402","248822","5426750","323877","-14495701.9570521","0","-229935.723","-3375338.7916910998","-1463978.3673610017","-9426449.0749999993","31635131.687561896"
2003-10-01,"10547001.060999999","11658899.142999999","-1111898.0819999999","4927462.3952168999","6436306.6212168988","9757852.8392168991","-3321546.2180000003","-2868090.6290000002","-17692.5","-435763.08900000004","-174127.236","0","-174127.236","-173579.916","-547.32000000000005","-1204263.612","0","-1204263.612","-1140314.6950000001","-63948.917000000001","-130453.37800000001","0","-130453.37800000001","-127470.17600000001","-2983.2020000000002","29486481.990940001","23245088","249462","5517058","474873.99093999999","-14722160.409107132","0","-232598.745","-3384674.5639775004","-1596596.468129633","-9508290.6319999993","30238785.038049765"
