"MES","SEPV01","SEPV02","SEPV03","SEPV04","SEPV05","SEPV06","SEPV07","SEPV08","SEPV09","SEPV10","SEPV11"
2000-03-01,"10.199999999999999","160.80000000000001","2511.1","3001.1","1999.8","189.7","1961.6","10835.4","3465.5","24959.5","49094.7"
2000-04-01,"21.7","155.4","4019","2718","2177","258","2458.1999999999998","16026","4625","13485","45943.3"
2000-05-01,"150.1","1289.2","4488","1689","2037","472","2573.3000000000002","23874","2632","14153","53357.599999999999"
2000-06-01,"261.7","2377","3144","1198","1787","535","2351","27745","3878","11433.5","54710.2"
2000-07-01,"987.1","1631.9","2211.6999999999998","1759.1","1914.5","543","2826.2","24294","4417","10598","51182.5"
2000-08-01,"829.7","1175","3804","1721","2081","821","3883","22396","4769","11978.9","53458.6"
2000-09-01,"467","945","3158","1355","2089","738.3","4249","16864","3757","13119","46741.3"
2000-10-01,"1562","720","2781","1616","2785","586.1","3078","8854","4308","14258","40548.1"
2000-11-01,"2254","603","2787","1900","3536","580.29999999999995","1884","12588.7","3010","15904","45047"
2000-12-01,"402","454","3315","1645","3451","269.39999999999998","1787","8464.7000000000007","5006","16170","40964.1"
2001-01-01,"1.0000000000000001E-5","223.3","665","1353","2291.8000000000002","167.2","687.9","9381.5","4324.5","10906.4","30000.600010000002"
2001-02-01,"524.9","336.5","430.5","1529.2","1383.6","207","2173.6","8116","3726.6","10425.199999999999","28853.1"
2001-03-01,"241.1","512.5","1920.8","2615.4","1871.7","274.8","2564.6","12844.9","6127.4","12258.199999999999","41231.399999999994"
2001-04-01,"564.4","104.8","3308","1790","1549.2","295","2263.6999999999998","10720.4","3838.2","11568.199999999999","36001.9"
2001-05-01,"862.7","316.39999999999998","3047","2126","1181","359","1852.7","17709","4710","10676.199999999999","42840"
2001-06-01,"720.7","680.4","3057","1383","1317","680","952.4","15589","4094","10815.199999999999","39288.699999999997"
2001-07-01,"1220","763","3479.8","1886.6","1631.9","501","1752.9","23883","5278","14584.4","54980.6"
2001-08-01,"1621.3","756","989","1461","2576","700","1123.4000000000001","11992","5810","17496.400000000001","44525.100000000006"
2001-09-01,"1059","633","2620","1396","2235","641","2532","11481","5155","14575.9","42327.9"
2001-10-01,"1603","312","2680.4","2551","1873","725","5247.4","10070","4719.3999999999996","15971.4","45752.6"
2001-11-01,"1037","734","2130","1248","3274","768","4341","10470","4288","15935.4","44225.4"
2001-12-01,"534","451","2234","1372","3102.4","229","2179","22660","4649.3999999999996","13391.4","50802.200000000004"
2002-01-01,"822.12","204.22","1864.6","1655.06","2304.06","130.88","3288.65","11432.67","3849.91","11365.14","36917.31"
2002-02-01,"1073.73","221.69","1288.5999999999999","1742.66","1704.7","696.27","2690.28","12656.66","4584.09","9439.14","36097.82"
2002-03-01,"304.29000000000002","193.65","1141.5999999999999","2343.4299999999998","1571.37","715.68","1600.47","8401.2000000000007","3733.38","9499.6200000000008","29504.690000000002"
2002-04-01,"777.98","73.41","1756.1","2145.5300000000002","958.24","241.6","3119.61","15787.43","4028.52","9003.2099999999991","37891.630000000005"
2002-05-01,"1608.74","413.92","2476.6","2074.66","1379.15","140.19","2202.13","20890.77","5847.33","8777.65","45811.14"
2002-06-01,"91.67","658.64","2601.8000000000002","1689.05","1018.61","365.32","2368.12","18598.03","6911.83","9738.3700000000008","44041.440000000002"
2002-07-01,"1474.84","536.64","4182.5","1138.5","2087.7199999999998","514.48","3191.42","21284.829999999998","5355.62","11396.38","51162.929999999993"
2002-08-01,"1595.59","807.2","2727.8","1608.4","1777.9","744.73","3620.07","19205.91","6621.61","10153.06","48862.27"
2002-09-01,"595.59","743.74","2995","1650.54","3438.95","740.3","6418.41","13229.18","7508.67","12728.78","50049.159999999996"
2002-10-01,"4548.9799999999996","947.34","3024.5","2338.17","1963.01","674.52","6320.46","16176.09","4360.6499999999996","13421.24","53774.96"
