"MES","SIBC01","SIBC02","SIBC03","SIBC04","SIBC05","SIBC06","SIBC07","SIBC08","SIBC09","SIBC10","SIBC11"
2001-02-01,"980.80499999999995","1051.43","244.53","761.8","35.1",,"10","70.625","-132.875","202.5","1"
2001-03-01,"966.31099999999992","1031.617","244.251","742.77700000000004","34.588999999999999",,"10","65.305999999999997","-132.875","197.958","0.223"
2001-04-01,"980.67600000000004","1047.8030000000001","248.429","754.63099999999997","34.744",,"10","67.12700000000001","-132.875","198.846","1.1559999999999999"
2001-05-01,"998.53100000000006","1060.479","254.43799999999999","761.75","34.290999999999997",,"10","61.948000000000008","-132.875","194.52600000000001","0.29699999999999999"
2001-06-01,"1050.998","1127.357","253.03","830.26499999999999","34.063000000000002",,"10","76.358999999999995","-132.875","209.905","-0.67100000000000004"
2001-07-01,"1059.6659999999999","1135.2159999999999","250.02500000000001","840.85400000000004","34.338000000000001",,"10","75.550999999999988","-132.875","208.74799999999999","-0.32200000000000001"
2001-08-01,"1044.3269999999998","1124.7929999999999","255.65799999999999","824.10599999999999","35.027999999999999",,"10","80.466000000000008","-132.875","212.905","0.436"
2001-09-01,"1024.8789999999999","1105.0150000000001","272.089","787.68299999999999","35.241999999999997",,"10","80.135000000000005","-132.875","212.45099999999999","0.56000000000000005"
2001-10-01,"1029.1120000000001","1093.1369999999999","263.26299999999998","784.94600000000003","34.927999999999997",,"10","64.025000000000006","-144.56","208.4","0.185"
2001-11-01,"1104.53","1164.749","258.00599999999997","862.13199999999995","34.610999999999997",,"10","60.219000000000001","-144.56","204.75299999999999","2.5999999999999999E-2"
2001-12-01,"1077.4069999999999","1129.222","259.60199999999998","825.322","34.298000000000002",,"10","51.814999999999998","-144.56","195.82900000000001","0.54600000000000004"
2002-01-01,"1091.096","1151.1389999999999","257.149","838.68100000000004","34.268999999999998","11.04","10","60.042999999999999","-144.56","205.34","-0.73699999999999999"
2002-02-01,"1037.327","1097.874","271.57400000000001","771.23599999999999","34.051000000000002","11.012","10","60.546999999999997","-144.56","204.77099999999999","0.33500000000000002"
2002-03-01,"964.98","1025.04","273.02","696.61","34.33","11.08","10","60.059999999999995","-144.56","204.5","0.12"
2002-04-01,"934.303","996.36599999999999","282.70499999999998","657.40200000000004","34.987000000000002","11.272","10","62.062999999999988","-144.56","206.03399999999999","0.58899999999999997"
2002-05-01,"979.36100000000022","1042.2720000000002","298.48399999999998","687.07","35.304000000000002","11.414","10","62.910999999999994","-144.56","206.85599999999999","0.61499999999999999"
2002-06-01,"905.28899999999999","963.6","290.94299999999998","614.62","36.317","11.72","10","58.310999999999986","-144.56","202.35499999999999","0.51600000000000001"
2002-07-01,"819.96100000000001","878.72800000000007","278.68200000000002","541.75800000000004","36.524000000000001","11.763999999999999","10","58.766999999999996","-144.56","203.267","0.06"
2002-08-01,"939.87300000000016","999.81600000000014","284.68599999999998","656.91600000000005","36.441000000000003","11.773","10","59.942999999999998","-144.56","203.363","1.1399999999999999"
2002-09-01,"923.57999999999993","979.80799999999988","291.85199999999998","629.97799999999995","36.279000000000003","11.699","10","56.228000000000002","-144.56","200.44200000000001","0.34599999999999997"
2002-10-01,"898.51800000000003","945.67700000000002","288.58499999999998","598.98099999999999","36.396000000000001","11.715","10","47.158999999999999","-151.892","198.648","0.40300000000000002"
2002-11-01,"869.56200000000001","915.34799999999996","289.49700000000001","567.70100000000002","36.392000000000003","11.757999999999999","10","45.822999999999993","-151.892","197.51499999999999","0.2"
2002-12-01,"853.84400000000005","896.94400000000007","316.43900000000002","521.21299999999997","37.270000000000003","12.022","10","43.100000000000009","-151.892","194.745","0.247"
2003-01-01,"883.57199999999989","929.45699999999988","335.04500000000002","534.40099999999995","37.829000000000001","12.182","10","45.885000000000019","-151.892","197.48500000000001","0.29199999999999998"
2003-02-01,"724.66","770.79","320.209","390.66800000000001","37.722999999999999","12.19","10","46.129999999999995","-151.892","197.55199999999999","0.47"
2003-03-01,"728.89300000000003","771.17200000000003","301.584","410.00200000000001","37.49","12.096","10","42.278999999999996","-151.892","193.87899999999999","0.29199999999999998"
2003-04-01,"758.90599999999995","860.17099999999994","302.17500000000001","498.33600000000001","37.451000000000001","12.209","10","101.265","-151.892","252.267","0.89"
2003-05-01,"753.07700000000011","852.02300000000014","331.01600000000002","460.24200000000002","38.200000000000003","12.565","10","98.946000000000012","-156.65899999999999","255.93","-0.32500000000000001"
2003-06-01,"867.53300000000002","958.10599999999999","314.97899999999998","592.78099999999995","37.905000000000001","12.441000000000001",,"90.573000000000008","-156.65899999999999","246.78","0.45200000000000001"
