"MES","BCBA01","BCBA02","BCBA03","BCBA04","BCBA05","BCBA06","BCBA07","BCBA08","BCBA09","BCBA10","BCBA11","BCBA12","BCBA13","BCBA14","BCBA15","BCBA16","BCBA17","BCBA18"
2000-02-01,"7081408.5639999993","10334113.311999999","3252704.7479999997","739922.75",,"5514453.4481879994","5514453.4481879994","0","0","0","26887328","26537286",,"194773","155269","0","2775158.8371399995","42998271.599328004"
2000-03-01,"6824056.2999999998","10057505.862","3233449.5619999999","744822.9",,"5405132.8015199993","5405132.8015199993","0","0","0","27014140.100000001","26660995",,"196052","157093.1","0","3208329.3861120013","43196481.487632006"
2000-04-01,"6696077.7859999985","9984085.686999999","3288007.9010000001","748498.01300000004",,"5637790.9676419999","5637790.9676419999","0","0","0","27114570.899999999","26762001.499999996",,"197012.1","155557.29999999999","0","3153246.3926286991","43350184.059270695"
2000-05-01,"6593938.9870000007","9650996.0040000007","3057057.017","752173.12600000005",,"5659133.7752579991","5659133.7752579991","0","0","0","27041242","26696480",,"197971","146791","0","3226557.8083097995","43273045.696567796"
2000-06-01,"6701324.8250000002","9777270.8870000001","3075946.0619999999","755848.23899999994",,"5428633.0149689997","5428633.0149689997","0","0","0","27093891","26748533",,"198931","146427","0","3299185.1809389996","43278882.259907998"
2000-07-01,"6959586.6620000005","9867751.3640000001","2908164.702","759523.35199999996",,"5570568.8718400011","5570568.8718400011","0","0","0","27097883","26753734",,"199890","144259","0","3498945.5196599998","43886507.405499995"
2000-08-01,"7473773.892","10277256.125","2803482.233","770518.71499999997",,"5657719.3347360007","5657719.3347360007","0","0","0","26976831","26631663",,"200850","144318","0","3029817.640443","43908660.582178995"
2000-09-01,"7856703.9209999992","10422823.393999999","2566119.4730000002","775465.86600000004",,"5473841.9013510002","5473841.9013510002","0","0","0","27106667","26760185",,"202129","144353","0","2828661.0464539998","44041339.734804995"
2000-10-01,"7692146.6520000007","10099999.491","2407852.8390000002","779176.22900000005",,"5738649.0801900001","5738649.0801900001","0","0","0","26938185","26588483",,"203088","146614","0","2758331.3559099999","43906488.317100003"
2000-11-01,"7819946.8049999988","10245495.289999999","2425548.4850000003","784123.38",,"5826448.5991200004","5826448.5991200004","0","0","0","26783003","26431991",,"204367","146645","0","2818775.9916619998","44032297.775782004"
2000-12-01,"8531779.0300000012","10878292.528000001","2346513.4980000001","789070.53",,"5824610.0269480003","5824610.0269480003","0","0","0","26325852","25970738",,"205647","149467","0","3139443.6610540003","44610755.248002"
