"MES","AMAM01","AMAM02","AMAM03","AMAM04","AMAM05","AMAM06","AMAM07","AMAM08"
2001-07-01,"2959865.4180000001","6227092.4179999996","3263349.4180000001","12840441.418","3421461.6120000002","27743033.421078399",,"29540722.421078399"
2001-08-01,"2986831.656","6647403.6559999995","3312236.656","13494003.655999999","3457868.6260000002","27996596.206560802",,"29960653.158368029"
2001-09-01,"2897531.182","6548334.182","3217067.182","13381404.182","3385313.6890000002","27960775.042043202",,"29965602.029657658"
2001-10-01,"2992374.0150000001","6697737.0150000006","3296118.0150000001","13774621.015000001","3474872.5","28204091.812766802",,"30258213.144092102"
2001-11-01,"2942254.8089999999","6886086.8090000004","3276502.8089999999","14448394.809","3450549.7390000001","28381980.1176286",,"30494090.162809324"
2001-12-01,"3708631.2650000001","7532819.2650000006","4151093.2650000001","15366510.265000001","4294842.898000001","29159634.962694701","4331806.898000001","31341361.007875424"
2002-01-01,"3082113.148","7366101.148","3401548.148","15447016.148","3548105.753","28834971.153124299",,"31005370.10191948"
2002-02-01,"3092895.3160000001","7387882.3159999996","3401814.3160000001","15421544.316","3544844.7370000002","28685853.406968798",,"30911309.021426629"
2002-03-01,"2964649.2080000001","6921995.2080000006","3264758.2080000001","14970902.208000001","3407226.0389999999","28285831.038060002",,"30448985.842276871"
2002-04-01,"2908208.6660000002","7039464.6660000002","3199482.6660000002","15076724.666000001","3373576.6540000001","28331204.980076801",,"30660329.49814909"
2002-05-01,"3029220.983","7053054.983","3342153.983","14974605.982999999","3530956.0729999999","28073659.69782",,"30433977.929747712"
2002-06-01,"3126048.9649999999","7187631.9649999999","3428377.9649999999","14848830.965","3589867.7709999997","27559153.6109",,"29675131.746442169"
2002-07-01,"3020406.4989999998","6549223.4989999998","3308678.4989999998","12684601.499","3437977.0109999999","24388904.833517797",,"25486319.634722617"
2002-08-01,"3085513.2429999998","6729566.2429999998","3434015.2429999998","13073218.243000001","3556868.6529999999","24914605.630087201",,"26139834.859002862"
2002-09-01,"3163720.5529999998","6799845.5529999994","3491322.5529999998","13435058.552999999","3597502.602","25766668.010389999",,"27075051.429064699"
2002-10-01,"3027741.577","6876341.5769999996","3360402.577","13604607.577","3465188.341","26328350.5568894",,"27825219"
2002-11-01,"3129915","7193887","3497279","14095636","3587167","26935723",,"28375639"
2002-12-01,"3908150.9640000002","8115308.9639999997","4291352.9639999997","15438646.964","4408196.1710000001","28472737.4637524","4432089.1710000001","29970990.451704208"
2003-01-01,"3359352.665","7677622.0140000004","3747374.1919999998","15358927.288000001","3876608.5639999998","28490449.328934003",,"30071327.506644845"
2003-02-01,"3359083.716","7230286.2779999999","3756336.6239999998","14396913.866999999","3912695.07","27249968.809213508",,"28814720.462827966"
2003-03-01,"3225906.193","7240505.6260000002","3613893.375","14545169.898","3778433.2510000002","27325433.250076599",,"28892908.61754648"
2003-04-01,"3259758.977","7417531.0279999999","3647446.898","14947358.221000001","3855120.9950000001","27601011.735364299",,"29235402.340785988"
2003-05-01,"3381439.9069999997","7732914.8819999993","3790319.5289999996","15568400.175999999","4024115.2960000001","28243928.458939701",,"29881256.540265001"
2003-06-01,"3531540.6069999998","7899376.7369999997","3940710.3879999998","15910256.566","4235307.5090000005","28680798.180916402",,"30298852.976097126"
2003-07-01,"3612279.551","8322721.9570000004","4073384.878","16636757.979","4329412.8019999992","29318612.978596706",,"30857228.487632852"
2003-08-01,"3607613.3310000002","8388381.5480000004","4062969.1310000001","16810822.242000002","4272842.8839999996","29526727.1711413",,"31201552.631984673"
2003-09-01,"3661929.18","8547279.4219999984","4090823.7509999997","17153657.001999997","4313424.0269999988","29786302.687561896",,"31635131.687561896"
2003-10-01,"3811813.42","8103379.6310000001","4274458.7560000001","16329243.265999999","4473510.9270000001","28410217.561982498",,"30238785.038049769"
2003-11-01,"3897300.2830000003","8433054.9130000006","4332158.25","16784792.968999997","4521975.6520000007","28634565.508998699",,"30552051.461133242"
