"MES","FOGC01","FOGC02","FOGC03","FOGC04","FOGC05","FOGC06","FOGC07","FOGC08","FOGC09","FOGC10","FOGC11","FOGC12","FOGC13","FOGC14","FOGC15","FOGC16","FOGC17","FOGC18","FOGC19","FOGC20","FOGC21","FOGC22","FOGC23","FOGC24","FOGC25","FOGC26","FOGC27","FOGC28","FOGC29","FOGC30","FOGC31","FOGC32","FOGC33","FOGC34","FOGC35","FOGC36","FOGC37","FOGC38","FOGC39","FOGC40","FOGC41"
2002-11-01,"1096.113941"," 979.505846"," 586.029934"," 541.957120","  44.072814",," 218.096396","   0.000000","   9.742065","  51.004566"," 114.632885"," 116.608095","1624.228677","1223.954395"," 424.351124"," 129.285161","  65.666956","  57.156403"," 281.939773"," 198.339399"," 265.554978"," 400.274282",,"-244.448549","-528.114736"," 198.339399","-329.775337"," 528.114736",," -65.809932"," 145.816794","   0.000000","-229.800415","  18.173689","   0.000000"," 593.924668"," 164.926500"," -19.529000"," 184.455500"," -16.451603"," 445.449771"
2002-12-01," 1198.857930"," 1052.394070","  600.595069","  558.251539","   42.343530",,"  201.218709","    0.000000","    8.508958","   67.330799","  174.740535","  146.463860"," 2790.850339"," 2079.555080","  811.269215","  247.917508","   55.554695","   78.240907","  666.124448","  379.560275","  220.448307","  711.295259",,"-1027.161010","-1591.992409","  379.560275","-1212.432134"," 1591.992408",,"  462.791040","  968.753839"," -297.915000"," -214.710387","    6.792224","   -0.129636"," 1129.201368","  512.546865","   -0.194000","  512.740865","   67.314607","  549.339896"
2003-01-01,"1073.830516","1014.041015"," 645.293540"," 600.515081","  44.778459",," 217.758541","   0.000000","   9.734592","  54.232660","  87.021682","  59.789501","1352.803051","1075.425951"," 446.484754","  98.030212","  65.425529","  79.125910"," 232.600741"," 194.984065"," 153.758805"," 277.377100",," -61.384936","-278.972535"," 194.984065"," -83.988470"," 278.972535",,"  66.369235"," 289.599271","   0.000000","-249.457265","  37.095196"," -10.867966"," 212.603300"," -37.862703","  -3.421000"," -34.441703"," 103.069130"," 147.396873"
2003-02-01,"1068.167305"," 985.184751"," 558.315970"," 518.780153","  39.535817",," 268.655713","   0.000000","   5.927592","  50.473206"," 101.812270","  82.982554","1352.033629","1091.846278"," 502.123952"," 114.884296","  42.340843","  71.130907"," 265.719170"," 193.923062","  95.647110"," 260.187351",,"-106.661527","-283.866325"," 193.923062"," -89.943263"," 283.866325",," 107.076087"," 213.347907","   0.000000"," -99.562052","   0.000000","  -6.709768"," 176.790237"," 154.900531","  -2.987200"," 157.887731"," -43.183379","  65.073085"
2003-03-01,"1181.396081"," 932.419248"," 544.851630"," 507.510340","  37.341290",," 228.072843","   0.000000","   5.914272","  62.781286","  90.799217"," 248.976833","1227.335987","1085.093241"," 434.215446"," 121.279751","  53.990448"," -20.799998"," 299.262756"," 195.072160"," 197.144838"," 142.242746",,"-152.673993"," -45.939906"," 195.072160"," 149.132254","  45.939906",," -63.366226","  38.662298","   0.000000"," -95.760330","   1.176305","  -7.444500"," 109.306132","  64.327092"," -84.447300"," 148.774392"," -36.107078","  81.086118"
2003-04-01,"1221.749989","1144.345820"," 693.780770"," 653.076449","  40.704321",," 247.649930","   0.000000","   5.379816","  58.147024"," 139.388280","  77.404169","1319.576302"," 960.292894"," 480.313659"," 123.802795","  62.162998","  65.850718"," 273.566908"," 235.711566"," -45.404185"," 359.283408",," 184.052926"," -97.826312"," 235.711566"," 137.885254","  97.826312",," 306.124167"," 663.706164","   0.000000","-346.042061","   1.248789"," -12.788725","-208.297855","-269.607342","  -1.181000","-268.426342"," 146.371244"," -85.061757"
2003-05-01,"1312.195453","1195.208063"," 782.548396"," 731.920609","  50.627787",," 247.036652","   0.000000","   7.023508","  69.349779","  89.249728"," 116.987390","1717.741048","1328.900137"," 444.665604"," 156.043348","  87.106431","  46.860415"," 288.026159"," 207.935557"," 306.198180"," 388.840911",,"-133.692074","-405.545595"," 207.935557","-197.610038"," 405.545595",,"-169.286559"," 277.407090","   0.000000","-451.376715","  13.348574","  -8.665507"," 574.832153"," 142.900455"," -36.880600"," 179.781055"," 135.325171"," 296.606527"
2003-06-01,"1139.831124","1033.048711"," 587.936533"," 547.945844","  39.990689",," 237.142259","   0.000000","   5.991038","  62.724832"," 139.254049"," 106.782413","1603.267080","1247.796227"," 515.113526"," 130.400956","  43.928392","  95.410228"," 289.314747"," 214.338031"," 173.628378"," 355.470853",,"-214.747516","-463.435956"," 214.338031","-249.097925"," 463.435956",," 954.126740","1020.639146","   0.000000"," -73.390375","  13.667637","  -6.789668","-490.690784","-524.900631","   3.949100","-528.849731","  36.967598","  -2.757751"
2003-07-01,"1289.096130","1142.327310"," 795.639821"," 747.039318","  48.600503",," 201.592257","   0.000000","   7.284222","  67.913679","  69.897331"," 146.768820","1829.652755","1298.893832"," 526.909124"," 177.344139","  61.572653","  85.515950"," 325.083903"," 208.072340"," 122.468062"," 530.758923",,"-156.566522","-540.556625"," 208.072340","-332.484285"," 540.556633",," 324.815306"," 543.846446","   0.000000","-247.296776","  35.430115","  -7.164478"," 215.741326"," 211.109490","  -4.972300"," 216.081790"," -39.084260","  43.716096"
2003-08-01,"1128.568998","1025.364251"," 639.156213"," 595.820756","  43.335457",," 222.815439","   0.000000","  15.823499","  59.340900","  88.228200"," 103.204747","1453.887992","1091.355234"," 433.704771"," 141.529434","  39.859699","  76.680379"," 283.647199"," 209.296466"," 115.933753"," 362.532758",," -65.990983","-325.318994"," 209.296466","-116.022528"," 325.318994",," -42.700873","  67.073272","   0.000000","-102.922268","   0.000000","  -6.851877"," 368.019867","  11.097628"," -25.247000","  36.344628"," 209.593584"," 147.328655"
2003-09-01,"1290.741176","1049.889057"," 660.893121"," 611.160418","  49.732703",," 233.284329","   0.000000","   6.404071","  56.362834","  92.944702"," 240.852119","1676.733256","1296.259466"," 478.910657"," 137.837911","  72.839218"," 115.451939"," 315.630892"," 209.305394"," 175.588849"," 380.473790",,"-246.370409","-385.992080"," 209.305394","-176.686686"," 385.992080",," 428.510777"," 637.016476","   0.000000","-203.261579","   1.384165","  -6.628285"," -42.518697","-297.288276","  38.362000","-335.650276"," 193.005473","  61.764106"
2003-10-01,"1263.0808292","1125.3216510"," 739.6236940"," 687.9981460","  51.6255480",," 207.4629130","   0.0000000","   6.7278510","  74.3651550","  97.1420380"," 137.7591782","1762.5214287","1247.8501527"," 485.4377320"," 130.1995600","  60.4393704","  75.0144080"," 304.9965850"," 216.5146460"," 191.7624973"," 514.6712760",,"-122.5285017","-499.4405995"," 216.5146460","-282.9259535"," 499.4405995",,"  17.8387895","  98.8147467","   0.0000000"," -77.4344788","   0.6919587","  -4.2334370"," 481.6018100"," 476.2007500","  -2.6368000"," 478.8375500","-142.7713090"," 148.1723690"
2003-11-01,"1357.213807","1266.329108"," 812.467459"," 757.996472","  54.470987",," 265.929137","   0.000000","   6.032478","  58.361703"," 123.538331","  90.884699","1547.277133","1088.196504"," 477.617315"," 119.861589","  71.936554","  79.235977"," 285.802509"," 208.999859","  53.742559"," 459.080629",," 178.132604","-190.063326"," 208.999859","  18.936533"," 190.063326",," 103.185397"," 410.314630","   0.000000","-309.017379","   1.888145","   0.000000","  86.877929","  72.499085"," -15.522600","  88.021685","  -5.708847","  20.087691"
2003-12-01," 1578.569430"," 1192.000476","  723.060218","  664.859426","   58.200792",,"  253.805118","    0.000000","    9.763695","   77.412144","  127.959301","  386.568954"," 2840.777178"," 1908.529075","  871.059027","  132.787140","   70.357857","   92.485723","  518.118656","  412.411929","  223.720672","  932.248103",," -716.528599","-1262.207748","  412.411929"," -849.795819"," 1262.207748",," 1261.570399"," 1487.380248","    0.000000"," -240.045828","   14.235978","    0.000000","    0.637350"," -233.936838","   14.332000"," -248.268838","  -33.022836","  267.597024"
2004-01-01,"1262.1200522599997","1218.1652789999998","773.81521599999985","721.79678199999989","52.018433999999999",,"235.013747","0","8.0459840000000007","70.044797000000003","131.24553499999999","43.954773260000003","1430.60343031","1155.6576803100002","476.89576300000004","92.588947000000005","61.058233592400001","79.720600000000005","290.29723999999999","212.631608","155.0968967176","274.94574999999998",,"62.507598689999668","-168.48337805000028","212.631608","44.148229949999717","168.48337805",,"-84.34558195000001","148.95816221000001","0","-263.81111570000002","38.345803539999999","-7.8384320000000001","252.82896","37.418506000000001","-14.3551","51.773606000000001","87.349235999999991","128.061218"
2004-02-01,"1173.1503800800001","1093.347739","635.31392800000003","585.48938199999998","49.824545999999998",,"307.03416600000003","0","6.8089219999999999","46.624763999999999","97.565959000000007","79.802641080000001","1530.9690610300001","1154.6660340300002","553.50749100000007","100.051633","40.055912489999997","77.996761000000006","303.98889600000001","217.66334699999999","79.065340540000022","376.30302699999999",,"-61.318295030000172","-357.81868095000004","217.66334699999999","-140.15533395000006","357.81867292000004",,"35.217998919999992","157.27195846999999","0","-111.55986655","0","-10.494092999999999","322.60067400000003","-19.321429999999999","-2.0966999999999998","-17.224730000000001","158.59042500000001","183.33167900000001"
2004-03-01,"1601.12718494","1292.045075","874.5352180000001","813.20442700000012","61.330791000000005",,"270.72981500000003","0","8.4902800000000003","50.617998","87.671763999999996","309.08210994000001","1652.06904003","1241.6923330299999","477.16461699999996","143.894339","66.320805870000001","76.766634999999994","384.11176599999999","218.80722600000001","93.434170159999994","410.37670700000001",,"50.352741970000125","-50.94185508999999","218.80722600000001","167.86537091000002","50.94185508999999",,"284.34855708999999","438.83023337999998","0","-145.43668600999999","-1.1665662800000001","-7.8784239999999999","-233.406702","-479.68279899999999","-82.919200000000004","-396.763599","61.147107999999996","185.12898899999999"
2004-04-01,"1742.4455882899999","1622.7950209999999","1183.580467","1137.5310850000001","46.049382000000001",,"276.85125199999999","0","9.1677370000000007","61.776777000000003","91.418788000000006","119.65056729","1731.28345605","1272.28401805","498.38120399999997","128.298979","78.246688849999998","72.875000999999997","333.22062","220.37595099999999","161.26152519999999","458.999438",,"350.51100294999992","11.162132239999892","220.37595099999999","231.53808323999988","-11.162140270000009",,"-165.49510327000002","176.1231142","0","-329.50304409","1.6907486199999999","-13.805922000000001","154.33296300000001","295.09078099999999","-11.283799999999999","306.37458099999998","-187.44838899999999","46.690571000000006"
2004-05-01,"1663.4202879899999","1533.2690949999999","1099.5632819999998","1047.6570819999999","51.906199999999998",,"242.16474299999999","0","6.133883","54.753471999999995","130.65371500000001","130.15119299","1670.29704911","1212.3181751100001","462.21822800000001","98.685968000000003","71.373145359999995","66.861446000000001","308.90005500000001","222.022267","204.27933274999998","457.97887400000002",,"320.9509198899998","-6.8767611200000829","222.022267","215.14550587999992","6.8767530899999798",,"-12.037057910000001","117.33636749999999","0","-121.37181188","-0.10319353000000001","-7.8984199999999998","18.913810999999981","-5.2647249999999985","-38.868200000000002","33.603475000000003","-171.734803","195.91333899999998"
2004-06-01,"1240.77421777","1169.8488769999999","723.26691199999993","671.18381999999997","52.083092000000001",,"259.50535500000001","0","7.1981339999999996","58.430831000000005","121.44764499999999","70.925340770000005","1890.1492228700001","1411.3336688700001","562.61893900000007","122.92935199999999","64.829843650000001","105.50484899999999","353.94777599999998","223.47812099999999","201.50290921999999","478.81555400000002",,"-241.48479187000021","-649.37500510000018","223.47812099999999","-425.89688410000019","649.37500510000007",,"987.30669510000007","420.23059331000002","797.37900000000002","-228.21377237999999","5.8292901700000002","-7.9184159999999997","-337.93169","-187.88517999999999","1.8239000000000001","-189.70908","110.023539","-260.07004900000004"
2004-07-01,"1614.4338439399999","1498.1923159999999","1048.8992819999999","998.71190899999988","50.187373000000001",,"261.65952900000002","0","7.7112569999999998","58.15849","121.763758","116.24152794","2225.2390307699998","1353.07932977","566.83763899999997","106.52083500000001","71.087815370000001","102.909441","315.54260499999998","231.797415","190.1809944","872.15970100000004",,"145.11298622999993","-610.80518682999991","231.797415","-379.00777182999991","610.80517880000002",,"396.13005079999999","635.15478796000002","0","-271.30930486","40.112981699999999","-7.8284140000000004","214.67512800000003","170.49010900000002","-15.068199999999999","185.55830900000001","-19.323436000000001","63.508455000000012"
2004-08-01,"1402.49773129","1327.784089","873.83099100000004","819.83890000000008","53.992091000000002",,"281.83875999999998","0","9.0286410000000004","54.344768000000002","108.74092900000001","74.713642289999996","1688.1576134600002","1177.3410464600001","484.25855300000001","111.210695","43.779367280000002","117.67302100000001","367.51367600000003","236.50006999999999","52.905734179999996","510.81656700000002",,"150.44304253999985","-285.65988217000017","236.50006999999999","-49.15981217000018","285.65988217",,"27.189215170000004","153.95868411000001","0","-118.81106094","0","-7.9584080000000004","258.47066699999999","90.645713000000001","-6.1073000000000004","96.753012999999996","101.089641","66.735313000000005"
2004-09-01,"1578.82232901","1395.075928","929.21178399999997","872.38783799999999","56.823945999999999",,"304.43950599999999","0","6.9825010000000001","50.614752999999993","103.827384","183.74640101","1744.1382407399997","1232.9945527399998","525.33976399999995","118.431397","70.779254589999994","96.722183999999999","352.07610599999998","244.40509399999999","69.64584714999998","511.143688",,"162.08137526000019","-165.3159117299997","244.40509399999999","79.089182270000293","165.31591975999999",,"374.88941376000002","532.27727058000005","0","-145.87789436","-3.1644784600000002","-8.3454840000000008","-209.57349400000004","-512.43236899999999","5.9234","-518.35576900000001","273.88221899999996","28.976655999999998"
2004-10-01,"1514.5723967599999","1401.025459","904.20901300000003","844.39913899999999","59.809874000000001",,"312.95733300000001","0","7.9171620000000003","67.521353000000005","108.420598","113.54693776000001","1899.0731531799997","1289.9761011799999","483.34366399999999","118.232378","55.447679979999997","69.550582000000006","391.23445500000003","250.81308000000001","172.16734219999998","609.09705199999996",,"111.04935782000007","-384.50075641999979","250.81308000000001","-133.68767641999978","384.50075641999996",,"143.28984141999999","244.91944862","0","-103.11056404","1.4809568399999999","0","241.21091499999997","-163.878624","-17.542000000000002","-146.336624","356.82639999999998","48.263138999999995"
2004-11-01,"1860.2766579099998","1532.4791059999998","908.055567","846.35139600000002","61.704171000000002",,"393.90615199999996","0","8.3008140000000008","62.849397999999994","159.36717499999997","327.79755190999998","1769.17299628","1294.3187482800001","492.05832299999997","117.520122","77.455067360000001","93.660966000000002","381.43069500000001","243.050961","132.19357492","474.85424799999998",,"238.16035771999964","91.103661629999806","243.050961","334.15462262999984","-91.103669659999952",,"181.07940734000002","451.91306270000001","0","-268.63369280000001","4.5815004400000001","-6.7814629999999996","-272.18307699999997","-384.70083","-12.5505","-372.15033","121.831226","-9.3134730000000037"
2004-12-01,"1736.7035695199997","1561.0067289999997","884.36577199999999","818.14888099999996","66.216891000000004",,"333.79434200000003","0","10.982075","64.707565000000002","267.15697499999999","175.69684051999999","3106.6559947899996","2250.7493007899998","922.451414","167.79801499999999","60.583531469999997","98.510335999999995","625.94763599999999","459.57565599999998","375.45836831999998","855.90669400000002",,"-689.74257179000006","-1369.9524252699998","459.57565599999998","-910.37676926999984","1369.9524252700003",,"706.32850827000004","802.03597440999999","0","-108.77472529000001","13.06725915","0","663.62391700000012","468.60665300000005","-7.59","476.19665300000003","126.815088","68.202176000000009"
2005-01-01,"1586.2323658499997","1499.1492519999997","964.94710099999998","907.10917199999994","57.837929000000003",,"338.12883799999997","0","8.6426400000000001","67.580364000000003","119.850309","87.083113850000004","1605.9768743500001","1236.1452553500001","483.37074699999999","85.821205000000006","91.459495599999997","106.938653","278.89821699999999","243.554979","189.65693775000003","369.83161899999999",,"263.00399664999964","-19.744508500000393","243.554979","223.81047049999961","19.744524799999976",,"-25.681693200000002","33.801073649999999","0","-50.527090450000003","-0.58142099999999997","-8.3742553999999991","45.426217999999977","259.18742399999996","-16.587299999999999","275.77472399999999","-198.38927899999999","-15.371926999999999"
