"MES","STCP01","STCP02","STCP03","STCP04","STCP05","STCP06","STCP07","STCP08","STCP09","STCP10","STCP11","STCP12","STCP13","STCP14","STCP15","STCP16","STCP17","STCP18","STCP19","STCP20","STCP21","STCP22","STCP23","STCP24","STCP25"
2004-12-01,"2.970918181818182","2.9725000000000001","-1.5818181818181287E-3","8.0297000000000001","8.0496999999999996","8.0396999999999998","8.0289999999999999","8.0590000000000011","8.0440000000000023","-7.0000000000014495E-4","9.3000000000014182E-3","4.3000000000006366E-3","2.7137749999999987","2.714575","2.7141749999999996","576.16999999999996","3.2792380952380955","3.2822380952380956","3.2807380952380956","3.2817619047619053","3.2847142857142861","3.2832380952380955","2.5238095238098168E-3","2.4761904761905207E-3","2.5000000000001688E-3"
2005-01-01,"2.9462714285714289","2.9355000000000002","1.0771428571428654E-2","8.0455000000000005","8.0655000000000001","8.0555000000000003","8.0461904761904783","8.0761904761904795","8.0602380952380948","6.9047619047779563E-4","1.0690476190479359E-2","5.6904761904785772E-3","2.6922238095238096","2.693023809523809","2.6926238095238091","574.11952380952391","3.2600476190476195","3.2688095238095238","3.2644285714285717","3.2666666666666666","3.2696190476190479","3.2681428571428572","6.6190476190470804E-3","8.0952380952403757E-4","3.714285714285559E-3"
2005-02-01,"2.9153449999999994","2.9154999999999998","-1.550000000003493E-4","8.0542999999999996","8.0742999999999991","8.0642999999999994","8.0544444444444441","8.0844444444444452","8.0694444444444429","1.4444444444450255E-4","1.0144444444446066E-2","5.1444444444452841E-3","2.5970388888888887","2.597838888888889","2.5974388888888891","573.58400000000006","3.2582879818594108","3.2603499999999999","3.2593189909297053","3.2529500000000007","3.2559500000000008","3.2544500000000007","-5.3379818594101458E-3","-4.3999999999990713E-3","-4.8689909297046086E-3"
2005-03-01,"2.9265523809523808","2.9255","1.0523809523808048E-3","8.0719354838709734","8.0919354838709658","8.0819354838709696","8.0713636363636407","8.1013636363636401","8.086363636363636","-5.7184750733263456E-4","9.4281524926742577E-3","4.4281524926708116E-3","2.7039363636363634","2.7047363636363637","2.7043363636363633","586.4827272727274","3.2587894736842107","3.2598333333333338","3.2593114035087725","3.2541111111111105","3.2568333333333332","3.2554722222222221","-4.6783625731001699E-3","-3.0000000000005578E-3","-3.8391812865503638E-3"
2005-04-01,"2.9004142857142861","2.9055","-5.0857142857139159E-3","8.08","8.1","8.09","8.08","8.11","8.0950000000000006","0","9.9999999999997868E-3","4.9999999999998934E-3","2.5783800000000001","2.5791800000000005","2.5787800000000005","580.45571428571429","3.257099999999999","3.2586500000000003","3.2578749999999994","3.2484000000000002","3.2515500000000004","3.2499750000000001","-8.6999999999988198E-3","-7.0999999999998842E-3","-7.899999999999352E-3"
2005-05-01,"2.8909476190476195","2.8914999999999997","-5.5238095238019369E-4","8.08","8.1","8.09","8.08","8.11","8.0950000000000006","0","9.9999999999997868E-3","4.9999999999998934E-3","2.4520142857142861","2.4528142857142856","2.4524142857142857","578.30904761904765","3.2545500000000001","3.2555750000000003","3.2550625000000002","3.2501090909090906","3.2553886363636364","3.2527488636363637","-4.4409090909094395E-3","-1.8636363636392872E-4","-2.3136363636366841E-3"
2005-06-01,"2.8835904761904763","2.879","4.5904761904762559E-3","8.08","8.1","8.09","8.0728306530000005","8.1168852440000006","8.0961391019327404","-7.169346999999604E-3","1.688524400000091E-2","4.8579485000006528E-3","2.4127136363636366","2.4135136363636365","2.4131136363636365","585.47333333333324","3.2525714285714296","3.2530952380952378","3.2528333333333337","3.249285714285715","3.2529999999999992","3.2511428571428569","-3.2857142857145583E-3","-9.523809523859228E-5","-1.6904761904765753E-3"
2005-07-01,"2.869566666666667","2.8665000000000003","3.066666666666773E-3","8.0632000000000001","8.0947999999999993","8.0790000000000006","8.0550587290000006","8.1053655340000006","8.0779250447694242","-8.1412709999995059E-3","1.0565534000001264E-2","1.2121315000008792E-3","2.3727095238095237","2.3735095238095241","2.3731095238095237","575.76619047619045","3.2516842105263164","3.2526842105263158","3.2521842105263161","3.2454210526315794","3.2528947368421051","3.2491578947368422","-6.2631578947369704E-3","2.1052631578921677E-4","-3.0263157894738768E-3"
2005-08-01,"2.888018181818182","2.9089999999999998","-2.0981818181817768E-2","8.0299999999999994","8.09","8.06","8.0179919999999996","8.0911199699999994","8.0430558429611541","-1.2007999999999797E-2","1.1199699999995261E-3","-5.4440150000001353E-3","2.3598304347826087","2.3606304347826086","2.3602304347826082","546.60954545454547","3.2572272727272731","3.2583636363636357","3.2577954545454544","3.2536363636363634","3.2569090909090908","3.2552727272727271","-3.5909090909096442E-3","-1.454545454544931E-3","-2.5227272727272876E-3"
2005-09-01,"2.9117136363636362","2.9064999999999999","5.2136363636363647E-3","8.0239999999999991","8.0839999999999996","8.0539999999999985","8.0005891460053569","8.0745500241532948","8.0330806574206637","-2.3410853994642267E-2","-9.4499758467048167E-3","-1.6430414920673542E-2","2.2936095238095238","2.2944095238095237","2.2940095238095237","536.70047619047625","3.3019545454545454","3.3082272727272728","3.3050909090909091","3.2888181818181819","3.3032272727272725","3.2960227272727272","-1.3136363636363502E-2","-5.0000000000003375E-3","-9.0681818181819196E-3"
2005-10-01,"2.9660450000000003","3.0015000000000001","-3.5454999999999792E-2","8.0160999999999998","8.08","8.0480499999999999","8.0033683698076281","8.0601020713674956","8.0307183568715761","-1.2731630192371668E-2","-1.9897928632504502E-2","-1.6314779412438085E-2","2.2556500000000006","2.2564500000000001","2.2560500000000001","535.49699999999996","3.3794761904761903","3.3815238095238094","3.3804999999999996","3.3746190476190483","3.3771428571428581","3.3758809523809532","-4.857142857142005E-3","-4.380952380951264E-3","-4.6190476190466345E-3"
2005-11-01,"2.9672181818181813","2.9765000000000001","-9.281818181818835E-3","8","8.08","8.0399999999999991","7.9903481108445114","8.0525145817256885","8.0224204872308658","-9.6518891554886466E-3","-2.7485418274311613E-2","-1.856865371490013E-2","2.2100350000000004","2.2108350000000003","2.2104350000000004","529.88142857142861","3.375666666666667","3.3778095238095251","3.3767380952380961","3.3689523809523814","3.3729047619047621","3.3709285714285717","-6.7142857142856727E-3","-4.9047619047630775E-3","-5.8095238095243751E-3"
2005-12-01,"3.0144523809523811","3.0474999999999999","-3.304761904761877E-2","8","8.08","8.0399999999999991","7.9759815055041674","8.0580886051738396","8.0152108812181488","-2.4018494495832599E-2","-2.1911394826160446E-2","-2.2964944660996522E-2","2.2846818181818183","2.2854818181818182","2.2850818181818178","514.33095238095245","3.4229523809523803","3.4255238095238099","3.4242380952380951","3.4190952380952373","3.4232857142857149","3.4211904761904761","-3.8571428571430033E-3","-2.2380952380949282E-3","-3.0476190476189657E-3"
2006-01-01,"3.0460363636363637","3.0714999999999999","-2.5463636363636244E-2","8","8.08","8.0399999999999991","7.9828356911175415","8.0605833253987811","8.02170355526723","-1.7164308882458457E-2","-1.9416674601218986E-2","-1.8290491741838721E-2","2.2730681818181817","2.2738681818181816","2.2734681818181817","524.4768181818182","3.3914545454545451","3.3943636363636358","3.3929090909090904","3.3995454545454549","3.4035454545454553","3.4015454545454551","8.0909090909098147E-3","9.1818181818195121E-3","8.6363636363646634E-3"
2006-02-01,"3.068905","3.0739999999999998","-5.0949999999998496E-3","7.9935999999999998","8.0736000000000008","8.0335999999999999","7.9763170412450659","8.0553703575143683","8.0117524294725477","-1.7282958754933908E-2","-1.8229642485632525E-2","-1.7756300620283216E-2","2.1611222222222226","2.1619222222222221","2.1615222222222226","525.70450000000005","3.2872999999999997","3.2893999999999997","3.2883499999999994","3.2867999999999995","3.2910499999999998","3.2889249999999999","-5.0000000000016698E-4","1.6500000000001513E-3","5.7499999999999218E-4"
