"MES","STBL01","STBL02","STBL03","STBL04","STBL05","STBL06","STBL07","STBL08","STBL09","STBL10","STBL11","STBL12"
1997-01-01,"5.2004999999999999","4.9626999999999999","4.9626999999999999","5.2004999999999999","5.1905000000000001","5.2104999999999997","5.1905000000000001","5.2","5.21","330000000","125173630","98190000"
1997-02-01,"5.2138999999999998","5.2133000000000003","5.2133000000000003","5.2138999999999998","5.2039","5.2239000000000004","5.2039","5.21","5.22","270000000","67285000","63400000"
1997-03-01,"5.2275","5.2279999999999998","5.2279999999999998","5.2285000000000004","5.2184999999999997","5.2385000000000002","5.2184999999999997","5.22","5.23","300000000","71192000","64955000"
1997-04-01,"5.2355","5.2356999999999996","5.2356999999999996","5.2355","5.2255000000000003","5.2454999999999998","5.2255000000000003","5.22","5.23","330000000","67865000","62070000"
1997-05-01,"5.2255000000000003","5.2257999999999996","5.2257999999999996","5.2255000000000003","5.2154999999999996","5.2355","5.2154999999999996","5.21","5.22","300000000","21225000","20475000"
1997-06-01,"5.2275","5.2270000000000003","5.2270000000000003","5.2275","5.2175000000000002","5.2374999999999998","5.2175000000000002","5.22","5.23","300000000","55890000","49410000"
1997-07-01,"5.2418181818181822","5.2413636363636362","5.2413636363636362","5.2423000000000002","5.2323000000000004","5.2523","5.2323000000000004","5.24","5.25","330000000","101560000","83605000"
1997-08-01,"5.2655000000000003","5.2645","5.2645","5.2655000000000003","5.2554999999999996","5.2755000000000001","5.2554999999999996","5.26","5.27","300000000","108850000","88615000"
1997-09-01,"5.2808999999999999","5.28","5.28","5.2808999999999999","5.2709000000000001","5.2908999999999997","5.2709000000000001","5.28","5.29","330000000","63115000","52840000"
1997-10-01,"5.3056999999999999","5.3029999999999999","5.3029999999999999","5.3056999999999999","5.2957000000000001","5.3156999999999996","5.2957000000000001","5.31","5.32","345000000","59010000","46850000"
1997-11-01,"5.3273999999999999","5.3268000000000004","5.3268000000000004","5.3273999999999999","5.3174000000000001","5.3373999999999997","5.3174000000000001","5.33","5.34","285000000","44030000","32430000"
1997-12-01,"5.3550000000000004","5.3540909090909095","5.3540909090909095","5.3550000000000004","5.3449999999999998","5.3449999999999998","5.3449999999999998","5.36","5.37","315000000","126303000","93238000"
1998-01-01,"5.3780999999999999","5.3771000000000004","5.3766999999999996","5.3780999999999999","5.3681000000000001","5.3880999999999997","5.3681000000000001","5.38","5.39","315000000","76500000","66235000"
1998-02-01,"5.4039000000000001","5.3978000000000002","5.3978000000000002","5.4039000000000001","5.3939000000000004","5.4138999999999999","5.3939000000000004","5.4","5.41","270000000","30520000","25570000"
1998-03-01,"5.4363000000000001","5.4325000000000001","5.4325000000000001","5.4377000000000004","5.4276999999999997","5.4474","5.4273999999999996","5.44","5.45","330000000","60980000","47755000"
1998-04-01,"5.4729000000000001","5.47","5.47","5.4729000000000001","5.4629000000000003","5.4828999999999999","5.4629000000000003","5.47","5.48","315000000","54055000","36125000"
1998-05-01,"5.4924999999999997","5.4904999999999999","5.4909999999999997","5.4924999999999997","5.4824999999999999","5.5025000000000004","5.4824999999999999","5.49","5.5","300000000","16655000","7800000"
1998-06-01,"5.5","5.5086000000000004","5.5086000000000004","5.5090000000000003","5.4989999999999997","5.5190000000000001","5.4989999999999997","5.51","5.52","315000000","31420000","27915000"
1998-07-01,"5.5309999999999997","5.5313999999999997","5.5313999999999997","5.5323000000000002","5.5223000000000004","5.5423","5.5223000000000004","5.53","5.54","330000000","10300000","9960000"
