"MES","INFL01"
2008-04-01,"0.73835238698334305"
2008-05-01,"1.8696913348222877"
2008-06-01,"1.2596244451722249"
2008-07-01,"0.45806744531569077"
2008-08-01,"0.65344127858448786"
2008-09-01,"0.88095865467046064"
2008-10-01,"0.17748198488785061"
2008-11-01,"0.13170795363433019"
2008-12-01,"0.42739901484214471"
2009-01-01,"0.35978854487523915"
2009-02-01,"-7.152760194465424E-2"
2009-03-01,"-0.48984696721854348"
2009-04-01,"-0.43361189817926471"
2009-05-01,"-0.18445294652948974"
2009-06-01,"0.19749312259578211"
2009-07-01,"-0.20138125743853763"
2009-08-01,"0.62399447288261634"
2009-09-01,"0.11143167368683482"
2009-10-01,"0.31783020918618732"
2009-11-01,"-0.19355461398620211"
2009-12-01,"0.23374394255033515"
2010-01-01,"0.17017587729066808"
2010-02-01,"0.16603435772408748"
2010-03-01,"-0.1197020974005869"
2010-04-01,"9.0560768466430019E-2"
2010-05-01,"-1.7660115800555154E-2"
2010-06-01,"0.142102218474216"
2010-07-01,"0.61834449071225261"
2010-08-01,"1.056690754832923"
2010-09-01,"0.76578535498883493"
2010-10-01,"1.2239935536949353"
2010-11-01,"1.1144137794852682"
2010-12-01,"1.7647827465735899"
2011-01-01,"1.2926353237642463"
2011-02-01,"1.659951865476117"
2011-03-01,"0.88781397566739528"
2011-04-01,"2.1911357578474622E-2"
2011-05-01,"0.19967036347463551"
2011-06-01,"0.14358686014119826"
2011-07-01,"0.53195737791014164"
2011-08-01,"0.37924438665200011"
2011-09-01,"0.30436851490054373"
2011-10-01,"0.47317256426628873"
2011-11-01,"0.3228557857571035"
2011-12-01,"0.49006266447675362"
2012-01-01,"0.30072887588781239"
2012-02-01,"0.49460521368336341"
2012-03-01,"0.2927837845116521"
2012-04-01,"0.15603868798950149"
2012-05-01,"0.49051747117270228"
2012-06-01,"0.21414217212469833"
2012-07-01,"0.38315833743118866"
2012-08-01,"0.35407177258397482"
2012-09-01,"0.37260436489279236"
2012-10-01,"0.38170331733939911"
2012-11-01,"0.47461121839549314"
2012-12-01,"0.53406917832985457"
2013-01-01,"0.66479685815374889"
2013-02-01,"0.64916224190216809"
2013-03-01,"0.2508484217907947"
2013-04-01,"7.0280958635526858E-2"
2013-05-01,"0.2720006052194579"
2013-06-01,"0.30515213841830757"
2013-07-01,"0.61161721805524927"
2013-08-01,"1.3385748189147062"
2013-09-01,"1.3596887745910724"
2013-10-01,"0.73316126708993234"
2013-11-01,"-3.0784519344018157E-2"
2013-12-01,"8.1989524841086237E-2"
2014-01-01,"0.25961796773248391"
2014-02-01,"0.75728305664761741"
2014-03-01,"0.21199346704479094"
2014-04-01,"0.16103311684814159"
2014-05-01,"0.42000574424958526"
2014-06-01,"1.2081526436972467"
2014-07-01,"0.73459008441414397"
2014-08-01,"6.3925829203248519E-2"
2014-09-01,"-0.37559019489218359"
2014-10-01,"9.7016270258576398E-2"
2014-11-01,"0.70963966741739437"
2014-12-01,"0.83728986715818632"
2015-01-01,"0.9672709367622323"
2015-02-01,"0.33529006825940844"
2015-03-01,"-0.48956753291364841"
2015-04-01,"-0.42570068392118188"
2015-05-01,"0.36557201447200427"
2015-06-01,"0.34206208843943209"
2015-07-01,"0.60619358442379756"
2015-08-01,"0.20068945270916849"
2015-09-01,"0.46960283778656464"
2015-10-01,"0.33207645749748771"
2015-11-01,"5.3308238009286413E-2"
2015-12-01,"0.16598570799075674"
