"MES","BZCR01","BZCR02","BZCR03"
1998-01-01,"432.666666625","500.09333337500004","-67.426666750000038"
1998-02-01,"366.166666625","418.94333337500001","-52.776666750000004"
1998-03-01,"549.106666625","545.93333337500007","3.1733332499999278"
1998-04-01,"396.86666662499999","362.73333337500003","34.133333249999964"
1998-05-01,"167.20666662499997","319.59333337500004","-152.38666675000007"
1998-06-01,"171.10666662499997","174.53333337500001","-3.4266667500000381"
1998-07-01,"238.70666662499997","233.55333337500002","5.153333249999946"
1998-08-01,"161.00666662499998","120.39333237500001","40.613334249999966"
1998-09-01,"156.90666662499999","225.09333337500001","-68.186666750000029"
1998-10-01,"194.20666662499997","217.49333337500002","-23.286666750000052"
1998-11-01,"147.70666662499997","144.59333337500001","3.113333249999954"
1998-12-01,"262.84666662499995","196.74333337500002","66.103333249999935"
1999-01-01,"125.54","157.94999999999999","-32.409999999999982"
1999-02-01,"135.4","143.80000000000001","-8.4000000000000057"
1999-03-01,"139.72","176.02","-36.300000000000011"
1999-04-01,"106.7","144.19999999999999","-37.499999999999986"
1999-05-01,"177.1","150.80000000000001","26.299999999999983"
1999-06-01,"233.6","185.6","48"
1999-07-01,"129.12","188.8","-59.680000000000007"
1999-08-01,"116.7","103.34","13.36"
1999-09-01,"186.3","125.12","61.180000000000007"
1999-10-01,"97.7","163.63999999999999","-65.939999999999984"
1999-11-01,"108.6","113","-4.4000000000000057"
1999-12-01,"331.4","208.8","122.59999999999997"
2000-01-01,"223.1","236.5","-13.400000000000006"
2000-02-01,"181.5","194.44","-12.939999999999998"
2000-03-01,"143","179.8","-36.800000000000011"
2000-04-01,"84","114.5","-30.5"
2000-05-01,"133","110.04","22.959999999999994"
2000-06-01,"120.6","124.7","-4.1000000000000085"
2000-07-01,"100","140.4","-40.400000000000006"
2000-08-01,"134.6","137.9","-3.3000000000000114"
2000-09-01,"123.2","135.19999999999999","-11.999999999999986"
2000-10-01,"126.6","121.5","5.0999999999999943"
2000-11-01,"95.1","109.6","-14.5"
2000-12-01,"219.6","125.7","93.899999999999991"
2001-01-01,"118.9","237.3","-118.4"
2001-02-01,"96.6","85.7","10.899999999999991"
2001-03-01,"124.4","143.4","-19"
2001-04-01,"146.1","134.30000000000001","11.799999999999983"
2001-05-01,"132.9","125.8","7.1000000000000085"
2001-06-01,"179.6","111.1","68.5"
2001-07-01,"110.3","99.7","10.599999999999994"
2001-08-01,"71.739999999999995","88.48","-16.740000000000009"
2001-09-01,"79.3","115.7","-36.400000000000006"
2001-10-01,"101.64","104.35","-2.7099999999999937"
2001-11-01,"193.3","116.13","77.170000000000016"
2001-12-01,"102.6","139.43","-36.830000000000013"
2002-01-01,"198","184.6","13.400000000000006"
2002-02-01,"50.9","118.34","-67.44"
2002-03-01,"61.7","136.34","-74.64"
2002-04-01,"54.4","93.6","-39.199999999999996"
2002-05-01,"110.73","81.08","29.650000000000006"
2002-06-01,"119.4","191.9","-72.5"
2002-07-01,"515.84","588.65","-72.809999999999945"
2002-08-01,"258","142.80000000000001","115.19999999999999"
2002-09-01,"160","186.9","-26.900000000000006"
2002-10-01,"127.6","158.6","-31"
2002-11-01,"109","140.30000000000001","-31.300000000000011"
2002-12-01,"144.6","191.2","-46.599999999999994"
2003-01-01,"177.2","164","13.199999999999989"
2003-02-01,"116.9","260.60000000000002","-143.70000000000002"
2003-03-01,"103.7","84.4","19.299999999999997"
2003-04-01,"191","102.7","88.3"
2003-05-01,"83","121.1","-38.099999999999994"
2003-06-01,"196.9","64.3","132.60000000000002"
2003-07-01,"126.2","118","8.2000000000000028"
2003-08-01,"58.3","84.1","-25.799999999999997"
2003-09-01,"111.2","79.8","31.400000000000006"
2003-10-01,"388.5","267.39999999999998","121.10000000000002"
2003-11-01,"85.7","215.3","-129.60000000000002"
2003-12-01,"280.10000000000002","214.9","65.200000000000017"
2004-01-01,"115.8","188.3","-72.500000000000014"
2004-02-01,"78.5","98.8","-20.299999999999997"
2004-03-01,"109.9","113.3","-3.3999999999999915"
2004-04-01,"103.3","179.6","-76.3"
2004-05-01,"120.7","100.9","19.799999999999997"
2004-06-01,"169","173.6","-4.5999999999999943"
2004-07-01,"203.2","148.69999999999999","54.5"
