"MES","BCMA01","BCMA02","BCMA03","BCMA04","BCMA05","BCMA06","BCMA07","BCMA08","BCMA09","BCMA10","BCMA11","BCMA12","BCMA13","BCMA14","BCMA15","BCMA16","BCMA17","BCMA18"
2000-03-01,"6854456.2999999998","10057505.862","3203049.5619999999","744822.9",,"5221128.477","5221128.477","0","26817737.100000001","26660995","21799506","353240.7","1282301.2","3225947.1","156742.1","538224.93900000001","3611943.5870000012","43788313.303000003"
2000-04-01,"6726627.7859999985","9984085.686999999","3257457.9010000001","748498.01300000004",,"5452141.1529999999","5452141.1529999999","0","26917206.599999998","26762001.499999996","21719489.799999997","453078.7","1174920.1000000001","3414512.9","155205.1","529426.95100000012","3511344.115999999","43885244.618999995"
2000-05-01,"6624638.9870000007","9650996.0040000007","3026357.017","752173.12600000005",,"5473618.4919999996","5473618.4919999996","0","26842917","26696480","21555732","381634","1230901","3528213","146437","487553.62699999998","3529911.8929999992","43710813.125"
2000-06-01,"6701324.8250000002","9777270.8870000001","3075946.0619999999","755848.23899999994",,"5239852.5489999996","5239852.5489999996","0","26894604","26748533","21856760","302931","1030555","3558287","146071","517252.03","3553915.7570000002","43662797.399999999"
2000-07-01,"6959586.6620000005","9867751.3640000001","2908164.702","759523.35199999996",,"5380348.0300000003","5380348.0300000003","0","26897636","26753734","21504589","524287","1051836","3673022","143902","527856.674","3713914.4129999997","44238865.131000005"
2000-08-01,"7473773.892","10277256.125","2803482.233","770518.71499999997",,"5464041.4970000004","5464041.4970000004","0","26775622","26631663","21165340","523277","1138167","3804879","143959","528158.89899999998","3144448.1150000002","44156563.118000001"
2000-09-01,"7856703.9209999992","10422823.393999999","2566119.4730000002","775465.86600000004",,"5296002.6220000004","5296002.6220000004","0","26904177","26760185","20741140","582320","1589903","3846822","143992","476655.25599999999","2866017.3119999999","44175021.976999991"
2000-10-01,"7692146.6520000007","10099999.491","2407852.8390000002","779176.22900000005",,"5558788.2000000002","5558788.2000000002","0","26734734","26588483","20385949","566685","1692944","3942905","146251","474728.13","2771748.7939999998","44011322.005000003"
2000-11-01,"7819946.8049999988","10245495.289999999","2425548.4850000003","784123.38",,"5648298.9730000002","5648298.9730000002","0","26578271","26431991","20042270","619399","1694643","4075679","146280","492780.01799999998","2791938.7989999996","44115358.975000001"
2000-12-01,"8531779.0300000012","10878292.528000001","2346513.4980000001","789070.53",,"5713916.5109999999","5713916.5109999999","0","26119838","25970738","20287025","296392","1434799","3952522","149100","482876.24099999998","3149255.8040000005","44786736.115999997"
2001-01-01,"8737031.9560000002","10767817.067","2030785.111","792780.89300000004",,"5996341.4579999996","5996341.4579999996","0","25567101","25420062","19453647","682238","1359865","3924312","147039","455894.14500000002","3108240.1320000002","44657389.583999999"
2001-02-01,"8872312.2189999986","10732304.162999999","1859991.9439999999","795254.46900000004",,"6016774.034","6016774.034","0","25467746","25321588","19106102","633041","1575133","4007312","146158","468551.25","3933035.835","45553673.807000004"
2001-03-01,"8652343.8269999996","10236287.293","1583943.466","800201.61899999995",,"6067191.0429999996","6067191.0429999996","0","25182872","25037223","18731356","608433","1634104","4063330","145649","468070.42099999997","3939300.39","45109979.299999997"
2001-04-01,"8843165.5","10342973.407","1499807.9070000001","803911.98199999996",,"6071663.4819999998","6071663.4819999998","0","24991935","24847948","18493065","523955","1633480","4197448","143987","448337.71899999998","4098905.0020000003","45257918.685000002"
