"MES","SFBP01","SFBP02","SFBP03","SFBP04","SFBP05","SFBP06","SFBP07","SFBP08","SFBP09","SFBP10","SFBP11","SFBP12","SFBP13","SFBP14","SFBP15","SFBP16","SFBP17","SFBP18","SFBP19","SFBP20","SFBP21","SFBP22","SFBP23","SFBP24","SFBP25","SFBP26","SFBP27","SFBP28","SFBP29","SFBP30","SFBP31"
2000-05-01,"392983","0","0","0","0","19177","801","18376","-","-","362077","2915","358137","1025","1025","11729","31","11698","-","139459","0","70505","68954","1267","1267","-","-","0","72732","173039","179705"
2000-06-01,"408121","0","0","0","0","19472","821","18651","-","-","378222","3095","374097","1030","1030","10427","25","10402","-","145616","0","71242","74374","1315","1315","-","-","0","85139","175987","183195"
2000-07-01,"399707","0","0","0","0","21498","903","20595","-","-","373526","3212","369279","1035","1035","4683","20","4663","-","145113","0","75285","69828","946","946","-","-","0","94829","157842","193538"
2000-08-01,"424097.93299999996","0","0","0","0","21840.893","896.38","20944.512999999999","-","-","397751.97","3177.4989999999998","393534.25199999998","1040.2190000000001","1040.2190000000001","4505.07","12.449","4492.6210000000001","-","151647","0","76905","74742","1156","1156","-","-","0","92510","161418","193057"
2000-09-01,"423136.49599999998","0","0","0","0","24296","1002","23294","-","-","394199","3101","390051","1047","1047","4641.4960000000001","23.812999999999999","4617.683","-","153414","0","78643","74771","1051","1051","-","-","0","96742","162443","189981"
2000-10-01,"407335.86499999999","0","0","0","0","22063","936","21127","-","-","381124","1947","378125","1052","1052","4148.8650000000007","37.591000000000001","4111.2740000000003","-","159196","0","84268","74928","1011","1011","-","-","0","93984","161446","190041"
2000-11-01,"424034.16499999998","0","0","0","0","23653","994","22659","-","-","396173","1857","393257","1059","1059","4208.165","30.140999999999998","4178.0240000000003","-","167746","2156","79092","86498","1113","1113","-","-","0","96679","157798","188237"
2000-12-01,"450128.65700000001","0","0","0","0","26347","1130","25217","-","-","409981","8279","400637","1065","1065","13800.656999999999","10032.525","3768.1320000000001","-","187209","0","82116","105093","4389","4389","-","-","0","95774","154124","189842"
2001-01-01,"455709.44400000002","381","381","0","0","30840","5297","25543","-","-","411407","1861","408366","1180","1180","13081.444","9159.5769999999993","3921.8670000000002","-","182300","0","80215","102085","4019","4019","-","-","0","96204","166028","186248"
2001-02-01,"441735.30599999998","418","185","233","0","35603","7027","28576","-","-","393500","1852","390464","1184","1184","12214.306","8301.0630000000001","3913.2429999999999","-","180525","0","79684","100841","3982","3981","1","-","0","104240","182797","182389"
2001-03-01,"451816.08799999999","475","215","260","0","36619","6585","30034","-","-","403357","1850","400316","1191","1191","11365.088","7501.04","3864.0479999999998","-","184456","0","82603","101853","4164","4164","-","-","0","102059","179326","182419"
2001-04-01,"455158.74400000001","466","215","251","0","37047","1941","35106","-","-","407599","1845","404557","1197","1197","10046.744000000001","6174.107","3872.6370000000002","-","204239","0","99135","105104","988","988","-","-","0","99954","180532","179179"
2001-05-01,"472433.217","686","214","472","0","41370","2025","39345","-","-","421679","1919","418518","1242","1242","8698.2170000000006","4781.7730000000001","3916.444","-","199942","0","99419","100523","1021","1021","-","-","0","100077","186421","177965"
2001-06-01,"485346.91800000001","392","345","47","0","44460","2593","41867","-","-","433862","1915","430699","1248","1248","6632.9179999999997","2522.9059999999999","4110.0119999999997","-","192123","0","92188","99935","1290","1290","-","-","0","95843","178287","178310"
2001-07-01,"503704.24599999998","942","904","38","0","49854","2855","46999","-","-","449107","1889","445959","1259","1259","3801.2460000000001","198.71700000000001","3602.529","-","196249","0","94395","101854","1360","1360","-","-","1328","87031","186247","174267"
2001-08-01,"521702.51400000002","493","453","40","0","59068","3474","55594","-","-","458439","1912","456527","0","0","3702.5140000000001","81.337000000000003","3621.1770000000001","-","203212","0","98653","104559","1060","1060","-","-","1336","86786","194682","172474"
2001-09-01,"545585.076","1234","1195","39","0","62214","4387","57827","-","-","478430","1945","476485","0","0","3707.076","87.424999999999997","3619.6509999999998","-","198989","0","99353","99636","1104","1104","-","-","1344","93053","199362","170321"
2001-10-01,"566269.62199999997","568","534","34","0","70255","5127","65128","-","-","491643","1981","489662","0","0","3803.6219999999998","175.33500000000001","3628.2869999999998","-","199556","0","102218","97338","1575","1575","-","-","1356","90334","193175","181054"
2001-11-01,"582162.16200000001","653","616","37","0","77162","5416","71746","-","-","500569","2007","498562","0","0","3778.1619999999998","90.775999999999996","3687.386","-","205167","0","102359","102808","1168","1168","-","-","1362","94849","194676","177520"
2001-12-01,"587442.11100000003","1885","1833","52","0","78835","5848","72987","-","-","502990","2245","500745","0","0","3732.1110000000003","98.82","3633.2910000000002","-","233240","0","118039","115201","2876","2876","-","-","1362","96447","190275","183792"
2002-01-01,"630964.16700000002","1104","989","115","0","81181","6295","74886","-","-","544726","2266","542460","0","0","3953.1669999999999","132.13900000000001","3821.0279999999998","-","233357","0","119907","113450","4331","4331","-","-","0","100790","195871","186992"
2002-02-01,"648849.02500000002","922","916","6","0","92444","6839","85605","-","-","551352","2243","549109","0","0","4131.0249999999996","143.23500000000001","3987.79","-","231989","0","119077","112912","4202","4202","-","-","0","101809","204489","185455"
2002-03-01,"669351.09900000005","2922","930","1992","0","97824","7170","90654","-","-","564376","2146","562230","0","0","4229.0990000000002","94.424999999999997","4134.674","-","232850","0","126478","106372","4438","4438","-","-","0","100876","215009","179883"
2002-04-01,"676258.66500000004","1820","270","1550","0","102792","8227","94565","-","-","567307","2184","565123","0","0","4339.665","144.63499999999999","4195.03","-","222875","0","118505","104370","1277","1277","-","-","0","91934","220466","177389"
2002-05-01,"727318.22100000002","1280","388","892","0","117293","8639","108654","-","-","603093","2180","600913","0","0","5652.2210000000005","119.367","5532.8540000000003","-","216541","0","114352","102189","1256","1256","-","-","0","85356","220429","177573"
2002-06-01,"736922.45600000001","1213","293","920","0","123719","9223","114496","-","-","607250","2168","605082","0","0","4740.4560000000001","97.254000000000005","4643.2020000000002","-","230406","0","117558","112848","1424","1424","-","-","2860","95215","210923","182635"
2002-07-01,"719025.14199999999","1373","708","665","0","119250","10703","108547","-","-","593652","2153","591499","0","0","4750.1419999999998","184.3","4565.8419999999996","-","230434","1004","99308","130122","1295","1295","-","-","2888","99695","215784","183831"
2002-08-01,"733582.02800000005","2521","2506","15","0","127665","12205","115460","-","-","598589","2133","596456","0","0","4807.0279999999993","132.47999999999999","4674.5479999999998","-","227903","1012","93797","133094","1281","1281","-","-","5460","104691","214818","195588"
2002-09-01,"748812.73400000005","655","640","15","0","142094","14323","127771","-","-","601691","2170","599521","0","0","4372.7339999999995","157.88300000000001","4214.8509999999997","-","236241","0","84299","151942","1293","1293","-","-","5498","111225","212213","197410"
2002-10-01,"877472.08799999999","4395","3862","533","0","166905","15115","151790","-","-","701593","2824","698769","0","0","4579.0879999999997","266.71899999999999","4312.3689999999997","-","235849","0","83257","152592","3901","3883","18","-","5535","129220","244032","215550"
2002-11-01,"885442.32700000005","4066","3910","156","0","171400","14830","156570","-","-","705304","2802","702502","0","0","4672.3269999999993","516.71299999999997","4155.6139999999996","-","247703","0","78628","169075","3917","3902","15","-","5573","126589","246861","219612"
2002-12-01,"919449.80299999996","2940","2846","94","0","191020","16242","174778","-","-","722025","1725","720300","0","0","3464.8029999999999","471.767","2993.0360000000001","-","261821","0","77904","183917","7382","7338","44","-","11968","126311","223008","233618"
2003-01-01,"946182.24800000002","4588","4244","344","0","189965","16640","173325","-","-","748556","980","747576","0","0","3073.248","426.21699999999998","2647.0309999999999","-","287290","0","95260","192030","7222","7179","43","-","14307","123340","226819","237146"
2003-02-01,"952817.12699999998","4443","4240","203","0","187533","17617","169916","-","-","757900","1018","756882","0","0","2941.127","381.25900000000001","2559.8679999999999","-","292890","0","92156","200734","6674","6647","27","-","11703","123646","230369","238690"
