"MES","SFBA01","SFBA02","SFBA03","SFBA04","SFBA05","SFBA06","SFBA07","SFBA08","SFBA09","SFBA10","SFBA11","SFBA12","SFBA13","SFBA14","SFBA15"
2009-11-01,"1473596.9752200001","166713.04482999997","838917.74927000003","467966.18112000002","501651.88578000007","5691007.7230200013","5679871.5724100014","5611726.4153800011","0","46311.959969999996","21833.197059999999","11136.150610000001","10621.96859","333658.54409999994","8010537.0967100011"
2009-12-01,"1586768.0135599999","146981.85137000002","895501.29836999997","544284.86381999997","470315.03279000003","5849118.12787","5837587.7477099998","5776368.9899599999","0","39753.608439999996","21465.149310000001","11530.380160000001","24717.558239999998","333861.0097600001","8264779.7422199994"
2010-01-01,"1620996.21077","156626.24949000002","973269.24549999996","491100.71577999991","458192.58567999996","5882028.8480700003","5873558.2986099999","5808175.7756699994","0","43074.804270000008","22307.718669999998","8470.5494600000002","22330.211569999999","355314.67838000011","8338862.5344700012"
2010-02-01,"1689955.2011900002","178596.19815000001","1010012.4021600001","501346.60088000004","459908.79849000002","5935227.3202800006","5926447.6961200004","5846581.86907","0","56822.941899999991","23042.885150000002","8779.6241600000012","23662.527669999999","339483.55267000006","8448237.4002999999"
2010-03-01,"1647775.1381600001","173061.58465","958603.87326000014","516109.68025000003","454394.86372000002","6055637.4381999997","6053442.9598699994","5974416.2514800001","0","53955.670939999996","25071.037450000003","2194.4783300000004","22983.816149999999","339034.82854999992","8519826.0847800002"
2010-04-01,"1702740.2408199999","176708.51284000001","960205.58915999997","565826.13881999999","443662.28867000004","6180451.6563899992","6178240.4480599994","6102085.1926799994","0","51153.554549999993","25001.700830000002","2211.2083300000004","21517.447170000003","354600.85027000005","8702972.4833199997"
2010-05-01,"1224146.16276","127051.02200999999","760462.61708","336632.52367000002","332975.89083000005","3950258.3549400005","3948462.3895600005","3893444.5569200008","0","34850.78686","20167.04578","1795.9653800000003","12647.39819","264069.86449999991","5784097.6712200008"
2010-06-01,"1189977.267","133354.12427","736957.31692999986","319665.82579999999","343537.82709000004","4042553.1820100006","4040757.2166300006","3986975.7226100005","0","32775.97047","21005.523550000002","1795.9653800000003","11071.79177","260980.54641000001","5848120.6142800003"
2010-07-01,"1160275.6150500001","132785.06467999998","688644.24928000011","338846.30109000002","320666.94393999997","4135954.1719700005","4134158.2065900005","4077658.9499000004","0","36079.422229999996","20419.834460000005","1795.9653800000003","8848.9125499999991","272371.73129000003","5898117.3748000003"
2010-08-01,"1189795.0549600001","153677.21322000001","698661.58773000003","337456.25401000003","328645.19168000005","4239204.5477100005","4237398.1273300005","4176262.3019099999","0","39869.220419999998","21266.605","1806.4203800000003","7861.6254900000004","259591.24362999998","6025097.66347"
2010-09-01,"1260091.34173","170998.61714000002","765314.46747000003","323778.25712000002","336766.27977999998","4345673.3978299992","4343866.9774499992","4280882.4942999994","0","41444.507409999991","21539.975740000002","1806.4203800000003","6188.3654200000001","278978.13614000002","6227697.520899999"
2010-10-01,"1195198.3452999999","160251.45804999999","697476.71905999992","337470.16819","327911.67148999998","4472112.2928699991","4470302.4065199988","4404829.7584699988","0","42460.280640000004","23012.367409999999","1809.88635","4494.6030300000002","284825.54519999993","6284542.4578899983"
