"MES","SEMI01","SEMI02","SEMI03","SEMI04","SEMI05","SEMI06","SEMI07","SEMI08","SEMI09"
1998-01-01,"83.829664767745939","106.02529324112598","93.784320742374106","68.369917236415631","77.198546465963489",,"120.17806997373023","73.586366123768315","51.238922047386509"
1998-02-01,"82.311809265862792","104.43332187113934","95.262927135513408","99.531914459662474","69.274761403887766",,"149.54055288942311","78.245123841492585","72.345812986073426"
1998-03-01,"89.680091212507151","106.04205083449585","93.647914106200133","93.871739912698999","69.696061128451646","80.032012805121383","128.95220997736061","75.701442756219762","77.871224452884789"
1998-04-01,"88.674099211117479","106.02529324112598","92.975397667377365","72.915285695346341","67.305526600556448",,"134.26546695773146","66.050678143454476","50.894438205319226"
1998-05-01,"92.220471876631649","112.87346838862798","96.088575068423793","73.566376875678841","71.133900836693712","81.699346405228752","136.35251030501493","76.365350845000677",
1998-06-01,"97.634601081076084","87.876819623276276","95.808520647599735","70.371294198536532","68.897903989181884",,"116.6940164865411","75.145918714098471","54.259359739555073"
1998-07-01,"91.037886023559381","99.679058571810643","93.328973185088287","68.891687657430737","67.748478701825562",,"126.37149765523201","75.285147509587574","93.326098752034724"
1998-08-01,"95.829353709009865","90.746188820540254","91.62851536952256","69.395465994962223","70.723461798512503",,"119.12815045536578","74.077939800209279","33.912099837221923"
1998-09-01,"86.214581343521175","101.63145225996256","88.423806409417921","69.269521410579344","68.559837728194722",,"95.617757523813509","73.102240875667007","90.432266232591786"
1998-10-01,"85.91212989493792","100.66862797539449","85.74231523871812","63.602015113350127","65.382014874915484","77.824463118580766","113.88952763202821","75.782823517555173","69.99457406402604"
1998-11-01,"99.729385546004451","86.60069537309441","73.904512753433622","60.957178841309826","66.058147396889794",,"110.05497836402785","75.384570909767234","89.527943570265876"
1998-12-01,"84.177013689907668","101.25702059374164","89.601046435578809","63.85390428211587","63.150777552400271","43.370681605975726","109.00140058950186","75.965794517146861",
1999-01-01,"81.263928685132129","84.594811446910938","79.921517331589271","62.594458438287155","63.286004056795129","32.679738562091501","94.893074398478163","74.143990478352734",
1999-02-01,"82.282712511938868","84.059909066595353","81.556572923479393","62.468513853904284","65.652467883705199","32.679738562091501","118.6842820410979","73.719632240429263",
1999-03-01,"85.179879019420568","87.242578229473125","82.799215173315886","67.884130982367765","67.072346179851252",,"121.4548013741107","73.975210272505564",
1999-04-01,"84.765998089780325","103.63733618614603","82.145192936559837","63.979848866498742","70.25016903313049","32.679738562091501","86.512532140393418","72.360502381250328",
1999-05-01,"88.299904489016242","86.119283230810382","56.245912361020274","66.624685138539036","70.791075050709935","45.845004668534081","119.14835796559149","72.356437601275104","80.30385241454151"
1999-06-01,"86.644380770455271","87.884461085851825","92.151733158927399","66.750629722921914","68.965517241379317","40.476190476190474","109.70448258321662","68.585375911890267",
1999-07-01,"83.476599808978037","72.372292056699649","77.043819489862656","63.85390428211587","69.776876267748477","61.297852474323065","114.01355993617214","66.484451657587726","15.40965816603364"
1999-08-01,"82.983126392868513","87.403048943567796","64.355788096795294","60.201511335012597","78.431372549019613","35.574229691876752","117.55962957543325","65.518950619152236",
1999-09-01,"83.683540273798158","84.166889542658467","83.911052975801184","64.105793450881606","72.143340094658555","37.628384687208218","86.070754158217838","65.752647517373745","86.814975583288117"
1999-10-01,"85.323145495065262","99.331372024605514","89.535644211903204","63.85390428211587","78.972278566599059","67.927170868347332","115.18698915065744","75.699084258576548","36.172906493036713"
1999-11-01,"86.708054759630684","88.713559775340997","53.956834532374103","61.083123425692698","77.349560513860723","38.748832866479923","116.58339778832284","76.552352649130512","48.688732139627419"
1999-12-01,"92.168099331423107","103.155924043862","54.807063440156966","60.957178841309826","78.701825557809329","45.985060690943044","116.19736466194229","73.436343429347062","36.172906493036713"
2000-01-01,"93.027698185291314","99.518587857715971","45.192936559843034","59.697732997481111","81.068289384719407","85.434173669467782","114.3995930625527","73.02055397121417","90.432266232591786"
2000-02-01,"88.98439987265202","100.74886333244183","48.070634401569656","58.438287153652396","76.673427991886413","84.407096171802053","117.76100786699277","75.150315004476454","99.475492855850973"
2000-03-01,"88.681948424068764","99.144156191495057","51.47155003270111","55.541561712846345","75.11832319134551","80.298786181139121","116.0684546829163","75.505228592764382","81.841200940495568"
2000-04-01,"78.462273161413563","106.98047606311849","49.051667756703729","54.534005037783373","74.509803921568633","80.018674136321195","115.36397906780665","72.386112890838774","126.60517272562851"
2000-05-01,"80.627188793377911","103.28964963894089","44.735120994113799","52.770780856423173","77.484787018255574","81.185807656395895","111.42630181658549","71.416004036989335","61.80141074335323"
2000-06-01,".","104.78737630382456","46.566383257030736","52.770780856423173","77.146720757268426",,"111.28206200221585","71.39604748461592","54.259359739555073"
2000-07-01,"78.414517669532003","106.01765177855042","50.882930019620666","53.40050377833753","76.064908722109536","82.352941176470594","111.07441241437938","73.52220691518896","135.64839934888769"
2000-08-01,"84.01782871696912","94.543995720780956","46.762589928057551","58.312342569269518","77.484787018255574","86.461251167133526","109.27524719359492","71.024347712618933","90.432266232591786"
2000-09-01,"85.689270932823945","87.376303824552025","48.79005886200131","58.186397984886646","81.744421906693717",,"108.61815470591104","70.434235892837705","103.99710616748055"
2000-10-01,"85.323145495065262","100.9093340465365","51.929365598430344","62.720403022670027","78.363759296822181","90.569561157796457","111.00403453393817","70.098815679637198",
2000-11-01,"83.699458771092011","106.98047606311849","50.948332243296271","58.312342569269518","72.41379310344827","84.407096171802053","107.91367909080139","68.491127320009113","54.259359739555073"
