"MES","BCTA01","BCTA02","BCTA03","BCTA04","BCTA05","BCTA06","BCTA07","BCTA08","BCTA09","BCTA10","BCTA11","BCTA12","BCTA13","BCTA14","BCTA15"
2010-12-01,"1177470.32082","30466.6325","352665.23805999995","794338.45025999995","324445.93822000001","2183709.6455900003","2183042.9925900004","2108065.6711400002","0","7986.3276099999994","66990.993839999996","666.65300000000002","349188.29996000003","170392.86016000016","4205207.0647500008"
2011-01-01,"1152172.3301599999","22603.642500000002","372096.25368999998","757472.43397000001","224311.83716","2207678.3880999996","2207011.7350999997","2128194.4651899999","0","12553.850779999999","66263.419129999995","666.65300000000002","348612.53087000002","173207.04149999993","4105982.1277899994"
2011-02-01,"1143607.01529","27329.799600000002","353906.15330999997","762371.06238000002","220313.80012","2232757.7677999996","2232092.8854899998","2150157.8657299997","0","15802.158439999999","66132.861319999996","664.88231000000007","339324.97110000008","173235.61257","4109239.1668799999"
2011-03-01,"1159144.03743","25929.317400000004","340437.88015999994","792776.83987000003","233672.28946000003","2253290.5113199996","2252627.3996799998","2172691.2850199998","0","14078.71055","65857.404110000003","663.11163999999997","305460.81348000001","173923.47581999993","4125491.1275099996"
2011-04-01,"1294614.3069699998","29898.115739999997","494322.69074000005","770393.50048999989","232549.89170000001","2278890.2676499998","2278219.2987099998","2195461.0032999995","0","16237.9221","66520.373309999995","670.96893999999998","159237.53230000002","173931.46376000007","4139223.4623799999"
2011-05-01,"1268551.8149299999","28064.487840000002","475733.65416000003","764753.67292999988","233440.37755000003","2316953.9242400001","2316282.9553","2238779.8844100004","0","13238.184360000001","64264.886530000003","670.96893999999998","141539.82219000001","176551.16364999989","4137037.1025600005"
2011-06-01,"1245944.7760900003","26699.962640000002","476222.38034000009","743022.4331100001","226502.49966999999","2353613.3049099999","2352943.65399","2274966.2442600001","0","15198.103260000002","62779.30647000001","669.65091999999981","141095.06650000002","175143.50739999977","4142299.1545700002"
2011-07-01,"1229815.50043","25041.310060000003","457886.78938999999","746887.40098000003","228967.61981","2381409.4676300003","2380740.7147500003","2303290.0868700002","0","12953.528720000002","64497.099159999998","668.75287999999989","135085.87915000002","176704.97576000006","4151983.4427800002"
2011-08-01,"1196440.7317900001","25166.472759999997","431754.00899000006","739520.25003999996","215149.38421000002","2416302.0481700003","2415633.2952900003","2341637.6684700004","0","11317.003049999999","62678.623769999991","668.75287999999989","134635.98484000002","179372.35332000011","4141900.502330001"
2011-09-01,"1174390.1035199999","24103.766179999999","407906.04823000001","742380.28911000001","212374.51936000001","2456415.8645299999","2455747.1116499999","2380734.6115799998","0","14282.920939999998","60729.579130000006","668.75287999999989","134138.8351","178596.01150999998","4155915.3340199995"
2011-10-01,"1122450.5498200003","23821.379430000005","370123.86645000003","728505.30394000013","212764.10934999998","2496431.0328299995","2495762.2799499994","2421570.8263599998","0","13843.46487","60347.988719999994","668.75287999999989","133512.81351000001","181294.69493000011","4146453.2004399998"
2011-11-01,"1162903.8756299999","25828.597129999998","371261.90671999997","765813.37177999993","211832.82415","2527640.3129200004","2526972.5980600002","2455511.6896600001","0","11484.730210000002","59976.178189999999","667.71486000000004","65299.529209999993","180213.55970999994","4147890.1016199999"
2011-12-01,"1162965.2880899999","21707.83653","367554.12256000005","773703.32900000003","216328.24980000005","2561213.9172800002","2560546.20242","2494146.5713400003","0","8730.0167499999989","57669.614329999989","667.71486000000004","68792.304529999994","177139.54305999994","4186439.3027599999"
2012-01-01,"1183198.8333800002","24881.091819999998","396709.12807000009","761608.61349000002","222185.99754000001","2589836.7840800001","2589168.91322","2517962.7279400001","0","14019.327700000002","57186.857580000004","667.87086000000011","67981.222670000003","176828.25180999993","4240031.0894800005"
2012-02-01,"1175004.5053300001","31052.941509999997","385408.9386900001","758542.62513000006","222860.54076","2612449.3917700001","2611781.52091","2536685.5443099998","0","18868.409859999996","56227.566739999995","667.87086000000011","67535.477719999995","176296.05717999989","4254145.9727599993"
2012-03-01,"1173336.23251","30484.501210000002","403942.73115000007","738909.00014999998","221311.45589000001","2634328.7049100003","2633660.8340500002","2560265.5106700002","0","16404.550440000003","56990.772940000003","667.87086000000011","67083.850040000005","178414.64351000008","4274474.88686"
2012-04-01,"1119012.5582600001","32988.894329999996","353825.23851000011","732198.42541999999","258669.65290999998","2653120.1411000006","2652452.2702400004","2575647.8205500003","0","19731.438540000003","57073.011149999998","667.87086000000011","66474.68862999999","177628.09444999998","4274905.1353500001"
2012-05-01,"1124627.24755","33608.589350000002","304315.40155000001","786703.25665","259931.84297999999","2674408.799660001","2673740.9288000008","2602873.5871700007","0","13812.494279999999","57054.847350000004","667.87086000000011","68427.87649000001","173604.00984999991","4300999.7765300004"
2012-06-01,"1112859.4638400001","29939.702249999998","295615.91724000004","787303.84435000003","255816.84456000003","2693340.3067999999","2692672.4359399998","2620886.77618","0","14727.319769999998","57058.33999","667.87086000000011","68058.275439999998","171151.47398999997","4301226.3646299997"
2012-07-01,"1088803.9825300002","37568.826679999998","275243.22183000005","775991.93402000004","252738.58447999999","2725535.0680400012","2724867.1971800011","2649166.1131200008","0","18062.256870000001","57638.827190000004","667.87086000000011","67257.34917999999","171561.57126999996","4305896.5555000016"
2012-08-01,"1034028.45891","34833.992380000003","280076.35657","719118.10996000003","273244.67433000001","2761768.7447200003","2761100.8738600002","2687560.7968100002","0","16239.202320000002","57300.874730000003","667.87086000000011","66667.236149999997","168549.91501","4304259.0291200001"
2012-09-01,"1052852.3732699999","38886.782399999996","286254.50847","727711.08239999996","267061.26419999998","2775419.3868300002","2774751.5159700001","2699011.2544499999","0","19699.83699","56040.424529999997","667.87086000000011","63510.135539999996","168707.90399999998","4327551.06384"
2012-10-01,"1049609.3325700001","36946.758780000004","314580.13592000003","698082.43787000002","260024.99781","2803559.9184399997","2802892.0475799995","2734083.4356099996","0","13364.508829999999","55444.103139999992","667.87086000000011","62841.187749999997","169678.12350999995","4345713.5600800002"
2012-11-01,"1023195.3748300001","37648.902979999999","274902.15424000006","710644.31761000003","254279.38901000001","2832114.1071400004","2831446.2362800003","2762126.9275900004","0","14814.483679999999","54504.825009999986","667.87086000000011","62015.423609999998","169026.05195999995","4340630.3465500008"
2012-12-01,"991685.92261000001","42021.12919","268859.87985999999","680804.91356000002","288707.21434999997","2857638.2655600002","2856970.3947000001","2794622.3690000004","0","9742.4153399999996","52605.610359999999","667.87086000000011","66162.97855","170211.38110999996","4374405.7621800005"
2013-01-01,"1032172.70732","37766.437580000005","280301.85853999999","714104.41119999997","289323.41508000001","2871145.1316600004","2870477.2608000003","2802559.2276700004","0","14944.132449999999","52973.900679999992","667.87086000000011","65304.251080000002","169781.67807000014","4427727.1832100004"
2013-02-01,"1031548.6343700001","43861.849980000006","276964.50338000001","710722.28101000004","283419.87815999996","2890711.9133099997","2890044.0424499996","2816907.7961399998","0","19432.20133","53704.044979999991","667.87086000000011","63980.891299999996","168103.22966000007","4437764.5467999997"
2013-03-01,"990121.93657999998","40362.261800000007","249433.85975999999","700325.81501999998","322654.21405000001","2904819.7197200004","2904151.8488600003","2830997.7232500003","0","20034.989889999997","53119.135719999998","667.87086000000011","63538.137940000001","168904.75180999993","4450038.7601000005"
2013-04-01,"960663.26858999999","56757.429380000001","241932.99773","661972.84147999994","313490.04653999995","2937973.0922800004","2937305.2214200003","2872695.7033600002","0","12658.616829999999","51950.901230000003","667.87086000000011","51925.915440000004","174347.28078999987","4438399.6036400003"
2013-05-01,"985699.25782000006","42093.293570000002","248787.47863999996","694818.48561000009","312552.99965999997","2963330.5772699998","2962662.7064099996","2896972.6690399996","0","15928.927469999999","49761.109899999996","667.87086000000011","36259.213280000004","174158.37405999994","4472000.4220900005"
2013-06-01,"947302.68094999995","40886.326679999998","241227.95951999997","665188.39474999998","304673.95194","2977140.4807699998","2976472.6099099996","2912649.4932199996","0","14237.200140000001","49585.916549999994","667.87086000000011","64878.996100000004","173319.0733500002","4467315.1831100006"
2013-07-01,"954707.36057000002","46294.850640000004","249228.81111999997","659183.69880999997","297102.54102999996","2991428.6333399992","2990760.7624799991","2927078.7692699991","0","14380.692880000001","49301.300330000005","667.87086000000011","59125.188770000001","168194.7798299999","4470558.5035399981"
2013-08-01,"914905.82398999995","43862.226880000002","251918.55731999999","619125.03978999995","335860.71136999998","3012149.5970200007","3011481.7261600005","2947558.3161100005","0","12998.742599999998","50924.667450000001","667.87086000000011","53550.839370000002","174660.52017000003","4491127.4919200009"
2013-09-01,"934172.08721999999","45078.869050000001","255172.44874999995","633920.76942000003","331147.80203000002","3029518.2737800009","3028850.4029200007","2965559.5648400006","0","12717.48661","50573.351470000001","667.87086000000011","33727.805359999998","174549.36557000002","4503115.3339600004"
2013-10-01,"912550.97577999998","43469.400979999999","226088.60877999992","642992.96602000005","324433.01861000003","3060624.3288300005","3059956.4579700003","2988692.0634900001","0","20320.847679999999","50943.546799999996","667.87086000000011","33352.987690000002","174832.55506999977","4505793.8659800002"
2013-11-01,"915221.26136999996","42423.535280000004","218755.55854000003","654042.1675499999","320207.83152000007","3063267.56807","3062591.4652100001","2990751.5270599998","0","21963.502170000003","49876.435980000002","676.10286000000008","32887.718609999996","174752.88060999999","4506337.2601800002"
2013-12-01,"865471.36552999995","48171.082780000012","213060.42982000002","604239.85292999994","363143.54587000003","3088134.2411599993","3087458.1382999993","3024687.3953299993","0","7689.0824999999995","55081.660469999995","676.10286000000008","58494.470350000003","173901.07391000004","4549144.6968199993"
2014-01-01,"903697.76609999989","45277.542480000004","270600.62491999997","587819.59869999997","364846.39057000005","3097739.7365100002","3097063.6336500002","3029081.0157600003","0","13149.012219999999","54833.605670000004","676.10286000000008","48038.630319999997","170398.08623000002","4584720.6097299997"
2014-02-01,"899187.0395500001","49687.987880000001","275449.35008","574049.70159000007","357659.66791999998","3114532.5652700006","3113856.4624100006","3042070.9351400007","0","17478.286749999999","54307.240519999999","676.10286000000008","47681.940480000005","168950.71232000005","4588011.9255400011"
2014-03-01,"848498.89263999998","52444.86164000001","256668.19552999997","539385.83546999993","403573.56970000011","3118943.3377200002","3118267.2348600002","3044044.21924","0","19431.715230000002","54791.300389999997","676.10286000000008","47593.704120000002","169239.84606999985","4587849.3502500001"
2014-04-01,"848356.78947999992","63066.232179999999","256308.30659999995","528982.25069999998","395379.46542999998","3130271.1401999998","3129595.0373499999","3055898.0085399998","0","18569.746350000001","55127.282460000009","676.1028500000001","43398.876949999998","170396.47866000014","4587802.7507200008"
2014-05-01,"819246.92456999992","41963.969859999997","286470.66688999993","490812.28781999997","390496.54093000002","3148070.4367099996","3147394.3338599997","3075536.0911299996","0","17315.327020000001","54542.915709999994","676.1028500000001","43282.524810000003","172180.91119000007","4573277.3382099997"
2014-06-01,"854748.59432999999","52701.894899999999","309997.90847999993","492048.79095","385309.57975000009","3155536.59454","3154860.4916900001","3083776.5814800002","0","15995.78247","55088.127739999996","676.1028500000001","43342.393339999995","170606.20718000003","4609543.3691400001"
2014-07-01,"845882.21445999993","47126.735359999999","349816.61616999999","448938.86292999994","377384.82811","3173984.3191900002","3173308.2163400003","3100442.80351","0","17354.972430000002","55510.440399999992","676.1028500000001","21268.806790000002","170810.01192000008","4589330.18047"
2014-08-01,"811366.80193999992","44677.620889999998","327648.67933999997","439040.50170999998","410917.36834999995","3190765.7534000003","3190089.6505500004","3115208.6310700001","0","19709.624600000003","55171.39488","676.1028500000001","21121.361770000003","171719.99110000016","4605891.2765600011"
2014-09-01,"797759.74174999993","50174.12803","329739.66781999992","417845.94589999999","397934.33348000009","3212225.3519299999","3211549.24908","3135863.7391399997","0","22402.29895","53283.210990000007","676.1028500000001","24182.250360000002","177455.72621000005","4609557.4037300004"
2014-10-01,"808656.86947999999","46081.801100000004","317482.34945000004","445092.71892999997","388558.31887999998","3222061.7654000004","3221375.0438100002","3151041.9879100001","0","13714.99367","56618.062230000003","686.72159000000011","21446.875140000004","170835.08437000006","4611558.9132700004"
2014-11-01,"815374.2692499999","51726.309620000007","329508.00780999992","434139.95181999996","379439.25654000003","3241776.0702300002","3241089.34864","3156589.95047","0","28979.946660000001","55519.451509999999","686.72159000000011","21951.283370000001","168115.49539","4626656.3747800002"
2014-12-01,"787664.61073000007","54791.688099999999","333710.10854000004","399162.81409","419659.89282000001","3247487.2970599998","3246800.5754699996","3182810.1110599996","0","13515.591619999999","50474.872790000001","686.72159000000011","21635.419860000002","169285.46390999999","4645732.6843800005"
2015-01-01,"822270.49801999994","45016.534200000002","314848.15015999996","462405.81365999999","419253.89695000002","3254934.7264100001","3254248.0048199999","3185001.4807600002","0","16601.4787","52645.045360000004","686.72159000000011","20780.945940000001","165561.72761000006","4682801.7949300008"
2015-02-01,"842467.24989999994","52096.400099999999","325192.50925999996","465178.34054","416753.60220000002","3253590.1799300001","3252903.45835","3174672.9545499999","0","23118.09966","55112.404140000013","686.72158000000013","22708.09908","162464.53032999998","4697983.6614399999"
2015-03-01,"866005.81595999992","55408.681580000004","334067.80083999992","476529.33354000002","409011.49966000003","3250140.5538799996","3249453.8322999994","3180164.9018499996","0","12867.331200000001","56421.599249999999","686.72158000000013","20615.08424","161944.19354999997","4707717.1472899998"
2015-04-01,"818167.16119999997","57837.398099999991","305188.08979","455141.67331000004","453205.10503999999","3243049.779360001","3242363.0577800008","3172073.6668700008","0","17963.999799999998","52325.391109999997","686.72158000000013","20587.176679999997","161732.36138999992","4696741.5836700005"
2015-05-01,"826503.82261999999","48042.534989999993","314674.88695999997","463786.40067","444235.91467000009","3251284.4123499994","3250597.6907699993","3174862.8724399996","0","19245.349050000001","56489.469279999998","686.72158000000013","20583.340769999999","163192.37741999998","4705799.867829999"
2015-06-01,"877472.10431999993","51801.121399999996","317555.69114000001","508115.29177999991","440460.51193000004","3260863.2059899997","3260176.4844099996","3193915.2439999995","0","11916.117129999999","54345.12328","686.72158000000013","20587.939849999999","161290.47184999991","4760674.2339399997"
2015-07-01,"868451.23609000002","50849.417999999998","282079.84418000001","535521.97390999994","431982.97834000009","3282707.78773","3282021.0661499999","3211287.3937899997","0","15371.59289","55362.079470000004","686.72158000000013","5331.8142100000005","160810.89641000004","4749284.7127800006"
2015-08-01,"832430.72297999996","50537.559079999999","273202.80255000002","508690.36134999996","477560.86884000007","3303597.9842100008","3302911.2626300007","3225415.7253900007","0","20454.170760000001","57041.366480000004","686.72158000000013","72.093209999999999","159965.56316999992","4773627.2324100006"
2015-09-01,"824111.13698999991","51324.796780000004","296787.57091999997","475998.76928999997","474395.33776000008","3330263.9946699995","3329577.2730899993","3252682.6519699991","0","17684.855149999999","59209.76597","686.72158000000013","75.253","158793.31324999995","4787639.0356699983"
2015-10-01,"787938.9657399999","49542.299599999998","299640.25131999992","438756.41481999995","472077.79429000005","3359205.6112100002","3358518.8896300001","3280319.0584900002","0","19048.553009999996","59151.278130000006","686.72158000000013","2402.8943400000003","157197.8285","4778823.0940800002"
2015-11-01,"808121.06434999988","85607.842400000009","296709.60447999992","425803.61747","470103.13506000006","3381114.2911899993","3380427.5696099992","3301361.5490299989","0","20643.074570000001","58422.946009999992","686.72158000000013","1484.9835600000004","155748.64746000001","4816572.1216199985"
2015-12-01,"752826.93871999986","58360.738299999997","295421.0737699999","399045.12664999999","511686.17520000006","3393906.6487700008","3393219.9271900007","3330318.1966100005","0","9499.6850599999998","53402.04552","686.72158000000013","2083.4379600000002","151826.48714000007","4812329.6877899999"
