"MES","BCPP01","BCPP02","BCPP03","BCPP04","BCPP05","BCPP06","BCPP07","BCPP08","BCPP09","BCPP10","BCPP11","BCPP12","BCPP13","BCPP14","BCPP15","BCPP16","BCPP17","BCPP18","BCPP19","BCPP20","BCPP21","BCPP22","BCPP23","BCPP24","BCPP25","BCPP26","BCPP27","BCPP28","BCPP29","BCPP30","BCPP31","BCPP32","BCPP33","BCPP34"
2004-03-01,"19578204.107000001","6164649.1620000005","1191028.9750000001","4973620.1869999999","0",,"13413554.945","5466948.2590000005","357098.19","5109850.0690000001","0",,"7751436.1979999999","32800.012999999999","7634955.5609999998","82974.168000000005","706.45600000000002","195170.48799999998","34941.892","159207.37299999999","1021.223",,"6421318","3065392","740083","2615843","137483","136577","906","0","175288","650860","7316781","1336483"
2004-04-01,"18825848.541999999","5817666.5609999998","1127609.7150000001","4690056.8459999999","0",,"13008181.981000001","5179199.2760000005","364906.43099999998","4811820.6560000004","0","2472.1889999999999","7630163.0750000002","32293.083999999999","7516883.6140000001","72943.297999999995","8043.0789999999997","198819.63","31470.194","166325.89799999999","1023.538",,"6662117","3368657","714088","2579372","188202","187519","683","0","186350","661456","7209079","1293808"
2004-05-01,"19365177.368000001","6203187.8789999997","1243209.817","4959978.0619999999","0",,"13161989.489","5161068.0940000005","352660.23499999999","4798690.2439999999","0","9717.6149999999998","7806804.0439999998","53751.423999999999","7620846.2800000003","71076.262000000002","61130.078000000001","194117.351","51399.578000000001","141688.09299999999","1029.68",,"6479266","3118218","756560","2604488","69413","68703","710","0","165099","659126","7179963","1333510"
2004-06-01,"18454966.355","5435995.4570000004","1301311.3810000001","4134684.0759999999","0",,"13018970.898","4280491.6620000005","448764.28600000002","3797300.2880000002","0","34427.088000000003","8535761.3719999995","99335.45","8345877.5329999998","58132.146999999997","32416.241999999998","202717.86399999997","34785.824999999997","166901.04199999999","1030.9970000000001",,"6768063","3312903","792420","2662740","133189","132243","946","0","285875","642309","7113158","1142510"
2004-07-01,"18567202.977000002","5229410.432000001","1253873.6299999999","3942598.4530000002","32938.349000000002",,"13337792.545","4279113.6349999998","572270.94299999997","3634653.2579999999","0","72189.433999999994","8871300.0940000005","119324.024","8660787.5059999991","55879.116000000002","35309.447999999997","187378.81600000002","35552.504999999997","150797.22200000001","1029.0889999999999",,"6504049","3109622","721185","2673242","93470","88400","5070","0","200309","668899","7234270","1144162"
2004-08-01,"19044938.510999996","5382260.642","1244880.1040000001","4098894.3259999999","38486.212",,"13662677.868999997","4291680.2790000001","617276.65500000003","3568819.44","0","105584.18399999999","9152109.8779999986","127634.06200000001","8897668.5399999991","55343.644","71463.631999999998","218887.712","39117.57","178738.01199999999","1032.1300000000001",,"6565789","3096609","778836","2690344","93813","88848","4965","0","212875","667572","7260164","1109688"
2004-09-01,"19316175.650000002","5371236.8380000005","1278564.5490000001","4042006.091","50666.197999999997",,"13944938.812000001","4422164.9750000006","657819.74300000002","3632018.7340000002","8747.491","123579.007","9309892.9570000004","138806.889","8995867.5419999994","69360.989000000001","105857.537","212880.88","40721.252","171125.01699999999","1034.6110000000001",,"6552540","3099670","828086","2624784","75906","73431","2475","0","190871","665629","7316340","1118688"
2004-10-01,"19353760.555","5348270.2460000003","1241265.1569999999","3970853.7170000002","136151.372",,"14005490.309","4503190.3459999999","693929.08499999996","3686115.443","11110.764999999999","112035.053","9298433.4849999994","160053.77799999999","8960159.5399999991","79472.501000000004","98747.665999999997","203866.478","46148.35","156684.057","1034.0709999999999",,"6402634","3001671","834741","2566222","95588","93997","1591","0","186608","650142","7201650","1142122"
2004-11-01,"19498962.52","5413089.0809999993","1308965.977","4048083.9750000001","56039.129000000001",,"14085873.439000001","4588373.9969999995","672806.30299999996","3795007.7769999998","11760.044","108799.87300000001","9281161.4850000013","169389.26","8847184.8530000001","158898.99299999999","105688.379","216337.95699999999","59833.298999999999","155464.33600000001","1040.3219999999999",,"6349892","2999428","843588","2506876","95542","93732","1810","0","187829","648924.79929249536","7182122","1165352"
2004-12-01,"20008744.716000002","5504224.2440000009","1392040.084","3993191.3450000002","118992.815",,"14504520.472000001","4892819.0190000003","836474.39099999995","3912529.3429999999","11202.504999999999","132612.78","9413356.932","187835.277","9001301.2339999992","105789.14599999999","118431.27499999999","198344.52099999998","35307.839999999997","161994.54999999999","1042.1310000000001",,"6473845","3075390","915175","2483280","114256","110891","3365","0","289748","669892","7104650","1126294"
2005-01-01,"20599619.967359997","5449382.5999999996","1353788.69","3972137.01","123456.9",,"15150237.36736","4996752.26","785963.07","4060814.49","9577.8700000000008","140396.82999999999","9940871.1199999992","165771.57","9507303.5800000001","106767.45","161028.51999999999","212613.98735999997","39866.746529999997","171673.33402999997","1040.4886200000001","33.41818","6435765.4508128017","2998825.6598636103","894660.11724915251","2542279.6737000383","111247.11557999997","108633.99449999997","2613.1210799999999","0","168681.92806000001","872519.29107999988","7221526.5578150125","1242427.1338335807"
2005-02-01,"20665890.688159999","5316537.5463400008","1335991.39331","3845215.4081400009","135330.74489",,"15349353.141819997","4919811.5525899995","803321.88370999985","3979797.9687699997","8543.9879299999993","128147.71218","10190449.764389997","205869.52424000003","9702614.9772099983","110884.27677000001","171080.98616999999","239091.82483999999","43117.964350000002","194894.85154","1041.9939000000002","37.015050000000002","6617876.5540155899","2994642.937953779","1106518.4121272883","2516715.2039345223","111185.0977","108674.13273","2510.96497","0","166460.54097999999","867350.72898048803","7289575.3042049846","1199936.788957878"
2005-03-01,"20454013.776979998","5255362.9298700001","1285516.0973000003","3827066.6020000004","142780.23056999999",,"15198650.84711","4872671.4970999993","776400.92433999991","3951573.73765","8102.5458200000003","136594.28929000002","10088773.48332","200651.93469000002","9614838.422869999","101770.92509","171512.20066999999","237205.86669","58688.697030000003","177435.67586999998","1040.6470399999998","40.84675","6564060.4035691675","2995459.3150721174","1069955.6882035595","2498645.4002934913","120670.68186","118207.7729","2462.9089599999998","0","160885.45980000001","804077.37516448402","7422173.9308394501","1184356.1829964744"
2005-04-01,"21155895.297640003","5299016.5316200005","1234135.2679900001","3916030.3028000002","148850.96083000003",,"15856878.766020002","5200527.0535599999","815968.74975999992","4236392.3516699998","7513.1284900000001","140652.82363999999","10429093.925110001","232716.60304000005","9892120.6861800011","106079.05555000002","198177.58033999999","227257.78734999997","65202.441000000006","160972.21944999998","1038.86094","44.26596","6599073.2726603672","3001815.1914233174","1136043.6668135591","2461214.4144234913","259417.23663999999","257177.20905999999","2240.0275799999999","0","145734.15199000001","782543.9823944841","7361211.190259451","1204894.4680064744"
2005-05-01,"21273965.889869999","5353416.1587800002","1319732.50691","3922552.6144099995","111131.03746000001",,"15920549.73109","5238699.7930100001","781800.42883999983","4294455.8019699994","7396.6612400000004","155046.90096000003","10468980.895889999","201536.48045","9873838.7631599996","88339.835729999992","305265.81654999999","212869.04219000004","45373.103800000004","166385.34135","1057.2624499999999","53.334589999999999","6368099.9966807682","2990749.3463037172","901257.28353355941","2476093.3668434913","93015.920939999996","88858.724149999995","4157.19679","0","121799.03118000001","819636.01490448404","7325267.1909594489","1182567.0991964743"
2005-06-01,"20952437.784810003","5220262.0119999992","1310867.9029399997","3820572.8373199999","88821.271740000011",,"15732175.772810003","5064922.0155700007","828943.94805000001","4073779.9259600001","4236.4657300000008","157961.67582999999","10470929.95404","200465.83180000001","9865715.0652700011","80781.325479999985","323967.73148999998","196323.80319999999","40194.947789999998","155015.59432999999","1054.34897","58.912109999999998","6579096.953966368","2989068.5759493168","1069541.3882135595","2520486.9898034912","93123.73775","88847.582580000002","4276.15517","0","176773.74790999998","804965.05834448419","7653835.2273494499","1171385.210066475"
2005-07-01,"21223167.166769996","5329022.0129300002","1453187.6465700001","3807870.8303999999","67963.535960000008",,"15894145.153839998","5119821.1804599995","817496.56730999995","4132556.3002099996","3663.6625899999999","166104.65034999998","10570000.61538","248801.38584999999","9927478.9601600002","72709.020229999995","321011.24913999997","204323.35800000001","48656.794970000003","154566.12698","1045.6616900000001","54.774360000000001","6443831.9086048007","2978830.8474056106","979586.08786915266","2485414.9733300381","285573.59710000001","281566.75286000001","4006.8442400000004","0","133936.9117","792641.52332348959","7628052.1557727521","1185782.3050335809"
2005-08-01,"21936539.016960002","5715706.7463400001","1535668.8191199999","4053260.00612","126777.92110000001",,"16220832.270620001","5274142.0457100002","923663.94678999984","4165442.9854600006","3090.2615099999998","181944.85194999998","10727024.896120001","233687.20457","10097308.256280001","65630.308919999996","330399.12635000004","219665.32879000003","44349.882969999999","174204.52054000003","1042.3873799999999","68.537899999999993","6553992.3188661225","2966788.6378521724","1131307.3382628814","2455896.342751069","87352.165850000005","83420.080740000005","3932.08511","0","128349.89631000001","803970.81661949342","7625838.5662482865","1219222.9883849849"
2005-09-01,"22070590.231830005","5678060.0817500008","1544689.2070300002","4025612.9448000006","107749.78345999999","8.1464599999999994","16392530.150080003","5424434.9692300009","1027012.7076000001","4211206.3151600007","3048.3060900000005","183167.64037999997","10764730.91605","272857.61064999999","10110472.84323","59587.730100000001","321812.73207000003","203364.2648","43308.033370000005","158962.53750999999","1036.2941900000001","57.399730000000005","6570502.5627246331","2961162.4202433033","1199220.4311747458","2410119.7113065841","84327.112380000006","80254.634409999999","4072.4779700000004","0","118943.22455000001","852878.39075000014","7645733.7020360548","1259419.2100906863"
2005-10-01,"22656921.266449999","6304924.8086999999","1954147.5503699998","4237985.95041","112540.79700000001","250.51092","16351996.45775","5568062.2992400005","1061901.92142","4313662.8315399997","2468.4161200000003","190029.13016","10544957.147629999","267048.25916999998","9897757.4932999983","54643.659350000002","325507.73581000004","238977.01088000002","56598.564460000009","181275.55944000001","1047.26125","55.625730000000004","6519321.948094856","2953186.9894387657","1223517.1786884747","2342617.7799676154","76613.072","72759.742689999999","3853.3293099999996","0","119902.92331000001","962236.73629999999","7691045.0934215896","1291975.0767620904"
2005-11-01,"23339566.073059998","7155096.0637899991","2369782.7971599991","4672713.8717599995","111339.29754","1260.0973300000001","16184470.009269999","5635972.7339399997","1071969.24587","4356074.8414000003","2305.9726499999997","205622.67402000001","10314382.488089999","264930.74677999999","9648293.8803599998","48656.621960000004","352501.23899000004","234114.78724000001","53186.967070000006","179823.55807999999","1045.6253299999998","58.636760000000002","6390292.9838248556","2955792.9220387656","1091180.6494584747","2343319.4123276155","85793.69001999998","82310.662229999987","3483.0277900000001","0","112223.09107999998","1085507.36846","7417700.0768430801","1396807.8131162189"
2005-12-01,"22254200.33783","5888191.9627299998","1795417.7379000001","3960576.43352","91457.964000000007","40739.827310000001","16366008.375100002","5854449.2147600008","1322117.8844000003","4295066.4370900001","2413.35178","234851.54149","10278625.775300002","233986.26748000004","9535548.5200600009","46351.949369999995","462739.03839","232933.38503999999","53473.19846","178366.36186999999","1041.0661299999999","52.758580000000002","6342292.2767648548","2949927.7736287653","1050266.2381684748","2342098.2649676153","134585.86126999999","101684.20879999999","32901.652470000001","0","135722.77033999999","1091249.4251800003","7073267.6367173437","1467299.776346219"
2006-01-01,"21984016.104829997","5857158.4881100003","1824181.5990099998","3891771.9535699999","96795.434500000003","44409.501029999999","16126857.616719998","5683602.5641799998","1285043.0704599996","4170443.7260399996","2344.5075700000002","225771.26010999997","10216440.212819999","265107.85240999999","9468440.7551399991","31324.464069999998","451567.14120000007","226814.83972000002","54590.142420000004","171136.10433","1037.98693","50.60604","6460292.9316548556","2995166.7575087659","1109681.7614184748","2355444.4127276153","188244.38565999997","155741.43104999998","32502.954610000001","0","108585.64586","1075634.22596","7086149.1095373416","1422322.7605562191"
2006-02-01,"22122350.406409994","5940387.3805699982","1771276.1514299996","4043557.9838099992","79461.324800000017","46091.920530000003","16181963.025839997","5629877.5137899993","1185096.7348800001","4217487.4890199993","1576.61248","225716.67740999997","10313303.61083","276475.33526000002","9463031.5647","21094.823969999998","552701.88690000004","238781.90122000003","61567.789749999996","176129.99813000002","1035.5689299999999","48.544410000000006","6468350.7059198655","3041324.3142763963","1150053.971650339","2276972.419993131","392521.65862","358590.51491999999","33931.143700000001","0","113633.35624000001","1074136.0057900001","7183336.4361797459","1249781.2230119212"
2006-03-01,"22148276.757099997","5776276.8338800007","1605787.9953100001","3930476.8270700001","112183.70339","127828.30811000001","16371999.923219996","5729835.9976199996","1324310.9687699999","4164645.1106199995","1564.0890400000001","239315.82918999999","10443438.843559995","266698.99748000002","9531039.7109999973","21750.73156","623949.40351999993","198725.08204000004","42996.313320000001","154643.00977","1028.9344700000001","56.824479999999994","6358554.550931788","2966371.6306535588","1148517.8896140677","2243665.0306641618","142986.93544999999","128166.63795999999","14820.297490000001","0","74689.582519999996","1034776.95015","7185064.6337145474","1284147.7467133249"
