"MES","SEPL01","SEPL02","SEPL03","SEPL04","SEPL05","SEPL06","SEPL07","SEPL08","SEPL09","SEPL10","SEPL11"
2011-06-01,"51.6","383.2399999999999","1872.3908799999999","959.58483000000012","9019.8951699999998","8.4030700000000014","51.78","117319.497","26442.064000000002","29690.889019120008","185747.61574912001"
2011-07-01,"18","448.29999999999995","1710.8191600000002","1153.27458","6033.0403699999988","15.160809999999998","48.480000000000011","116153.895","22116.870999999999","40604.183730399993","188253.5931304"
2011-08-01,"121.2","528.65","2016.1171200000001","1203.1769899999999","8412.7015300000021","9.9479599999999984","123.71","90173.122999999992","27337.652000000002","46376.47944619997","176179.17175619997"
2011-09-01,"184.20000000000002","586.83499999999992","2122.6540800000002","1052.20652","11724.860990000001","10.208520000000004","67.590000000000032","122427.05231000001","40208.455320000001","63452.854054979965","241769.39438498"
2011-10-01,"157.20000000000002","665.01","1611.6470399999998","916.85259000000008","8976.5813600000001","10.853949999999999","140","120346.9363","28088.952000000001","49004.790811879939","209778.96405187997"
2011-11-01,"95.4","521.03","1240.27748","795.97579999999994","10286.88639","9.6066600000000033","113.12","78622.963600000003","11808.936","52350.662983640032","155731.85203364"
2011-12-01,"69.600000000000009","732.52299999999991","493.79912999999999","905.43462","11569.582670000003","15.26352","55.069999999999993","107249.57215000001","13594.324000000001","64672.377904324014","199302.53206432401"
2012-01-01,"1232.1000000000001","584.95296999999994","690.68643999999995","983.02539000000002","7371.4655299999986","5.8934299999999995","50.65","40030.217600000004","11892.086000000001","22042.401516155875","84832.879526155884"
2012-02-01,"3210.6","348.92686000000003","884.72320999999999","942.58046999999999","6260.6017899999988","7.5307899999999997","43.059999999999988","64639.424149999999","15645.763030000002","16559.546845088935","108499.74020508895"
2012-03-01,"3491.6640000000002","311.79199999999997","1238.6747399999999","838.00615000000016","7324.7662999999993","7.313570000000003","76.58","102250.82915000001","18619.523000000001","20280.106412525529","154362.75190252549"
2012-04-01,"5332.5","119.36210999999997","1542.4492999999998","1007.1127300000001","5823.698550000001","13.056900000000004","21.549999999999983","155514.75649999999","24834.188000000002","23107.272626229558","217294.41826622954"
2012-05-01,"3199.5","62.639999999999986","1904.8585800000001","1037.43578","6210.8456800000013","9.085049999999999","63.259999999999984","136816.99559999999","20267.324000000001","23366.029508238618","192874.77745823862"
2012-06-01,"5376.5","70.080000000000013","1766.9625999999998","939.94748000000016","5971.9958100000013","5.7947200000000016","161.47999999999999","217475.90131000002","34380.589","21988.375992382196","287976.30839238223"
2012-07-01,"1269.6100000000001","375.9912599999999","2298.4499899999996","952.58548999999982","5835.5333299999993","11.562449999999997","111.29000000000002","131630.4932","15307.631000000001","23488.137241462326","181170.10525146232"
2012-08-01,"2383.8000000000002","429.37140999999991","2154.4537999999998","1040.3025799999998","7298.0395900000021","11.470180000000001","82.980000000000018","222375.26468000002","45391.391000000003","28454.715150328419","309538.89137032849"
2012-09-01,"1464.2","162.30305999999996","2344.0964800000002","774.24496999999997","8067.737430000001","6.9142299999999981","60.580000000000013","154438.45606","25650.569","50072.807886470262","242981.38969647029"
2012-10-01,"2484","512.12052000000006","1579.9207999999999","1264.5881099999997","9316.6110600000029","31.041590000000006","128.28000000000003","102145.51656000002","17903.303","44185.500661433405","179422.73058143342"
2012-11-01,"7823.9000000000005","407.16500000000002","2059.1854199999998","749.88463000000002","6477.8274400000009","6.5351800000000004","80.45999999999998","94418.213919999995","16985.525000000001","37395.574214590924","166323.8912645909"
