"MES","AMMC01","AMMC02","AMMC03","AMMC04","AMMC05","AMMC06","AMMC07","AMMC08","AMMC09","AMMC10","AMMC11","AMMC12","AMMC13","AMMC14","AMMC15","AMMC16","AMMC17","AMMC18","AMMC19","AMMC20","AMMC21","AMMC22","AMMC23","AMMC24","AMMC25","AMMC26","AMMC27","AMMC28","AMMC29","AMMC30","AMMC31","AMMC32","AMMC33","AMMC34","AMMC35","AMMC36"
2001-01-01,"2059413.9569999999","229789","1829624.9569999999","1005195","3184518","0",,"4189713","303467","6025698","261",,"6329426","135020","14035508","118122",,"14288650","2059413.9569999999","229789","1829624.9569999999","1005195","3184518","0",,"4189713","303467","6025698","261",,"6329426","135020","14035508","118122",,"14288650"
2001-02-01,"2073514.2720000001","234479","1839035.2720000001","1254949","3186686","0",,"4441635","289421","6089293","270",,"6378984","145799","14602021","118302",,"14866122","2073514.2720000001","234479","1839035.2720000001","1254949","3186686","0",,"4441635","289421","6089293","270",,"6378984","145799","14602021","118302",,"14866122"
2001-03-01,"1937998.8810000001","173481","1764517.8810000001","1117993","3299868","0",,"4417861","310162","6100350","267",,"6410779","136405","14469395","116560",,"14722360","1937998.8810000001","173481","1764517.8810000001","1117993","3299868","0",,"4417861","310162","6100350","267",,"6410779","136405","14469395","116560",,"14722360"
2001-04-01,"2022508.81","230022","1792486.81","1032728","3055385","0",,"4088113","280687","6020891","244",,"6301822","134195","14505383","299228",,"14938806","2022508.81","230022","1792486.81","1032728","3055385","0",,"4088113","280687","6020891","244",,"6301822","134195","14505383","299228",,"14938806"
2001-05-01,"1979226.493","197858","1781368.493","1000574","3397477","0",,"4398051","299385","6296698","252",,"6596335","136590","14476885","292864",,"14906339","1979226.493","197858","1781368.493","1000574","3397477","0",,"4398051","299385","6296698","252",,"6596335","136590","14476885","292864",,"14906339"
2001-06-01,"2097479.5830000001","195974","1901505.5830000001","969996","3567987","0",,"4537983","295109","6222023","238",,"6517370","121775","14258816","294765",,"14675356","2097479.5830000001","195974","1901505.5830000001","969996","3567987","0",,"4537983","295109","6222023","238",,"6517370","121775","14258816","294765",,"14675356"
2001-07-01,"2121464.4180000001","258155","1863309.4180000001","1096556","3267227","0",,"4363783","303484","6309636","229",,"6613349","110782","14181338","280718",,"14572838","2121464.4180000001","258155","1863309.4180000001","1096556","3267227","0",,"4363783","303484","6309636","229",,"6613349","110782","14181338","280718",,"14572838"
2001-08-01,"2130460.656","271315","1859145.656","1127686","3660572","0",,"4788258","325405","6520973","222",,"6846600","107225","13795780","281270",,"14184275","2130460.656","271315","1859145.656","1127686","3660572","0",,"4788258","325405","6520973","222",,"6846600","107225","13795780","281270",,"14184275"
2001-09-01,"2103394.182","232222","1871172.182","1026359","3650803","0",,"4677162","319536","6513283","251",,"6833070","117067","13766194","360759",,"14244020","2103394.182","232222","1871172.182","1026359","3650803","0",,"4677162","319536","6513283","251",,"6833070","117067","13766194","360759",,"14244020"
2001-10-01,"2130942.0150000001","237304","1893638.0150000001","1098736","3705363","0",,"4804099","303744","6772887","253",,"7076884","138124","13451919","505328",,"14095371","2130942.0150000001","237304","1893638.0150000001","1098736","3705363","0",,"4804099","303744","6772887","253",,"7076884","138124","13451919","505328",,"14095371"
2001-11-01,"2084826.8089999999","196272","1888554.8089999999","1053700","3943832","0",,"4997532","334248","7227795","265",,"7562308","126980","13064642","406373",,"13597995","2084826.8089999999","196272","1888554.8089999999","1053700","3943832","0",,"4997532","334248","7227795","265",,"7562308","126980","13064642","406373",,"13597995"
