"MES","SEMQ01","SEMQ02","SEMQ03","SEMQ04","SEMQ05","SEMQ06","SEMQ07","SEMQ08","SEMQ09","SEMQ10","SEMQ11"
1998-01-01,"67.811006901433373","53.545816733067731","15.166328842255872","13.10725059814834","207.03364843916228",,"108.47457627118644","286.21291448516575","21.176470588235293","28.318434097360505","121.34352585098884"
1998-02-01,"53.866572288090602","40.159362549800797","64.242279718612139","77.083116612919994","145.46338794492235",,"94.915254237288138","210.82024432809774","14.117647058823531","31.445155276871581","97.770881877358107"
1998-03-01,"70.146876658998409","54.501992031872511","55.657565279599382","60.293352751482367","152.74628408158301","15.879017013232513","111.86440677966101","264.57242582897032","127.05882352941177","105.7238486633055","119.42122600439487"
1998-04-01,"76.800566271456375","53.545816733067731","55.657565279599382","17.788411526058461","152.27210553512265",,"118.64406779661017","232.69342641070389","151.76470588235296","91.666313604202855","112.09419959368132"
1998-05-01,"65.383118032206696","56.414342629482071","60.3791582210564","298.65806720066576","117.45037843095535","9.0737240075614363","159.32203389830508","234.0895869691681",,"80.532135745456088","118.59761598739581"
1998-06-01,"65.241550168111843","33.466135458167329","48.932872302372722","121.64776864662436","118.94586461594578",,"108.47457627118644","215.70680628272251","35.294117647058826","102.59712748379442","106.40756457564575"
1998-07-01,"97.327906565209702","94.661354581673308","48.217479432454994","120.58670550296473","186.303535061856",,"142.37288135593221","219.42990110529377","88.235294117647058","58.162098038384947","133.22691653882831"
1998-08-01,"68.023358697575645","58.326693227091639","44.926672230833432","59.669197961094348","160.53983403750874",,"88.13559322033899","219.89528795811518","28.235294117647062","102.92759394992162","121.77121771217712"
1998-09-01,"66.253760396390021","14.342629482071715","58.089901037319663","69.718090086341405","175.48253746314478",,"152.54237288135593","217.56835369400812","10.588235294117647","96.114900648222687","128.96678966789668"
1998-10-01,"66.041408600247749","52.589641434262951","73.971622749493264","64.225527930926873","159.67658591446548","27.221172022684307","122.03389830508475","202.90866783013379","81.176470588235304","77.074948099817817","116.73991459015713"
1998-11-01,"50.398159617766765","76.494023904382473","49.505186598306906","49.495474877769688","138.92215568862275",,"115.2542372881356","195.22978475858054","70.588235294117652","56.636868194721011","97.267714250176212"
1998-12-01,"60.874181560785701","13.386454183266933","63.383808274710866","68.969104337875791","146.04699230979665","95.274102079395078","118.64406779661017","286.44560791157653",,"72.600940558403593","108.01442845889133"
1999-01-01,"91.806759865510529","42.821576763485474","40.777393585310605","37.012379070009359","123.10404571567526","56.710775047258977","122.03389830508475","185.68935427574172",,"38.079905096809725","86.465027571624034"
1999-02-01,"55.282250929039108","13.941908713692946","44.068200786932159","48.434411734110057","120.79394510471442","58.979206049149333","98.305084745762713","161.9546247818499",,"36.249629284412997","82.677557112649779"
1999-03-01,"93.222438506459028","41.825726141078839","26.326457612972458","78.581088109851237","194.86306574667924",,"152.54237288135593","218.26643397324023",,"49.0361394737957","129.37725444670176"
1999-04-01,"49.336400637055391","47.800829875518673","50.220579468224635","36.51305523769895","88.039150126143653","113.42155009451795","115.2542372881356","148.45840605002908",,"70.94860822776765","73.367469629752478"
1999-05-01,"67.386303309148829","40.829875518672196","12.304757362584954","43.753250806199937","142.3143560594547","104.34782608695652","108.47457627118644","146.36416521233275","88.235294117647058","69.677583358047698","101.55271777436874"
1999-06-01,"77.720757388072911","27.883817427385893","59.091451055204487","52.054509518360554","136.21082707681086","74.858223062381853","94.915254237288138","248.74927283304243",,"119.75596322501376","114.10920850781541"
1999-07-01,"71.350203503804636","33.858921161825727","36.198879217837131","48.996151045459271","198.87534575519012","97.542533081285441","125.42372881355932","164.51425247236764","95.294117647058826","52.442486124645171","128.16451760023219"
1999-08-01,"69.509821270571578","55.767634854771785","18.45713604387743","43.316342452928325","133.36575579804858","47.637051039697539","128.81355932203391","159.16230366492147",,"118.94250730839299","109.26448028525229"
1999-09-01,"77.083701999646081","33.858921161825727","29.331107666626924","58.171226464163112","166.36371926198365","140.64272211720225","162.71186440677965","245.95695171611399","70.588235294117652","154.937931618862","137.87263153530412"
1999-10-01,"84.940718456910275","27.883817427385893","64.81459401454633","53.177988141058982","135.94334174291012","49.905482041587902","122.03389830508475","184.52588714368818","3.5294117647058827","72.067110113121217","103.29408350263277"
1999-11-01,"89.612457972040346","62.738589211618255","9.0139501609633967","47.373348590450426","176.51600352594303","106.61625708884688","98.305084745762713","193.36823734729492","45.882352941176471","68.177774011778155","120.90053484804511"
1999-12-01,"83.383471951866923","13.941908713692946","36.198879217837131","39.072089878289816","145.06215994407125","147.44801512287333","138.98305084745763","257.5916230366492","60","104.63076727534634","113.44997719640118"
2000-01-01,"96.407715448593166","42.821576763485474","27.757243352807919","55.300114428378237","125.77889905468251","26.477126654064271","115.2542372881356","179.63932518906341","3.5294117647058827","139.2789052239122","114.16518097765247"
2000-02-01,"69.934524862856136","42.821576763485474","47.502086562537265","30.396338291896388","119.94285540593938","16.291871455576558","94.915254237288138","191.04130308318787","70.588235294117652","100.10591873914332","97.696836518926986"
2000-03-01,"75.455671562555295","57.759336099585056","8.7277930129963046","42.130448351191092","188.69874464269429","15.168998109640832","189.83050847457628","227.10878417684697","141.1764705882353","170.4444350294454","150.435341432066"
2000-04-01,"68.094142629623079","14.240663900414937","18.88637176582807","30.970560699053365","152.70372959664428","20.765217391304347","84.745762711864401","166.37579988365329","7.0588235294117654","154.27699868660764","126.05622123636967"
2000-05-01,"96.407715448593166","28.38174273858921","16.740193156074877","54.239051284718606","150.62707073163318","13.286200378071834","147.79661016949152","146.59685863874344","42.352941176470587","104.63076727534634","117.80961068037647"
