"MES","BCBP01","BCBP02","BCBP03","BCBP04","BCBP05","BCBP06","BCBP07","BCBP08","BCBP09","BCBP10","BCBP11","BCBP12","BCBP13","BCBP14","BCBP15","BCBP16","BCBP17","BCBP18","BCBP19","BCBP20","BCBP21","BCBP22","BCBP23","BCBP24","BCBP25","BCBP26","BCBP27","BCBP28","BCBP29","BCBP30","BCBP31","BCBP32"
1998-12-01,"6351378","2192882","4158496","1092478","3066007","11",,"15124208.7495832","3578125","249617","3325725","2783",,"11141017","134335","10852195","154487",,"405066.74958319997","31546","346088.74958319997","27432",,"4320559.4342355998","1920889",,"1909481.4342356001","490189","117774","4252557.823818","13205774.6320576","4834592.8060452007"
1999-01-01,"6150569","1870734","4279835","1052061","3227763","11",,"15015408.814946","3468903","219585","3245884","3434",,"11125601","118662","10851979","154960",,"420904.814946","31663","361808.814946","27433",,"4491993.4342355998","2222162",,"1759920.4342356001","509911","119352","4155647.823818","13000880.242058402","4986144.0665960005"
1999-02-01,"5920754","1822043","4098711","1062808","3035892","11",,"15248840.675519999","3478844","249684","3225173","3987",,"11342513","119212","11082125","141176",,"427483.67551999999","36210","363646.67551999999","27627",,"4621900.8628471997","2333600",,"1787098.8628471999","501202","120975","4141022.233916","13454870.101800401","5046417.1271623997"
1999-03-01,"5930871.2929999996","1784512.2930000001","4146359","1063582","3082766","11",,"15289432.4502928","3422414","243402","3174036","4976",,"11454839","106902","11203588","144349",,"412179.45029279997","33390","351016.45029279997","27773",,"4363765.3929671003","2013986.882",,"1874404.2149670999","475374.29600000003","125575.219","4130247.5414895001","13144631.703650199","5136717.6238182001"
1999-04-01,"5785888.5329999998","1839026.5330000001","3946862","984675","2962176","11",,"15484981.450897601","3422143","257603","3160802","3738",,"11603037","99227","11358659","145151",,"459801.45089760004","61791","370091.45089760004","27919",,"4356203.4082713993","2030138.7449999996",,"1840384.5052714001","485680.158","125692.629","4097122.4396469998","13088464.464511799","5202844.3693619994"
1999-05-01,"5810832.7829999998","1782071.7830000001","4028761","1030548","2998202","11",,"15533164.6411814","3379884","221597","3155189","3098",,"11695290","87838","11468517","138935",,"457990.64118140005","53815","376161.64118140005","28014",,"4505078.1843547001","2144013.0240000002",,"1860340.4103546999","500724.75","130151.999","3996694.2060685004","13698393.082142901","4947877.5935550006"
1999-06-01,"5532271.1179999998","1775990.118","3756281","968547","2787722","12",,"15509106.900083899","3294952","206716","3085061","3175",,"11749038","82465","11518924","147649",,"465116.90008389996","46013","418009.90008389996","1094",,"4626166.2000768995","1984287.2930000001",,"2106849.6960768998","535029.21100000001","130447.488","3958107.8983495003","13891765.958909499","4416234.1557557005"
1999-07-01,"5496756.8499999996","1799166.85","3697590","984296","2713282","12",,"15910447.566060301","3392382","194361","3196250","1771",,"12076567","124770","11818475","133322",,"441498.56606029999","44977","395419.56606029999","1102",,"4453388.7255213","2011702.31",,"1909206.9465212999","532479.46900000004","133623.402","4038529.4979114998","13981202.377818784","4439625.9244966721"
1999-08-01,"5384147.8909999998","1706844.8910000001","3677303","956982","2720309","12",,"16092417.1004257","3439583","195138","3241543","2902",,"12211769","122937","11958453","130379",,"441065.10042570002","41924","398031.10042570002","1110",,"4551479.4819657002","2016236.882",,"2008909.0599657001","526333.54","133507.93","4083606.2834734996","5926219.5394830629","4505692.4752376443"
1999-09-01,"5406167.2050000001","1727375.2050000001","3678792","956926","2721854","12",,"16535393.915248999","3578720","219005","3356924","2791",,"12398919","119189","12148692","131038",,"557754.91524900007","45614","511025.91524900001","1115",,"4870360.7540489994","1896393.2749999999",,"2444653.1720489999","529314.30700000003","137465.37400000001","4131674.0478949999","5969278.3870190242","4879520.181293373"
