"MES","SEHV01","SEHV02","SEHV03","SEHV04","SEHV05","SEHV06","SEHV07","SEHV08","SEHV09","SEHV10","SEHV11","SEHV12","SEHV13"
1998-01-01,"27","524","0.4","9","146.44272000000001","6228",,,,,,,"6761"
1998-02-01,"248","3611","0.92","21","129.9888","5310",,,,,,,"8942"
1998-03-01,"37","712",,,"138.06","5442",,,,,,,"6154"
1998-04-01,"27","502","2.1","48","113.73312","4266",,,,,,,"4816"
1998-05-01,"233","3002.2","3.27","69","134.29344","4905",,,,,,,"7976.2"
1998-06-01,"9","207",,,"172.18560000000002","5833",,,,,,,"6040"
1998-07-01,"228","2995.8",,,"173.68656000000001","5703",,,,,,,"8698.7999999999993"
1998-08-01,"255","3354.9",,,"184.47648000000001","6030",,,,,,,"9384.9"
1998-09-01,"251","3751.1",,,"162.18864000000002","5177",,,,,,,"8928.1"
1998-10-01,"227","3139",,,"120.3","3778",,,,,,,"6917"
1998-11-01,"458","6182",,,"85","2575",,,,,,,"8757"
1998-12-01,"225","2201",,,"72.5","2118",,,,,,,"4319"
1999-01-01,"253.2","2531.5",,,"76.175734000000006","2120.5",,,,,"1536","144.6","4796.6000000000004"
1999-02-01,"16.399999999999999","279.60000000000002",,,"62.420183999999999","1692.8",,,,,"469.3426","50.7","2023.1"
1999-03-01,"222.4","2377.6999999999998",,,"65.025373000000002","1699.2",,,,,"1087.5","113.89999999999999","4190.8"
1999-04-01,"224","3132.3",,,"78.718000000000004","2058",,,,,"2691.5","316.92079999999999","5507.2208000000001"
1999-05-01,"1.9","43.4",,,"52.426000000000002","3563.4",,,,,"1767.6","244.8","3851.6000000000004"
1999-06-01,"228.5","3493",,,"80.451999999999998","2314",,,,,"875.87300000000005","128.9","5935.9"
1999-07-01,"230.7","4017","1.5840015840015841E-2","0.48","156.07430619000002","4863",,,,,"1939","265.95329000000004","9146.4332900000009"
1999-08-01,"15","271",,,"160.91043105","5260",,,,,"1662.096","272.51234999999997","5803.51235"
1999-09-01,"231.9","4622",,,"59.950699999999998","2032",,,,,"1790.548","327.58024999999998","6981.58025"
1999-10-01,"11.9","318","2.5","78.815010000000001","71.117177940000005","2952",,,,,"2012.8489999999999","386.55709000000002","3735.3721"
1999-11-01,"238.5","4844","3.5","104.79966","76.891368620000009","3195.4850000000001",,,,,"1727.94","370.00595000000004","8514.29061"
1999-12-01,"4.0999999999999996","159","1.1000000000000001","34.66666","94.975367999999989","3941.13",,,,,"770","169.65719999999999","4304.4538599999996"
2000-01-01,"8.3000000000000007","240.5","2.2000000000000002","89","103.29744337000001","5003.3999999999996",,,,,"1060.605","227.89999999999998","5560.7999999999993"
2000-02-01,"7.1","217.4","1","45","120.701419","5920.1",,,,,"1098","296.2","6478.7"
2000-03-01,"233.2","6802.1","0.7","33","115.95508600000001","5641.5999999999995",,,,,"2484.8459999999995","627.20000000000005","13103.9"
2000-04-01,"5.3","159.1","3.2","141","131.21678700000001","7282.4013100000002",,,,,"974","238.9","7821.4013100000002"
2000-05-01,"219.9","6110.3","3","147","127.845371","7087.97397",,,,,"3024","667","14012.27397"
2000-06-01,"4","115.2","3.75","188","176.45423500000001","9745.0285500000009",,,,,"3748","814.7","10862.928550000002"
2000-07-01,"4","127","5.2","272.89999999999998","226.84816799999999","13364.7",,,,,"3054","771.4","14536"
