"MES","SEMU01","SEMU02","SEMU03","SEMU04","SEMU05","SEMU06","SEMU07","SEMU08","SEMU09","SEMU10","SEMU11"
1998-01-01,"5298.9690721649486","5262.4854819976772","5266.1795407098125","3964.2857142857142","1433.9622641509434","542.85714285714289","1141.7665022316185",,"172468.75","9214634.1463414636","2833.3333333333335"
1998-02-01,"5172.6618705035971","5170.4180064308684","5171.5399384672328","3904.7619047619046","1456.5701559020044","790.28340080971657","1024.5737211634905",,"214607.14285714287","9798013.2450331114","4000"
1998-03-01,"5319.7278911564626","5332.9383886255928","5633.7033299697277","3964.9122807017543","1431.8766066838045","745.34161490683232","1030.8047440897874","1714.2857142857142","185060.60606060605","9502198.7686895337","4305.5555555555557"
1998-04-01,"5538.4615384615381","5574.3801652892562","5570.5069124423962","3964.2857142857142","1421.5938303341902","578.9473684210526","995.44873842222933",,"192685.71428571429","8271000","2813.953488372093"
1998-05-01,"5767.1232876712329","5795.5346650998827","5793.2900432900433","4220.3389830508477","1469.1943127962086","584.11703239289443","1052.0703933747411","1750","195680.85106382979","9562624.254473161",
1998-06-01,"5640.2877697841723","6220.9450830140486","6133.4056399132323","3285.7142857142858","1464.9122807017543","558.74807593637763","1018.8081365634264",,"167468.75","9409924.4875943903","3000"
1998-07-01,"5724.63768115942","5718.6742118027487","5719.2727272727279","3727.272727272727","1427.2997032640949","546.58385093167703","1002.1536252692032",,"181357.14285714287","9427359.490986215","5160"
1998-08-01,"5232.7586206896549","6127.8106508875744","6019.7710718002081","3393.4426229508194","1401.2738853503186","551.25523012552298","1046.0466525295365",,"170961.53846153847","9276190.4761904757","1875"
1998-09-01,"5576.6423357664235","5387.9849812265329","5415.5982905982901","3800","1352.2167487684728","549.68666069829897","1014.0649899535786",,"137222.22222222222","9154010.6951871645","5000"
1998-10-01,"5388.8888888888896","5397.7695167286247","5396.5702036441589","3763.6363636363635","1311.4119922630559","505.34499514091351","966.95347597654768","1666.6666666666667","163444.44444444444","9489678.8990825694","3869.5652173913045"
1998-11-01,"6196.0784313725489","6270.8018154311649","6265.4494382022476","3237.5","1130.057803468208","484.23707440100884","977.24488009802201",,"157941.17647058822","9439809.2967818826","4950"
1998-12-01,"4453.6082474226805","5394.4954128440368","5288.3720930232557","3785.7142857142858","1370.2031602708805","506.7873303167421","934.14918414918418","928.57142857142856","156428.57142857142","9512591.3891145401",
1999-01-01,"5095.5631399317408","5113.5646687697163","5104.563904350729","3162.7906976744184","1221.8717139852786","497.47048903878584","936.09876543209884","700","136181.81818181818","9284461.1528822035",
1999-02-01,"5183.9080459770112","5154.166666666667","5169.0373563218391","3142.8571428571427","1246.7532467532467","496.13402061855669","971.31353799698036","700","170325.17482517482","9231321.8390804604",
1999-03-01,"5351.0638297872347","5349.9591169255928","5350.5114733564133","3261.9047619047619","1266.304347826087","539.31691818903892","991.63910900355643",,"174301.33928571432","9263326.2260127943",
1999-04-01,"5325.2032520325201","5325.4716981132078","5325.3374750728635","2875","1256.4102564102564","507.69230769230768","1038.8067946416243","700","124155.42521994133","9061128.5266457666",
1999-05-01,"5571.2","5521.9347581552311","5546.5673790776154","3219.5121951219512","860.46511627906978","529.2439372325249","1047.0739000427168","982.45614035087715","170990.625","9090620.0317965038","4440"
1999-06-01,"5426.5809217577707","5460.1593625498008","5443.3701421537862","3285.7142857142858","1409.2009685230025","529.97601918465227","1020.440953316076","866.66666666666674","157438.40579710144","8588400.3741814774",
1999-07-01,"5216.2162162162158","5271.9486081370451","5244.0824121766309","2705.8823529411766","1177.8656126482215","507.00636942675158","1031.668398850645","1312.5","163621.62162162163","8325318.2461103257","851.85185185185185"
1999-08-01,"5231.5789473684208","5195.0394588500558","5213.3092031092383","3267.8571428571427","984.49612403100775","478.38616714697406","1160.2698513993982","761.90476190476181","168710.52631578947","8204415.8502705088",
