"MES","BCPA01","BCPA02","BCPA03","BCPA04","BCPA05","BCPA06","BCPA07","BCPA08","BCPA09","BCPA10","BCPA11","BCPA12","BCPA13","BCPA14","BCPA15"
2001-12-01,"3232075","278505","1550220","1403350","4680536","23859107","23627092","17285395","379585","1396126","4565986","232015","1567381","3925668","37264767"
2002-01-01,"2876493","194493","1331702","1350298","4991403","23681314","23429517","16605594","642445","1422157","4759321","251797","1514738","3854302","36918250"
2002-02-01,"2653035","212430","1186074","1254531","4982002","23771534","23530194","16591342","493955","1622447","4822450","241340","1364984","3896343","36667898"
2002-03-01,"2443323","189600","897463","1356260","4937299","23878029","23632263","16790867","511238","1508705","4821453","245766","1372754","3940017","36571422"
2002-04-01,"2422620","184074","810735","1427811","5210157","23936977","23687661","16726361","471967","1567605","4921728","249316","1306165","4032160","36908079"
2002-05-01,"2365035","212296","1015499","1137240","4821816","23828223","23574969","16521149","534856","1459740","5059224","253254","1307384","3898957","36221415"
2002-06-01,"2559894","217974","1309228","1032692","4511559","23896216","23640608","16666048","443438","1416569","5114553","255608","1625995","4045230","36638894"
2002-07-01,"3006355","196785","1967542","842028","2545339","23751120","23465113","16038141","747202","1520591","5159179","286007","2391978","4093967","35788759"
2002-08-01,"3135456","153789","2060645","921022","2471287","23659142","23330968","15930734","460495","1699317","5240422","328174","2216773","4156062","35638720"
2002-09-01,"2982283","196519","1701809","1083955","3074583","23647786","23187280","15697542","534629","1633279","5321830","460506","1972403","4143117","35820172"
2002-10-01,"3136816","200730","1698266","1237820","3396716","23704084","23256651","15854986","483399","1450927","5467339","447433","1737828","4214763","36190207"
2002-11-01,"3040157","172861","1619515","1247781","3542274","23801432","23308384","15787639","474066","1478382","5568297","493048","1696921","4177948","36258732"
2002-12-01,"2947565","329953","1422710","1194902","4468130","23723465","23228793","16538533","0","1285423","5404837","494672","1667241","4243984","37050385"
2003-01-01,"3338314","200980","1908518","1228816","4063729","23600724","22998905","16170946","0","1309495","5518464","601819","1825452","4255132","37083351"
2003-02-01,"2681210","217926","1154413","1308871","4040378","23362501","22759581","15830097","0","1414306","5515178","602920","1861087","4254721","36199897"
2003-03-01,"2860423","248306","1373093","1239024","3952213","23551726","22979182","15896528","0","1602854","5479800","572544","1834309","4235970","36434641"
2003-04-01,"2907691","196711","1364904","1346076","4080192","23560142","23009621","15863430","0","1502074","5644117","550521","1776014","4205351","36529390"
2003-05-01,"2752872","196615","1256470","1299787","4069753","23868938","23318747","16214079","0","1443357","5661311","550191","1792344","4217422","36701329"
2003-06-01,"3001671","243088","1459955","1298628","3981370","23698811","23168069","16200481","0","1349633","5617955","530742","1898283","4136057","36716192"
2003-07-01,"2874566","235535","1348641","1290390","4229599","23749266","23231047","16249790","0","1274422","5706835","518219","2009430","4070225","36933086"
2003-08-01,"2806903","245914","1160438","1400551","4345496","23759792","23266282","16187195","0","1348095","5730992","493510","2130386","4165954","37208531"
2003-09-01,"2649721","267817","1166896","1215008","4588832","23677966","23370402","16574457","0","1266089","5529856","307564","2114475","4236773","37267767"
2003-10-01,"3625843","225281","2330551","1070011","2556604","23702479.990940001","23245088","16554514","0","1217445","5473129","457391.99093999999","1838861.3307669004","4371204","36094992.321706906"
2003-11-01,"2802738","231378","1458640","1112720","3501859","23674405.184308793","23228952.184308793","16518500","0","1249946","5460506.1843087925","445453","1610637","4327614","35917253.184308797"
2003-12-01,"2815103","293568","1495286","1026249","4254633","23599863","23169558","16676893","0","1181241","5311424","430305","1615276","4415830","36700705"
2004-01-01,"2963574","244700","1628227","1090647","4072736","23197797.687010556","22899156.687010556","16283114.687010558","0","1286307","5329735","298641","1687393.2066456003","4405087","36326587.893656157"
2004-02-01,"2807181","264241","1407578","1135362","3753262","23067998.01436951","22777661.01436951","16057265.014369512","0","1353330","5367066","290337","1748462.0970800002","4193582","35570485.11144951"
2004-03-01,"2591466","257711","1278977","1054778","4031003","23035212","22748201","16014423","0","1390246","5343532","287011","1798173","4160563","35616417"
2004-04-01,"2491628","234712","1252967","1003949","3757098","23139786","22877450","16180550","0","1338809","5358091","262336","1590015","4048334","35026861"
2004-05-01,"2482716","279491","1221328","981897","4215741","23006686","22732607","16033104","0","1289028","5410475","274079","1438378","4108033","35251554"
2004-06-01,"2689960","257022","1335968","1096970","3423552","22868871","22597156","16075447","0","1353980","5167729","271715","1560381","3997306","34540070"
2004-07-01,"2603213","283826","1279467","1039920","3482012","22707220.951596446","22452348.951596446","15923490.951596448","0","1398304","5130554","254872","1481493.0353198999","4138423","34412361.986916348"
2004-08-01,"2621937","299657","1376811","945469","3985559","22607639.594680816","22362161.594680816","15938511.594680816","0","1262600","5161050","245478","1566357.3717056001","4173347","34954839.966386415"
2004-09-01,"2386047","299803","1121831","964413","4536970","22470550.570708923","22247549.570708923","15994895.570708925","0","1095227","5157427","223001","1756786.1935642001","4085796","35236149.764273122"
2004-10-01,"2341420","278434","1162642","900344","4392799","22228314","21998921","15918396","0","1068212","5012313","229393","1961298","4108674","35032505"
2004-11-01,"2376876.7147222701","339307","1073781.8408322702","963787.87389000005","4530361.5688464912","22163227.184418313","21935902.911446154","15933101.168317374","0","1016099","4986702.7431287803","227324.2729721576","1990888","4067271.7067458532","35128625.174732931"
2004-12-01,"2971775","365594","1623825","982356","4187418","22587462.734883253","22360488.734883253","16758911.734883253","0","881958","4719619","226974","2031110.3411799998","4009664","35787430.076063253"
2005-01-01,"2850658.29","389945.55","1465356.26","995356.48","4590498.59","23299208.980000004","23066638.570000004","17336738.170000002","0","1003046.46","4726853.9400000004","232570.41","1875253.47","4036168.12","36651787.450000003"
2005-02-01,"3298332.6448446098","373177.1563899999","1745923.8087671525","1179231.6796874576","4562195.3450548789","23259218.469373077","23032194.222967468","17099487.786120944","0","1173485.6095106022","4759220.827335923","227024.24640560977","1836372.0819000001","3962157.1624693386","36918275.703641906"
2005-03-01,"2749333.4908736306","314657.07203000004","1340304.8026709186","1094371.6161727118","4718929.6014440712","23390732.174760692","23158451.030723356","17136702.747374587","0","1198111.0859506959","4823637.1973980721","232281.14403733579","1909916.6651799998","3941325.8806719091","36710237.812930301"
2005-04-01,"2938229.5276036304","295359.45746000006","1528095.9961609184","1114774.0739827119","5081637.1706840722","23656064.52554189","23436800.972354554","17434018.488534585","0","1033747.3443218963","4969035.1394980736","219263.55318733581","1864480.1650800002","3968358.2119519101","37508769.600861505"
2005-05-01,"2511840.7511036308","312665.07545999996","1252077.9027409188","947097.77290271211","5096981.2971840706","23887411.196392294","23660880.012184959","17705360.973614588","0","988086.19194229622","4967432.8466280717","226531.18420733578","1736984.3655299998","3951133.5340419095","37184351.144251905"
2005-06-01,"2547836.3334136307","319066.8627900001","1246349.6015509183","982419.86907271214","4996738.1119340714","23745409.002127897","23554805.010240562","17866593.575174589","0","945235.45764789591","4742975.9774180735","190603.99188733581","1838117.8880799999","4303516.3862619093","37431617.721817508"
2005-07-01,"2539398.7115840754","272444.54738999996","1349977.0499342442","916977.11425983091","5261699.2702802811","23758900.988476247","23566801.924741499","17755061.744120397","0","1058405.0309812555","4753335.1496398505","192099.06373474668","1794910.5131399999","4338076.0874643531","37692985.570944957"
2005-08-01,"2751938.0897777043","284643.77512000001","1508615.0977331279","958679.21692457644","5654867.7005710881","23681790.483948469","23487064.031445447","17757665.091101885","0","1051655.0566258614","4677743.8837177008","194726.45250302064","1985397.66646","4281271.831655981","38355265.772413239"
2005-09-01,"2555670.2860045196","270313.53845999995","1266250.30336757","1019106.4441769494","6002207.2795864912","23778345.194239717","23581294.870027561","17915828.550363921","0","915112.37332201435","4750353.9463416263","197050.32421215757","2004107.40729","4262064.2689067964","38602394.436027519"
2005-10-01,"2907674.4952439652","295778.31242000003","1565792.2866322699","1046103.8961916951","6342872.2276072977","23836722.621986635","23637786.038416203","17976498.543267205","0","966074.03695952054","4695213.4581894781","198936.58357043154","1928683.2708700001","4302063.5028984267","39318016.118606322"
2005-11-01,"3403400.6134139653","311668.4351","2069849.2873722701","1021882.8909416952","6413222.0603672983","23786515.546176635","23592813.797246203","18252281.614067208","0","907255.42849952076","4433276.7546794778","193701.74893043152","1982875.1461300002","4241877.7323203012","39827891.098408207"
2005-12-01,"3273162.4408239648","509470.25293999992","1730114.3448622695","1033577.8430216954","5891822.2179928524","23841167.696638625","23634596.2865308","18466586.255237214","0","832211.08899952052","4335798.9422940649","206571.41010782361","1929150.9101100001","3563314.8213796532","38498618.086945094"
2006-01-01,"3719551.4462229651","477184.04144","2129173.6495912704","1113193.7551916949","5774425.0471528526","23813219.793198615","23614969.993320793","18331967.679077208","0","948039.76539952063","4334962.5488440655","198249.79987782362","1377062.8776400001","3640986.0007996531","38325245.165014088"
2006-02-01,"3970826.1810836885","472037.60745000007","2380895.4817796205","1117893.091854068","6044529.4795746971","23688155.808217231","23492823.796805054","18181957.13243648","0","977416.66311807372","4333450.0012504989","195332.01141217633","1306264.0980700003","3594334.2305083778","38604109.797454"
2006-03-01,"3538755.7596031344","412490.56784000003","2126809.3771643201","999455.81459881389","6163609.8509983914","23711432.211281091","23515447.46623021","18211132.577089768","0","967240.94742707978","4337073.941713362","195984.74505088176","1263931.54318","3550767.764055829","38228497.129118443"
2006-04-01,"4053011.7363105868","433630.64248000004","2352593.5078194002","1266787.5860111867","5686740.2046202375","23916203.833185583","23723531.687927198","18481229.884876419","0","959730.31112853263","4282571.4919222444","192672.14525838647","1253105.81259","3577286.4012603681","38486347.987966783"
