"MES","BZCD01","BZCD02","BZCD03","BZCD04","BZCD05","BZCD06","BZCD07","BZCD08","BZCD09","BZCD10","BZCD11","BZCD12","BZCD13","BZCD14","BZCD15","BZCD16","BZCD17","BZCD18","BZCD19","BZCD20","BZCD21","BZCD22","BZCD23","BZCD24","BZCD25","BZCD26","BZCD27","BZCD28","BZCD29","BZCD30","BZCD31","BZCD32","BZCD33","BZCD34","BZCD35","BZCD36","BZCD37","BZCD38","BZCD39","BZCD40","BZCD41","BZCD42","BZCD43","BZCD44","BZCD45","BZCD46","BZCD47","BZCD48","BZCD49","BZCD50","BZCD51","BZCD52","BZCD53","BZCD54","BZCD55","BZCD56","BZCD57","BZCD58","BZCD59","BZCD60","BZCD61","BZCD62","BZCD63","BZCD64","BZCD65","BZCD66","BZCD67","BZCD68","BZCD69","BZCD70","BZCD71","BZCD72"
1997-11-01,"342.90000000000003","30","23.6","11.7","5.2","6.5",,"6.3","2.7","2.8","0.8","5.6","6.4","1.5","4.9000000000000004",,"1.8","296.90000000000003","291.10000000000002","5.8000000000000007","12.799999999999999","12.799999999999999","12.6","0.2",,,,,"0.2",,"1.2",,"1.2","384.3","34.6","33","1.4",,,"1.4","29.3","2.2999999999999998","1.6",,,,,,"1.6","21.7","10.6","10.6",,,"11.1","11.1",,,"314.5","269.39999999999998","45.100000000000009",,"10.3",,"3.2",,"3.2",,,,,"-41.399999999999977"
1997-12-01,"491.24999999999994","25.75","20.95","12.2","5.8","5.9","0.5","2.1","1.8","0.3",,"6.65","4.8","0.8","4",,"15.2","400.29999999999995","375.4","24.9","44","44","43.1","0.9",,,,,"2",,"3.9999999999999996",,"3.9999999999999996","525.30000000000007","82.2","80.7","1.3","0.3",,"1","76.2","3.2","1.5","0.9",,,,,"0.6","27.900000000000002","3.6","3.6",,,"24.3","24.3",,,"383.5","330.59999999999997","52.900000000000006",,"14.8",,"9.8999999999999986",,"9.8999999999999986",,"7",,,"-34.050000000000125"
1998-01-01,"432.68","32.700000000000003","24.7","7.1","2.6","4.5",,"6.6","1.1000000000000001","2.2999999999999998","3.2","11","8","0.2","7.8",,"11.1","367.9","357.7","10.199999999999999","4.74","4.74","4.74",,,,,,,,"16.239999999999998","0.2","16.04","500.10000000000008","71.600000000000009","69.600000000000009","0.2",,,"0.2","66.2","3.2","2","1",,,,,"1","56.599999999999994","37.799999999999997","37.799999999999997",,,"18.8","18.8",,,"360.80000000000007","285.70000000000005","75.100000000000009",,"5.0999999999999996",,"3",,"3",,"3",,,"-67.420000000000073"
1998-02-01,"366.20000000000005","18.399999999999999","14.4","7.9","2.9","5",,"2","1","0.3","0.7","4.5","4","0.5","3.5",,"6.2","331","307","24","9.3000000000000007","9.3000000000000007","4.3","5",,,,,,,"1.3",,"1.3","419.14","31.400000000000002","29.3","1.5",,,"1.5","25.6","2.2000000000000002","2.1","1",,,,,"1.1000000000000001","13.6","7.5","7.5",,,"6.1","6.1",,,"366.06","250","116.06",,"2.56",,"2.46",,"2.46",,"3.06",,,"-52.939999999999941"
1998-03-01,"549.1","21.4","15.499999999999998","11.2","5","6.2",,"1.7","1.5","0.2",,"2.6","5.9","0.4","5.5",,"0.4","474.7","412.3","62.4","28.4","5.7","5.7",,"22.7",,,,"18.2",,"6",,"6","545.93999999999994","55.599999999999994","53.699999999999996","0.4",,,"0.4","47.8","5.5","1.9000000000000001","1.1000000000000001",,,,,"0.8","43.66","26.7","26.7",,,"16.96","16.96",,,"438.91999999999996","345.15999999999997","93.759999999999991",,,,"2.86",,"2.86",,"4.9000000000000004",,,"3.1600000000000819"
1998-04-01,"396.85115823999996","17.451158240000002","13.85115824","11.45115824","3.9511582399999998","6.5","1","1.5","1.4","0.1",,"0.9","3.6","0.6","3",,"0.1","323.5","251.4","72.099999999999994","27.9","27.9","18.899999999999999","9",,,,,,,"27.9","5","22.9","362.74143798999995","43.625000000000007","40.925000000000004","0.2","0.2",,,"36.125","4.5999999999999996","2.7",,"1",,,,"1.7","18.079999999999998","11.74","11.74",,,"6.34","6.34",,,"277.06","213.2","63.860000000000007",,"13.7",,"7.26",,"7.26",,"3.01643799",,,"34.109720250000009"
1998-05-01,"167.16","13.099999999999998","11.399999999999999","7.9","2.6","5.3",,"0.2","0.2",,,"3.3","1.7000000000000002","0.8","0.9",,"0.4","142.5","63.3","79.2","3.7","3.7","3.7",,,,,,"1.56",,"5.9",,"5.9","319.5","13.1","11.2","0.1",,,"0.1","7.8","3.3","1.9000000000000001","0.3",,,,,"1.6","22.520000000000003","13.06","13.06",,,"9.4600000000000009","9.4600000000000009",,,"279.82","202.96","76.859999999999985",,,,"4.0600000000000005",,"4.0600000000000005",,,,,"-152.34"
1998-06-01,"171.06","20.46","17.36","15.68",,"5.5","10.18","0.18000000000000002","0.1","0.04","0.04","1.5","3.1",,"3.1",,"2.7","93.9","55.800000000000004","38.1","2.2000000000000002","2.2000000000000002","2.2000000000000002",,,,,"47.1",,,"4.7",,"4.7","174.50383756000005","33.58","31.2",,,,,"27.9","3.3","2.38","1.2","0.04",,,,"1.1399999999999999","20.3","11.5","11.5",,,"8.8000000000000007","8.8000000000000007",,,"94.90000000000002","22.2","72.700000000000017",,"11.83",,"8.4400000000000013",,"8.4400000000000013",,"5.4538375600000002",,,"-3.4438375600000484"
1998-07-01,"238.69","17.46","13.36","10.26","5.46","4.8",,"0.5","0.5",,,"2.6000000000000005","4.0999999999999996",,"4.0999999999999996",,"14.2","196.12","83.66","112.46","4.45","4.45","4.45",,,,,,,,"6.46",,"6.46","233.48","20.82","16",,,,,"10","6","4.82","0.04","0.04",,,,"4.74","17.935223389999997","5.7952233900000003","5.7952233900000003",,,"12.139999999999999","12.139999999999999",,,"182.64","62","120.63999999999999",,"7.9",,"1.1399999999999999",,"1.1399999999999999",,"3.04477661",,,"5.210000000000008"
1998-08-01,"161","14.499999999999998","11.399999999999999","8","2.9","4.9000000000000004","0.2","1.6","1.6",,,"1.7999999999999998","3.1",,"3.1",,"14.3","73.122000000000014","60.2","12.922000000000004","8.4640000000000004","8.4640000000000004","6","2.464",,,,,"42.613999999999997",,"8",,"8","120.47999999999999","20.020000000000003","17.420000000000002","0.08",,"0.04","0.04","14","3.34","2.6","1.3",,,,,"1.3","12.2","5.9","5.9",,,"6.3","6.3",,,"82.3","49.9","32.4",,,,"2.96",,"2.96",,"3",,,"40.52000000000001"
