"MES","AMBM01","AMBM02","AMBM03","AMBM04","AMBM05","AMBM06","AMBM07","AMBM08","AMBM09","AMBM10","AMBM11","AMBM12","AMBM13","AMBM14","AMBM15","AMBM16"
1999-07-01,"5439420.1150000002","6193153.7589999996","753733.64399999985","-229995.39299999987","3295342.7250000001","2863050.4720000001","432292.25300000003","329095.04060000001",,"-5293935.0920000002","2881737.3144000005","1789951.85","611267.946",,"480517.51799999998","1091785.4639999999"
1999-08-01,"5549999.2770000007","6313790.1900000004","763790.91299999994","-193264.28500000009","3342788.1329999999","2891219.889","451568.24400000001","478623.36332",,"-5290468.0030000005","2930431.758679999","1697227.8910000001","699402.00421000004",,"533801.86271520006","1233203.8669252"
1999-09-01,"6216580.0539999995","6991011.3569999998","774431.30299999996","-613378.0919999996","3231665.1779999998","2723373.824","508291.35399999999","574386.06700000004",,"-5448046.4169999994","2812434.6560000014","1717373.2050000001","642583.29686",,"452478.15422199998","1095061.451082"
1999-10-01,"5873726.1549999993","6590947.7869999995","717221.63199999998","-505985.09799999994","3447861.6949999998","2870922.4849999999","576939.21","469446.39436999999",,"-5450072.4699999997","2896083.8876299988","1780998.7379999999","562413.84664",,"552671.30322360003","1115085.1498636"
1999-11-01,"5868561.7409999995","6563501.1919999998","694939.451","-594240.13400000031","3596599.74","2989691.7969999998","606907.94299999997","414541.20066999999",,"-5598048.3559999987","2858331.7903300002","1730618.5160000001","615652.52642999997",,"512060.7473092","1127713.2737392001"
1999-12-01,"6659598.659","7311574.3430000003","651975.68400000001","-311004.30600000004","3375461.4910000004","2793364.0380000002","582097.45299999998","604548.73678000004",,"-5434794.3670000006","3684712.7402199991","2157813.8629999999","930105.76873999997",,"596793.10946319997","1526898.8782031999"
2000-01-01,"6609152.2739999993","7241372.0299999993","632219.75600000005","-250606.91500000021","3216547.4080000003","2704727.0580000002","511820.35","748796.35244999989",,"-5517946.3109999988","3308350.1035500001","1779836.4439999999","764029.54877999995",,"764484.11021009996","1528513.6589901"
2000-02-01,"6524470.5640000002","7227225.3119999999","702754.74799999991","-200831.24400000076","3223557.7829999998","2705453.585","518104.19799999997","751742.32679999992",,"-5632174.3189999992","3163280.457200001","1686806.477","859340.97693999996",,"617133.00266760006","1476473.9796076"
2000-03-01,"6262893.8000000007","6960845.8620000007","697952.06199999992","-274829.81500000041","3269755.0959999999","2731530.1570000001","538224.93900000001","663660.96896000009",,"-5509299.0020000003","3084859.1100399997","1677700.7779999999","678504.47120999999",,"728653.86049600004","1407158.331706"
2000-04-01,"6140436.7860000003","6807660.3870000001","667223.60100000014","-173960.09899999999","3310449.1040000003","2781022.1529999999","529426.95100000012","703179.97686000005",,"-5506279.4480000008","3067466.3661400005","1773143.281","622788.11528999999",,"671534.97017359966","1294323.0854635998"
2000-05-01,"6313073.9869999997","6966133.0039999997","653059.01699999999","-372782.67900000018","3220114.9759999998","2732561.3489999999","487553.62699999998","628499.79092000006",,"-5544717.9619999994","2987188.5310799982","1693450.936","627129.76113999996",,"666607.83326280001","1293737.5944027998"
2000-06-01,"6430531.8250000002","7068323.8870000001","637792.06199999992","-470034.91199999989","3244481.0630000001","2727229.0329999998","517252.03","567849.20819999999",,"-5704309.2280000001","2932819.5397999994","1771841.8840000001","459440.51554999995",,"701537.14026610006","1160977.6558161001"
2000-07-01,"6172553.6620000005","6784014.3640000001","611460.70200000005","-265802.19599999982","3190384.8310000002","2662528.1570000001","527856.674","488237.59583000001",,"-5671305.9709999999","2937592.7301700013","1722110.094","637867.39256999991",,"577615.24423399987","1215482.6368039998"
2000-08-01,"6167468.892","6766613.125","599144.23300000012","-170091.16599999979","3172134.5410000002","2643975.642","528158.89899999998","484395.10253000003",,"-5715225.2040000008","2969891.9604699994","1692014.3780000003","615757.31941999984",,"662120.26284390013","1277877.5822639"
2000-09-01,"6164248.9209999992","6751790.3939999994","587541.473","-57893.232999999542","2860018.2779999999","2383363.0219999999","476655.25599999999","492424.28672999999",,"-5419596.943","3054352.7362699974","1744178.328","679545.12005999999",,"630629.28899189993","1310174.4090518998"
