"MES","BAXS01","BAXS02","BAXS03","BAXS04","BAXS05","BAXS06","BAXS07","BAXS08","BAXS09","BAXS10","BAXS11","BAXS12","BAXS13","BAXS14","BAXS15","BAXS16","BAXS17","BAXS18","BAXS19","BAXS20"
2013-12-01,"1666714.5462536439","1700106.5652827986","1942986.9547069971","2018327.8666778428","2088569.2680874635","2110472.6107653058","2250217.8129956266","2227827.8581982506","2281744.5938877552","2163948.9025131194","2226427.2272813404","2093188.2240874628","2101837.0131953349","2143356.3708002912","2319320.125632653","2408296.8671545186","2361256.5587317781","2391150.1623309036","2469910.4478921276","2477455.054804665"
2014-01-01,"252746.41869970848","272399.2723206997","284560.34833527694","287308.06287317793","291335.72054227407","275721.13462390675","281238.26576239069","259309.14268221578","274505.43758163269","281491.60331924196","273202.55767492705","262000.35884402331","264895.34398833808","293970.20785422745","291420.29966180754","307575.07498979592","290663.58878862974","297637.08064868802","287356.91668221564","292997.18200291554"
2014-02-01,"154481.56307142854","184763.9148104956","252883.18720991252","295149.66609475214","306003.02825801744","359374.92336151603","433014.63199271139","375716.15824489796","457946.79243148689","301830.33232798823","260886.54735860057","122672.4541341108","137572.59389941691","115713.32307725947","167721.39707725949","171970.12648104961","112070.48555247812","123215.15256122449","130115.95256559766","112747.93835422742"
2014-03-01,"1032.4506311953355","1112.4617157434402","2529.838106413994","1121.9115583090377","2076.4330072886296","795.69290379008737","2402.5736953352766","1997.4921793002914","2672.7267667638484","1198.340279883382","1814.4264139941693","1268.6112930029153","815.32451311953355","995.79568367346928","1198.0532609329446","1383.7723527696794","895.97396209912529","1225.8021734693875","2109.4847944606413","873.09072594752195"
2014-04-01,"272608.13747521862","285686.05645189504","316432.30961224489","348551.41046209913","368378.96887026232","363838.15149562678","438905.03080612241","423229.3877667638","389287.00122303207","386846.03709766758","392345.83987900865","389477.84833236149","370311.07981195336","362594.62826822157","359167.78630466474","384394.80144460633","415676.35875072889","435334.57026676385","427826.21720116615","459656.71004373173"
2014-05-01,"476.08630029154517","476.08630029154517","476.08630029154517","476.08630029154517","476.08630029154511","476.08630029154517","476.08630029154517","476.08630029154517","476.08630029154517","476.08630029154506","476.08630029154517","476.08630029154517","476.08630029154511","476.08630029154517","476.08630029154511","476.08630029154511","474.31497084548107","474.31497084548107","502.71497084548099","502.71497084548088"
2014-06-01,"985369.89007580152","955668.77368367324","1086105.1851428573","1085720.729389213","1120299.0311093295","1110266.6220801747","1094181.2244387756","1167099.5910247809","1156856.5495845482","1192106.5031880469","1297701.7696545187","1317292.8651836726","1327766.5846822157","1369606.3296166176","1499336.5030276966","1542497.0055860055","1541475.8367069969","1533263.2417099124","1621999.1616778423","1610677.4187069973"
2014-07-01,"141771.76184693875","142032.52536005829","138672.12464723032","130959.4907419825","129331.49979154521","147177.53668658892","143563.21497813411","135499.94180903787","147935.20273906706","167570.96634985422","169933.86763265304","184779.47745918369","202508.68995335273","217582.94952915449","223380.15230612241","218272.90412099124","221850.95807580178","271839.08909620991","259296.11819387751","243494.24650728857"
2014-08-01,"4131.2590437317785","6091.7793090379","4951.6069912536432","20.286790087463554","20.286790087463554","20.286790087463554","21.671790087463556","973.64170991253638","21.555793002915454","487.56348396501454","1044.8228994169094","2071.1889897959186","26.614500000000003","20.286790087463554","20.286790087463554","20.286790087463554","2940.286790087463","20.286790087463554","1775.5917419825071","1273.7956501457727"
2014-09-01,"8100","7400","5499.9999999999991","2999.9999999999995","1100","8600","10200.000000000002","0","1000","9312.58","6912.579999999999","18012.579999999998","16012.58","21512.579999999998","19812.580000000002","20792.670189504373","20877.577069970848","25277.577069970841","8647.5770699708446","2578.3410102040812"
2014-10-01,"6792.0720116618077","6958.0766705539363","6730.6996034985441","7103.9958309037893","8817.5381472303216","10417.618533527695","11268.522606413993","11103.990256559766","12328.543188046644","8846.4803279883381","10610.057384839649","14839.945182215743","16233.972985422739","12592.475250728861","6931.2562842565594","5882.0798309037891","5409.6392346938783","6381.3004402332372","5911.4487332361514","4267.8688134110789"
2014-11-01,"20146.740696793","20146.740766763847","20152.360790087459","20152.360790087459","20152.360790087459","13564.027450437316","9999.9999999999982","10344.588999999998","21462.123884839653","43097.474884839648","45033.490874635565","49784.730884839642","72255.169884839648","76894.642884839646","76004.459884839642","71242.072999999989","73728.517000000007","81783.74500000001","79200.349999999991","73200.349999999991"
2014-12-01,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2015-01-01,"2280.6794402332357","3259.1381399416914","3321.3349795918366","4564.1651093294458","5835.7713294460636","5679.1119795918366","5324.3043206997081","5303.7633206997079","4696.0854606413986","4391.172080174927","4294.8906603498544","3986.2170903790088","3978.87060058309","3311.7618994169097","3715.553520408163","3454.6115102040817","4244.7579402332358","4047.4768498542267","3213.7805393586004","4133.4689795918366"
2015-02-01,"45300","43300","41850","40850.000000000007","40850.000000000007","60349.999999999993","60350","60349.999999999993","60350","60100","59433.332999999999","59433.333000000006","56433.332999999999","56283.332999999991","56033.332999999999","56033.332999999999","55533.332999999999","55533.332999999999","55033.332999999999","55033.332999999991"
2015-03-01,"1627068.3882011657","1659033.8822361513","1905176.2010218659","1987575.1369664725","2058002.9960597665","2077394.5916909617","2218251.5322988336","2204929.5509314868","2246456.2847215743","2101728.7175160348","2162350.1898221569","2008003.6927303199","1996832.5895247809","2031860.2995743437","2216075.4563731779","2309883.6710437313","2257826.2236661804","2277212.9380597668","2373872.7653760929","2395631.9843600588"
2015-04-01,"1524942.7844067053","1558074.0399227403","1804314.8300597668","1887368.3759358602","1959237.7682959181","1963295.0740787168","2106654.5980174923","2092327.9163892127","2133809.3911486883","1996377.9361632653","2056493.3596486873","1908408.7466282791","1899328.3232419821","1925773.4212711367","2095939.9733265305","2190023.9630335271","2139405.6006559762","2119311.0732346936","2210614.3296982502","2233960.8082973766"
2015-05-01,"2014",,,,,,,,,,,"2015",,,,,,,,
2015-06-01,"Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Nov","Dic","Ene","Feb","Mar","Abr","May","Jun","Jul","Oct","Nov"
2015-07-01,"-17138.988884839593","33392.019029154428","242880.38942419848","75340.911970845802","70241.401409620725","21903.342677842375","139745.20223032142","-22389.954797376959","53916.735689505003","-60133.886326530046","62478.324768221224","-133239.00319387848","8648.7891078727444","41519.357604955985","175963.75483236171","88976.741521865741","-47040.308422740505","29893.603599125527","-31454.130876094041","7544.6069125373469"
2015-08-01,"-4293.7950787170676","19652.853620991238","12161.076014577247","2747.7145379009471","4027.6576690961861","-15614.585918367367","5517.1311384839901","-21929.123080174919","15196.294899416898","11270.710397959192","-8289.0456443149105","-11202.198830903741","2894.9851443147736","29074.863865889369","-2549.9081924199345","16154.775327988375","-16911.486201166157","6973.4918600582887","-19079.41344314878","5640.2653206998821"
2015-09-01,"-5441.7182813411382","30282.351739067082","68119.272399416906","42266.478884839642","10853.362163265274","53371.895103498617","73639.708631195332","-57298.473747813434","82230.634186588926","-88335.403170554055","-40943.784969387649","-138214.09322448977","14900.139765306121","-21859.270822157443","52008.074000000022","4248.729403790122","-59899.640928571498","11144.667008746368","33541.77685568513","-17368.014211370253"
2015-10-01,"-420.07317930029143","80.01108454810479","1417.3763906705537","-1407.9265481049561","954.5214489795917","-1280.7401034985419","1606.8807915451894","-405.08151603498544","675.23458746355698","-355.18487172011669","616.08613411078727","-545.81512099125382","-453.28677988338183","180.47117055393568","202.25757725947534","185.71909183673486","-487.79839067055417","329.8282113702623","749.30107288629745","-1236.3940685131195"
2015-11-01,"-19842.008909621029","13077.918976676414","30746.25316034985","32119.100849854251","19827.558408163211","-4540.8173746355369","75066.879310495613","-15675.643039358591","-33942.386543731744","-10538.050139941732","5499.8027813410881","-2867.9915466472039","-19166.768520408143","-7716.4515437317505","-3426.8419635568534","25227.015139941614","31281.557306122522","19658.211516035011","-21132.40829737606","31830.492842565549"
2015-12-01,"12858.606564139791","-29701.116392128257","130436.41145918389","-384.45575364426077","34578.301720116542","-10032.409029154678","-16085.39764139914","72918.366586005272","-10243.041440232673","27824.041457726253","105595.26646647192","19591.09552915379","10473.719498543232","41839.74493440178","129730.17341107903","43160.502558308959","-1021.1688790086555","-8212.5949970845795","-25533.387064140243","-11321.74297084498"
2016-01-01,"8463.7191399417025","260.76351311954227","-3360.4007128279818","-7712.633905247827","-1627.9909504373222","17846.036895043711","-3614.3217084547814","-8063.2731690962482","12435.260930029188","9179.7378104956242","2362.9012827988445","14845.609826530619","17729.212494169074","15074.259575801761","5797.2027769679071","-5107.2481851311977","3578.0539548105139","49988.131020408189","-8800.0884154519099","-15801.871686588867"
2016-02-01,"3230.9688134110788","1960.5202653061217","-1140.1723177842564","-4931.3202011661797","0","0","1.3850000000000009","951.96991982507279","-952.08591690962101","448.8431239067055","557.25941545189505","1026.3660903790089","-2044.5744897959185","-6.3277099125364469","0","0","2919.9999999999995","-2919.9999999999995","185.30495189504359","-501.79609183673438"
2016-03-01,"-4799.9999999999991","-699.99999999999932","-1900.0000000000011","-2499.9999999999995","-1899.9999999999995","7500","1600.0000000000014","-10200.000000000002","1000","7912.58","-2400.0000000000014","11100.000000000002","-2000","5500","-1699.9999999999993","980.09018950437371","84.906880466473211","4399.9999999999955","-13799.999999999998","-6069.2360597667639"
2016-04-01,"-1153.210950437317","166.00465889212845","-227.37706705539208","373.29622740524559","1713.5423163265316","1600.0803862973746","850.90407288629774","-164.53234985422858","1224.5529314868797","-3764.911188046648","1763.577056851311","4229.8877973760937","1394.0278032069955","-3641.4977346938767","-5661.2189664723028","-1049.1764533527696","-472.4405962099114","971.661205539359","-894.65308746355629","-1643.5799198250729"
2016-05-01,"13558.407357142854","6.9970848670664054E-5","5.6200233236118891","0","0","-6588.3333396501448","-3564.0274504373169","344.58899999999915","11117.534884839655","8813.7450000000044","1936.0159897959193","4751.240010204072","22470.439000000006","4639.4729999999954","-890.18299999999329","-4762.3868848396569","2486.44400000002","8055.2279999999992","-2425.1170000000143","-6000"
2016-06-01,"-2415.7571705539312","-144.22018075801901","1289.3318090379039","-897.4400612245006","-2713.1394868804505","-4009.0508017492753","-2147.7756720116686","1025.2412609329369","652.93689067056698","-4098.1663658892057","1268.9972405247829","-5953.2105014577255","916.66667055392986","9399.7207215743474","13894.813122448973","-14.833026239060132","-1731.0027594752171","39678.522905247803","8428.1464606414011","-2506.9480553935932"
2016-07-01,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
2016-08-01,"43.311090379008377","978.45869970845547","62.196839650145549","1242.8301297376092","1271.6062201166176","-156.6593498542268","-354.80765889212853","-20.541000000000587","-607.67786005830885","-132.35275947521873","-96.28141982507276","-308.67356997084585","-7.3464897959185649","-667.10870116618048","403.79162099125352","-260.94201020408161","790.14643002915454","-197.28109037900941","206.23025947521833","919.68844023323641"
2016-09-01,"0","-2000","-1449.9999999999957","-999.99999999999295","0","19499.999999999985","0","0","0","0","-666.6670000000039","0","-3000.0000000000073","-150.00000000000568","-249.99999999999289","0","-500","0","-500","0"
