"MES","AMMB01","AMMB02","AMMB03","AMMB04","AMMB05","AMMB06","AMMB07","AMMB08","AMMB09"
1998-01-01,"4302286","0.67461638263472024","1.2791319820160723","0.74083280804205021","2.3159293962279586","0.78261059780312137","5.107623858195387","0.78273750707879486","5.1926165639336848"
1998-02-01,"4450152","0.66560041166234318","1.2396891169470166","0.72643518764302883","2.2237285385218302","0.76890474823331878","4.9071285662062776","0.76902744067168938","4.9896036636860943"
1998-03-01,"4178770","0.65398088956558986","1.295789603613025","0.71957985768300248","2.3689745360213652","0.76889101862270481","5.3147411132677806","0.7690216790802078","5.405741046741027"
1998-04-01,"4445439","0.64442324254589933","1.2864624202289132","0.70339919520209371","2.3061016504601679","0.78867941162166444","5.1423313231651582","0.78880223413705597","5.2283434911422697"
1998-05-01,"3501080.807","0.80814688873303686","1.6314183751372064","0.886977402855472","2.9430696203236759","0.94398551292278121","6.5250020767698889","0.94414146476454064","6.634615062632057"
1998-06-01,"3427445.5430000005","0.84379919350041732","1.6774401555969518","0.92747842236103462","3.0414621192859599","0.98572325732499599","6.6945255942589883","0.98588255963721372","6.8307095461683884"
1998-07-01,"3581882","0.82424309243018057","1.7252563028039452","0.90961385562115116","3.0849046664295474","0.96969791199151734","6.7156708773151372","0.9698503458237876","6.8433664183742788"
1998-08-01,"3403051.2290000003","0.89567381002832391","1.8269128031395849","0.98447176799758962","3.2730729308688873","1.0490070879858624","7.1884433771084426","1.049167532235231","7.3112489142213244"
1998-09-01,"3185771","0.93279379467325174","1.9425198547070708","1.02931265933741","3.5092846975033671","1.0992897543640141","7.7107992538774761","1.099461141447392","7.8590955598580372"
1998-10-01,"3079380","1.0104303515999975","2.021936888630179","1.1108635556865343","3.6508479031850567","1.175756163938845","7.9845748217144683","1.1759334723580721","8.1240606490563358"
1998-11-01,"3155606.784","0.96254947348978703","1.9671147495162693","1.0607619635793","3.5542117304815632","1.1220810737362137","7.7993260672619975","1.1222540990962706","7.9323060814791306"
1998-12-01,"3568426","0.91795093971403663","1.7771583325533447","1.005724372594528","3.2318204160601911","1.0553737137886567","7.0390280615552081","1.0598451530170447","7.1605318413608705"
1999-01-01,"3069185","0.94931032179552555","2.0009816938372889","1.0413771082551231","3.657729657873344","1.0948655750630867","8.0818210094686371","1.094866552521272","8.2109495913505377"
1999-02-01,"3124503","0.92016522307707815","1.8918087132577566","1.0202124945951405","3.5223278710246078","1.0747814932486863","7.9504233714994026","1.074782453401389","8.0841010967051083"
1999-03-01,"2993920.0620000008","0.94791385014607621","1.9775976547098597","1.0497171694359015","3.6565406110699281","1.1010067819906941","8.312045822181604","1.1010077840214556","8.4528191744595045"
1999-04-01,"2859319.4679999994","0.98377483330589499","2.0197510623181616","1.0942633616202835","3.776008121454165","1.1552233214816137","8.718129702846344","1.155224370682318","8.8402492762724787"
1999-05-01,"2978261.3940000003","0.94057149874199375","1.9472705769492304","1.0342506501294693","3.6204527932715092","1.0870096189414593","8.3955127224744199","1.0870106262405521","8.5020556150834619"
1999-06-01,"2851242.5650000013","0.95937439752692477","1.9371004016980216","1.0482058435459694","3.6565549511568811","1.0984365751428091","8.6641457031151923","1.0984376273156535","8.8727049693767768"
1999-07-01,"2881737.3144000005","0.96269977007866847","1.9042477683787591","1.0461619228564893","3.62946192136797","1.1079316057177677","8.6965134854001107","1.1079326467564443","8.9008482112625202"
1999-08-01,"2930431.758679999","0.9057402149489322","1.8340409651514751","0.98785814835148167","3.5440210679664865","1.0467583426620117","8.5674187488108249","1.0467593664019403","8.8498173914509"
1999-09-01,"2812434.6560000014","0.95088403184575132","1.9186810948613191","1.0440389072634151","3.7506760139283375","1.1053338424656358","9.0968105039056191","1.1053349091570854","9.4304412459177804"
1999-10-01,"2896083.8876299988","0.96187743383346902","1.8693684119869902","1.0439126956623048","3.6571491534616589","1.1036247090948708","8.8486808626198954","1.1036257449764668","8.9453005113781323"
1999-11-01,"2858331.7903300002","0.95212022803195984","2.1311691443968837","1.0438482075782847","3.9446706481539207","1.1045154123396954","9.0880782800573794","1.1045164619029442","9.1972881349300923"
1999-12-01,"3684712.7402199991","0.85565689519985655","1.5993042818985543","0.94438647143826893","3.0428083960571062","0.98939649303091493","6.9956535108999462","0.98939730720564489","7.100133025896552"
2000-01-01,"3308350.1035500001","0.84908409209344304","1.7012432988759523","0.93089012577457875","3.376518836991695","0.98686213423925095","7.8242118286771234","0.98686304103566191","7.9267078468617536"
2000-02-01,"3163280.457200001","0.85376858408266176","1.7346949001977345","0.95260522036269069","3.5097227789998806","1.010989231043639","8.1362374312538357","1.0109898632986754","8.2346374049589297"
2000-03-01,"3084859.1100399997","0.86695485356066126","1.7692136928513511","0.96592177201939156","3.5783118723554503","1.0243283291984855","8.3536931496316722","1.0243289775263114","8.4258727681165819"
2000-04-01,"3067466.3661400005","0.90871147334131197","1.87589218402448","0.99735042404059748","3.6874244509593299","1.0548255122587133","8.4811925899269447","1.0548261642626022","8.5478054524887117"
2000-05-01,"2987188.5310799982","0.91909195132299937","1.8728312183152851","1.0189015203869933","3.7474484183135113","1.0693921400552038","8.6740919488357164","1.0693928095810736","8.764604146906537"
2000-06-01,"2932819.5397999994","0.90040142196409423","1.8389695686383059","1.0071601214854946","3.7431088872070948","1.0671133499790524","8.821848567519595","1.0677113410849488","8.9230049834971297"
2000-07-01,"2937592.7301700013","0.93356477425694506","1.9032213133494684","1.0400046482356313","3.8498825851007314","1.1053105015725226","8.905704793885441","1.1059075891068106","8.9911892193236689"
