"MES","BCCP01","BCCP02","BCCP03","BCCP04","BCCP05","BCCP06","BCCP07","BCCP08","BCCP09","BCCP10","BCCP11","BCCP12","BCCP13","BCCP14","BCCP15","BCCP16","BCCP17","BCCP18","BCCP19","BCCP20","BCCP21","BCCP22","BCCP23","BCCP24","BCCP25","BCCP26","BCCP27","BCCP28","BCCP29","BCCP30","BCCP31","BCCP32"
1999-04-01,"2028298.5330000001","831020.93499999994","688665.02899999998","142355.90599999999","654244.05899999989","1324741.7549999999","-670497.696","125692.629","2417957.8429999999","8405593.9641023986","211462.45089760001","211462.45089760001","0","3381443.3909999998","4060181.4289999991","3165336.8029999994","1234609.8799999999",,"1446080.2709999999","484646.652","185973.42299999998","184939.91699999999",,"1033.5060000000001","428547.18299999996","310988.15299999999",,"117559.03","280324.02","187633.79500000001",,"92690.225000000006"
1999-05-01,"2031915.7830000001","1107557.129","939875.755","167681.37400000001","650012.82700000005","1323712.429","-673699.60199999996","130151.999","2377708.0070000002","8444242.7688186001","213431.64118140002","213431.64118140002","0","3355358.514","4214208.97","3235607.3640000001","1277522.3130000001",,"1458399.6189999999","499685.43199999997","217482.606","216443.288",,"1039.318","457682.74300000002","345789.53399999999",,"111893.209","303436.25699999998","198356.889",,"105079.368"
1999-06-01,"1971375.118","1330017.112","1116360.5759999999","213656.53599999999","737191.0959999999","1416089.5209999999","-678898.42500000005","130447.488","2366122.6310000001","8267207.3489160994","248776.90008389999","248776.90008389999","0","3359167.7779999999","4278486.8290000008","3333254.1260000002","1166115.74",,"1661184.0959999999","505954.29","239371.40400000001","238328.48300000001",,"1042.921","423201.098","324226.06800000003",,"98975.03","282660.201","153318.00200000001",,"129342.19899999999"
1999-07-01,"2002028.85","1208803.5049999999","967663.451","241140.054","753733.64399999985","1434201.6059999999","-680467.96200000006","133623.402","2368458.094","8273361.8099397002","250495.56606029999","250495.56606029999","0","3373969.909","4087138.0410000002","3099552.2749999999","1134824.9720000001",,"1461529.8219999999","503197.48100000003","250191.32800000001","249135.34",,"1055.9880000000001","435410.95399999997","335769.49099999998",,"99641.463000000003","301983.48400000005","165880.50700000001",,"136102.97700000001"
1999-08-01,"1911334.8910000001","1497720.2310000001","1283002.0830000001","214718.14799999999","763790.91299999994","1442451.433","-678660.52","133507.93","2394899.7429999998","199212.59457429999","252765.10042570002","252765.10042570002","0","3432534.2609999999","4206574.4840000002","3209856.81","1152499.8689999999",,"1560506.06","496850.88099999999","262630.70899999997","261567.05",,"1063.6590000000001","432697.22499999998","329797.19199999998",,"102900.033","301389.74","169790.77100000001",,"131598.96900000001"
1999-09-01,"1909507.2050000001","1477313.5180000002","1288213.7420000001","189099.77600000001","774431.30299999996","1459426.284","-684994.98100000003","137465.37400000001","2428279.9049999998","272779.83175099996","254056.91524900001","254056.91524900001","0","3784566.3730000001","4521165.5209999997","3399793.1819999996","1055814.3149999999",,"1844297.655","499681.212","266364.24899999995","265295.15399999998",,"1069.095","563046.97600000002","312479.12900000002",,"250567.84700000001","291961.114","157037.677",,"134923.43700000001"
1999-10-01,"1979687.7379999999","1385842.544","1244366.709","141475.83499999999","717221.63199999998","1456961.1969999999","-739739.56499999994","138405.152","2443847.4109999998","245106.0339866","255779.33501340001","255779.33501340001","0","3824799.9160000002","4644684.0489999987","3503679.7319999998","1332413.8489999999",,"1659897.034","511368.84899999999","287459.55300000001","286848.902",,"610.65099999999995","554484.83499999996","300667.99200000003",,"253816.84299999999","299059.929","167807.35",,"131252.579"
1999-11-01,"1944666.5160000001","1328206.4750000001","1184572.2930000001","143634.182","694939.451","1437074.2560000001","-742134.80500000005","141473.23699999999","2431785.3849999998","209262.1071044","256640.5448956","256640.5448956","0","3838388.7170000002","4752968.7609999999","3555061.4590000003","1478669.456",,"1618559.483","457832.52","311704.92300000001","311092.21600000001",,"612.70699999999999","531779.05599999998","282939.02500000002",,"248840.03099999999","354423.32300000003","225494.39",,"128928.933"
1999-12-01,"2419177.8629999999","1870083.6140000001","1555604.5209999999","314479.09299999999","651975.68400000001","1402627.5","-750651.81599999999","140262.64199999999","2406987.8960000002","205680.1612222","257501.75477780003","257501.75477780003","0","3876746.2039999999","4367978.5659999996","3237137.9780000001","1070892.2290000001",,"1706735.841","459509.908","251312.72100000002","250697.34700000001",,"615.37400000000002","469402.326","224959.72500000001",,"244442.601","410125.54099999997","212482.62599999999",,"197642.91500000001"
2000-01-01,"2004801.4439999999","2052345.0119999999","1714648.7649999999","337696.24699999997","632219.75600000005","1379221.888","-747002.13199999998","144113.6666","2361392.5120000001","227327.38039890002","258793.5696011","258793.5696011","0","3911053.75","4391441.25","3406520.3969999999","1151431.8130000001",,"1790997.6410000001","464090.94300000003","271523.84100000001","270904.68900000001",,"619.15200000000004","333524.46100000001","245038.22399999999",,"88486.236999999994","379872.55099999998","198292.609",,"181579.94200000001"
2000-02-01,"1898301.477","2016721.307","1686374.2790000001","330347.02799999999","702754.74799999991","1456040.0919999999","-753285.34400000004","142662.715","2334404.747","229953.41357560002","260085.38442439999","260085.38442439999","0","4024716.98","4548173.1605000002","3513700.2379999999","1332571.419",,"1725211.3629999999","455917.45600000001","264338.05","263715.80699999997",,"622.24300000000005","373866.15150000004","284916.84700000001",,"88949.304499999998","396268.72100000002","217360.41",,"178908.31099999999"
2000-03-01,"1899612.378","1848907.7010000001","1567952.4350000001","280955.266","697952.06199999992","1460287.92","-762335.85800000001","150660.08300000001","2322457.5639999998","248295.51887999999","182225.43712000002","182225.43712000002","0","4011785.9640000002","4499084.3909999998","3522492.344","1199527.933",,"1863104.726","459859.685","241229.147","240602.63699999999",,"626.51","410269.01799999998","323717.99099999998",,"86551.027000000002","325093.88199999998","196515.56400000001",,"128578.318"
2000-04-01,"1948221.8810000001","1822424.4620000001","1538672.817","283751.64500000002","667223.60100000014","1430761.9750000001","-763538.37399999995","150628.29300000001","2297559.5759999999","261528.34864329998","163850.73335670002","163850.73335670002","0","3995188.4890000001","4611566.7520000003","3662895.9610000001","1427123.0290000001",,"1777426.162","458346.77","238916.54800000001","238305.432",,"611.11599999999999","432087.201","343489.12900000002",,"88598.072","277667.04200000002","172865.943",,"104801.099"
2000-05-01,"1876379.936","1739308.3860000002","1486630.37","252678.016","653059.01699999999","1423742.5109999999","-770683.49399999995","151557.22","2285528.2310000001","276444.85790459998","163378.05109540001","163378.05109540001","0","4019494.6430000002","4835287.1720000003","3832440.72","1489825.2779999999",,"1905159.3419999999","437456.1","258514.16500000001","257900.04800000001",,"614.11699999999996","471866.84600000002","384046.90299999999",,"87819.942999999999","272465.44099999999","182936.91800000001",,"89528.523000000001"
2000-06-01,"1938664.8840000001","1562003.8640000001","1304820.683","257183.18100000001","637792.06199999992","1410821.6029999999","-773029.54099999997","150154.71599999999","2336585.4589999998","242524.19302189999","163792.97197809999","163792.97197809999","0","4189620.5329999998","4769593.4630000005","3672870.3110000002","1369666.834",,"1879528.118","423675.359","259051.617","258434.5",,"617.11699999999996","476164.598","393180.24800000002",,"82984.350000000006","361506.93700000003","272739.39500000002",,"88767.542000000001"
2000-07-01,"1933664.094","1492166.2320000001","1258947.4480000001","233218.78400000001","611460.70200000005","1377832.8230000001","-766372.12100000004","154525.41800000001","2326781.5469999998","265280.22344199999","164210.565558","164210.565558","0","4170286.273","4767260.2259999998","3697976.2340000002","1545784.04",,"1766941.3489999999","385250.84499999997","270756.17300000001","270135.44900000002",,"620.72400000000005","514921.16700000002","430721.21799999999",,"84199.948999999993","283606.652","193179.72200000001",,"90426.93"
2000-08-01,"1891477.3230000001","1562809.74","1330591.024","232218.71599999999","599144.23300000012","1369585.5190000001","-770441.28599999996","154269.80100000001","2324724.5240000002","277202.97060920001","164603.8763908","164603.8763908","0","4216587.2429999998","4723604.6620000005","3597465.49","1536288.3430000001",,"1720549.044","340628.103","271701.31","271077.58299999998",,"623.72699999999998","524054.38500000001","436291.359",,"87763.025999999998","330383.47700000001","240078.23",,"90305.247000000003"
2000-09-01,"1964221.328","1582555.6949999998","1367012.3589999999","215543.33600000001","587541.473","1364971.639","-777430.16599999997","159783.677","2267463.9219999998","284092.51920650003","165630.35179349998","165630.35179349998","0","4302812.9160000002","4452673.8549999995","3305776.7379999999","1360007.557",,"1664044.017","281725.16399999999","268125.63399999996","267536.98599999998",,"588.64800000000002","536887.21499999997","455095.19",,"81792.024999999994","341884.26800000004","180533.15700000001",,"161351.111"
2000-10-01,"1987740.889","1498361.9750000001","1288378.791","209983.18400000001","510884.83900000004","1345085.02","-834200.18099999998","157265.57999999999","2225384.3670000001","288000.25509400002","166199.106906","166199.106906","0","4332264.0990000004","4806693.5249999994","3657275.3049999997","1615590.1769999999",,"1778249.18","263435.94799999997","258978.69","258387.226",,"591.46400000000006","576698.57700000005","495836.038",,"80862.539000000004","313740.95299999998","232776.03599999999",,"80964.917000000001"
2000-11-01,"1901568.8759999999","1485531.3960000002","1272838.2690000001","212693.12700000001","495313.4850000001","1331955.0290000001","-836641.54399999999","157506.73800000001","2195713.0290000001","290506.38166920003","167254.33933079999","167254.33933079999","0","4434167.6030000001","4798919.5240000002","3602598.8289999999","1652911.041",,"1705064.0730000001","244623.715","254327.04800000001","253731.82800000001",,"595.22","601380.46299999999","521442.28",,"79938.183000000005","340613.18400000001","263188.81800000003",,"77424.365999999995"
2000-12-01,"2424155.057","2078363.784","1824929.932","253433.85200000001","477942.49800000002","1330886.949","-852944.451","161091.01999999999","2211828.2889999999","192811.0322444","168309.57175559999","168309.57175559999","0","4507530.2620000001","4331897.0309999995","3303446.1639999999","1211071.2749999999",,"1847664.077","244710.81200000001","256198.95699999999","255599.98199999999",,"598.97500000000002","486454.19799999997","403302.07199999999",,"83152.126000000004","285797.712","213235.859",,"72561.853000000003"
2001-01-01,"2059413.9569999999","1581434.1949999998","1307630.1189999999","273804.076","453998.11100000003","1304653.327","-850655.21600000001","162574.54399999999","2210421.4190000002","188597.10892579998","169100.9960742","169100.9960742","0","4607599.2750000004","4640772.2089999998","3538163.0959999999","1594311.6869999999",,"1692573.8289999999","251277.58","237816.514","237214.723",,"601.79100000000005","554740.62300000002","459753.245",,"94987.377999999997","310051.97600000002","236743.98199999999",,"73307.994000000006"
