"MES","SIRB01","SIRB02","SIRB03","SIRB04","SIRB05","SIRB06","SIRB07","SIRB08","SIRB09","SIRB10","SIRB11","SIRB12","SIRB13","SIRB14","SIRB15","SIRB16","SIRB17","SIRB18","SIRB19","SIRB20","SIRB21"
2003-06-01,"867.53300000000002","958.10500000000002","90.572000000000003","480","521.1","41.1","3.7388555299999999","3.7388555299999999",,,,,,,,,,,"1351.27185553","1482.9438555300001","131.672"
2003-07-01,"870.50599999999997","977.34299999999996","106.837","520.27220684485019","551.45000000000005","31.177793155149899","5.2976248300000002","5.2976248300000002",,,,,,,,,,,"1396.0758316748502","1534.09062483","138.0147931551499"
2003-08-01,"860.99499999999989","962.06","101.065","539.30400000000009","563.61800000000005","24.314","5.2996798399999996","5.2996798399999996",,,,,,,,,,,"1405.5986798399999","1530.9776798399998","125.37899999999999"
2003-09-01,"901.53400000000011","1006.07","104.536","568.71299999999997","593.63900000000001","24.925999999999998","5.30210735","5.30210735",,,,,,,,,,,"1475.5491073500002","1605.0111073500002","129.46199999999999"
2003-10-01,"1009.7049999999999","1132.242","122.53700000000001","309.62548020000003","329.88431800000001","20.258837799999998","6.9116164800000002","6.9116164800000002",,,,,,,,,,,"1326.24209668","1469.0379344799999","142.79583780000002"
2003-11-01,"890.05000000000007","1010.35","120.3","431.2","450.7","19.5","6.9142872999999998","6.9142872999999998",,,,,,,,,,,"1328.1642873000001","1467.9642873","139.80000000000001"
2003-12-01,"975.84499999999991","1096.1179999999999","120.273","513.01499999999999","544.07100000000003","31.056000000000001","6.9163127500000003","6.9163127500000003",,,,,,,,,,,"1495.7763127499998","1647.1053127499999","151.32900000000001"
2004-01-01,"892.25299999999993","1014.3","122.047","506.75","519.48199999999997","12.731999999999999","8.4687280099999995","8.4687280099999995",,,,,,,,,,,"1407.4717280099999","1542.2507280099999","134.779"
2004-02-01,"861.15200000000004","981.79399999999998","120.642","464.053","478.12299999999999","14.07","8.4720148999999996","8.4720148999999996",,,,,,,,,,,"1333.6770148999999","1468.3890148999999","134.71199999999999"
2004-03-01,"888.86806925000008","1003.7304046","114.86233535","489.34899999999999","511.54899999999998","22.2","8.4744499700000002","8.4744499700000002",,,,,,,,,,,"1386.6915192200001","1523.7538545699999","137.06233534999998"
2004-04-01,"791.4","895.5","104.1","452.59999999999997","476.2","23.6","11.887345269999999","11.887345269999999",,,,,,,,,,,"1255.88734527","1383.58734527","127.69999999999999"
2004-05-01,"817.678","921.14","103.462","512.70100000000002","533.6","20.899000000000001","11.891620029999999","11.891620029999999",,,,,,,,,,,"1342.2706200299999","1466.63162003","124.361"
2004-06-01,"804.80099999999993","915.40099999999995","110.6","396.20500000000004","432.3","36.094999999999999","11.89533273","11.89533273",,,,,,,,,,,"1212.9013327299999","1359.5963327300001","146.69499999999999"
2004-07-01,"859.59899999999993","965.37599999999998","105.777","413.79399999999998","439.09399999999999","25.3","15.153696210000001","15.153696210000001",,,,,,,,,,,"1288.5466962099999","1419.6236962099999","131.077"
2004-08-01,"897.95449999999994","1008.0345","110.08","473.97","500.67","26.7","15.162631810000001","15.162631810000001",,,,,,,,,,,"1387.0871318099998","1523.86713181","136.78"
2004-09-01,"950.60482301000002","1096.39825275","145.79342973999999","544.62400000000002","568.54300000000001","23.919","15.172820269999999","15.172820269999999",,,,,,,,,,,"1510.4016432799999","1680.11407302","169.71242974"
2004-10-01,"994.75519382000004","1140.17","145.41480618","525.11699999999996","548.41399999999999","23.297000000000001","18.371792370000001","18.371792370000001",,,,,,,,,,,"1538.24398619","1706.9557923699999","168.71180618"
2004-11-01,"1059.4111555500001","1213.7417582800001","154.33060273000001","541.48300000000006","564.88300000000004","23.4","18.390123640000002","18.390123640000002",,,,,,,,,,,"1619.2842791900002","1797.0148819200001","177.73060273000002"
2004-12-01,"1123.3010000000002","1271.7260000000001","148.42500000000001","484.78499999999997","520.82299999999998","36.037999999999997","18.409694469999998","18.409694469999998",,,,,,,,,,,"1626.4956944700002","1810.95869447","184.46300000000002"
2005-01-01,"1016.1330000000003","1158.1740000000002","142.041","549.2940000000001","570.24800000000005","20.954000000000001","21.71498643","21.71498643",,,,,,,,,,,"1587.1419864300003","1750.1369864300002","162.995"
2005-02-01,"1045.6950000000002","1188.4690000000001","142.774","545.37599999999998","566.029","20.652999999999999","21.745122120000001","21.745122120000001",,,,,,,,,,,"1612.8161221200003","1776.24312212","163.42699999999999"
2005-03-01,"1035.43623129","1170.89820259","135.46197129999996","564.11399999999992","584.02599999999995","19.911999999999999","21.778964289999998","21.778964289999998",,,,,,,,,,,"1621.32919558","1776.70316688","155.37397129999997"
2005-04-01,"1102.26017718","1247.23619835","144.97602117","610.87899999999991","628.91499999999996","18.036000000000001","26.011369930000001","26.011369930000001",,,,,,,,,,,"1739.1505471099999","1902.16256828","163.01202117"
2005-05-01,"1094.1754764300001","1232.44231418","138.26683775000001","615.7410000000001","630.81500000000005","15.074","26.056836799999999","26.056836799999999",,,,,,,,,,,"1735.9733132300003","1889.3141509800002","153.34083775000002"
2005-06-01,"1162.9518018199999","1286.7911519899999","123.83935017","596.53","618.40800000000002","21.878","26.109669870000001","26.109669870000001",,,,,,,,,,,"1785.5914716899997","1931.3088218599999","145.71735017"
2005-07-01,"1247.72701207","1364.9189864","117.19197432999999","636.98899999999992","653.62699999999995","16.638000000000002","30.47264255","30.47264255",,,,,,,,,,,"1915.1886546199999","2049.0186289499998","133.82997433"
2005-08-01,"1337.63060677","1454.0002899799999","116.36968321000001","688.23399999999992","704.21799999999996","15.984","30.53927418","30.53927418",,,,,,,,,,,"2056.4038809499998","2188.7575641599997","132.35368321000001"
2005-09-01,"1390.0678617799999","1498.13374856","108.06588678","733.57399999999996","748.40499999999997","14.831","30.55921347","30.55921347",,,,,,,,,,,"2154.20107525","2277.09796203","122.89688678"
2005-10-01,"1517.7071824699999","1613.7331061899999","96.025923719999994","777.8900000000001","792.87800000000004","14.988","35.016489560000004","35.016489560000004",,,,,,,,,,,"2330.6136720300001","2441.6275957500002","111.01392371999999"
2005-11-01,"1649.5225067200001","1740.2226615100001","90.700154789999999","787.68200000000002","801.71","14.028","35.042300429999997","35.042300429999997",,,,,,,,,,,"2472.2468071500002","2576.97496194","104.72815479"
2005-12-01,"1714.16158193","1798.38597196","84.224390029999995","719.51299999999992","736.47799999999995","16.965","35.500902709999998","35.500902709999998",,,,,,,,,,,"2469.1754846399999","2570.3648746700001","101.18939003"
2006-01-01,"1823.4662486499999","1839.2874164499999","15.8211678","708.23","721.803","13.573","40.21390143","40.21390143",,,,,,,,,,,,,
2006-02-01,"1876.17039733","1890.5333138999999","14.362916569999999","742.29","756.51199999999994","14.222","40.586999770000006","40.586999770000006",,,,,,,,,,,,,
2006-03-01,"2014.00430708","2028.5983987300001","14.594091649999999","763.98","773.351","9.3710000000000004","45.252524109999996","45.252524109999996",,,,,,,,,,,,,
2006-04-01,"2216.6579766499999","2230.9013163899999","14.24333974","696.92","714.41499999999996","17.495000000000001","45.254225429999998","45.254225429999998",,,,,,,,,,,,,
2006-05-01,"2401.2905658199998","2413.1723684799999","11.88180266","620.59199999999998","636.31899999999996","15.727","45.255446990000003","45.255446990000003",,,,,,,,,,,,,
2006-06-01,"2474.0726910399999","2488.5593895299999","14.48669849","586.82900000000006","603.84900000000005","17.02","50.458959710000002","50.458959710000002",,,,,,,,,,,,,
2006-07-01,"2671.2980825","2685.65032604","14.35224354","577.96100000000001","591.39099999999996","13.43","50.459054280000004","50.459054280000004",,,,,,,,,,,,,
2006-08-01,"2775.66634716","2783.4425996800001","7.7762525199999999","633.98099999999999","649.75400000000002","15.773","50.460496560000003","50.460496560000003",,,,,,,,,,,,,
2006-09-01,"2885.2177006300003","2897.8492586900002","12.63155806","670.28500000000008","685.58500000000004","15.3","55.857052580000008","55.857052580000008",,,,,,,,,,,,,
2006-10-01,"2970.6742857599997","2982.8041952799999","12.12990952","706.57499999999993","721.19899999999996","14.624000000000001","55.862068210000004","55.862068210000004",,,,,,,,,,,,,
2006-11-01,"3070.6930385999999","3083.63592857","12.94288997","801.779","807.404","5.625","55.854101879999995","55.854101879999995",,,,,,,,,,,,,
2006-12-01,"3177.68243287","3192.6298057200001","14.947372850000001","802.74700000000007","813.17700000000002","10.43",,,,,,,,,,,,,,,
2007-01-01,"3239.7623754900001","3254.8164189600002","15.05404347","913.82999999999993","924.67","10.84","61.668856390000002","61.668856390000002",,,,,,,,,,,,,
2007-02-01,"3369.4010571099998","3384.23875598","14.837698870000001","957.95299999999997","969.01900000000001","11.066000000000001","61.67244857","61.67244857",,,,,,,,,,,"4327.3540571100002","4353.2577559800002","25.903698869999999"
2007-03-01,"3532.6861329800004","3547.3723376900002","14.68620471","961.09799999999996","967.029","5.931","68.021335489999998","68.021335489999998",,,,,,,,,,,,,
2007-04-01,"3733.7551043499998","3748.9954639599996","15.240359609999999","926.18100000000004","930.85","4.6689999999999996","68.021376560000007","68.021376560000007",,,,,,,,,,,,,
