"MES","AMFE01","AMFE02","AMFE03","AMFE04","AMFE05","AMFE06","AMFE07","AMFE08","AMFE09","AMFE10","AMFE11","AMFE12","AMFE13"
1999-06-01,"5503568.1303999992","35094268.311338","5023168.311338","30071100","40597836.441738002","4631919.2000769004","4009741.8983495003","5060498.1557557005","1597443.1121817967","15299602.366363898","25298234.075374104","19775090.9573741","5523143.1180000044"
1999-07-01,"5497832.1150000002","35426288.390026003","5124457.3900260003","30301831","40924120.505026005","4458457.7255213","4085519.4979114998","5093035.9244966721","1637200.9368908321","15274214.084820304","25649906.420205701","20162364.5702057","5487541.8500000015"
1999-08-01,"5620684.2770000016","35845775.659839004","5161341.6598390006","30684434","41466459.936839007","4556493.4819657002","4132282.2834734996","5156313.4752376443","1687584.7537358576","15532673.9944127","25933785.942426309","20559254.051426303","5374531.8910000063"
1999-09-01,"6356204.0540000014","36051077.823729999","5244627.8237299994","30806450","42407281.877729997","4875487.7540489994","4189529.0478949999","5518407.181293373","1301358.1131016263","15884782.096338997","26522499.781391002","21126334.576391","5396165.2050000019"
1999-10-01,"5944471.1550000003","36658436.668517999","5548667.6685179994","31109769","42602907.823518001","4952536.01578","4222499.6904569995","5586131.3930000002","1935400.043270397","16696567.142507397","25906340.681010604","20492492.943010602","5413847.7380000018"
1999-11-01,"6679620.7410000004","36233572.533412002","5244273.5334120002","30989299","42913193.274412006","5071210.2137599997","4237328.9779599998","5569190.9360000007","1746562.0043716021","16624292.132091602","26288901.142320402","20197312.626320399","6091588.5160000026"
1999-12-01,"6867262.659","35976804.889906004","5175122.8899060003","30801682","42844067.548906006","4629965.2846790003","4265781.5684799999","5640538.8399999999","2145831.2379691973","16682116.931128196","26161950.61777781","20268973.7547778","5892976.8630000092"
2000-01-01,"7449018.2739999993","35922260.364347003","5312589.3643470006","30609671","43371278.638347","4667559.3206104999","4262192.7597599998","5681294.0573800001","2535907.7746208142","17146953.912371315","26224324.725975685","20596016.281975683","5628308.444000002"
2000-02-01,"7404498.5639999993","36102142.448187999","5533947.4481879994","30568195","43506641.012188002","4833974.4605419999","4172532.5700400001","5801348.7408100003","2650317.6655612788","17458173.436953276","26048467.575234726","20561141.098234717","5487326.4770000093"
2000-03-01,"7147863.2999999998","36114230.901519999","5424760.8015199993","30689470.100000001","43262094.201519996","4790751.0783200003","4247156.3000799995","5763345.5290299999","2468210.9253276149","17269463.832757615","25992630.368762381","20534855.390762385","5457774.9779999964"
2000-04-01,"7040132.7859999985","36541281.867642","5656448.9676419999","30884832.899999999","43581414.653641999","4969100.8788775001","4044447.7413600003","5780172.1059000008","2567588.1976872711","17361308.923824772","26220105.729817227","20465869.548817225","5754236.1810000017"
2000-05-01,"6938038.9870000007","36531697.775257997","5677237.7752579991","30854460","43469736.762258001","5123009.9384350004","3941105.48018","5794187.5959300008","2429908.7606175998","17288211.7751626","26181524.987095401","20587025.0510954","5594499.9360000007"
2000-06-01,"7062595.8250000002","36407756.014968999","5441156.0149689997","30966600","43470351.839969002","5045911.8689924991","3854199.3661199999","6021723.6817999994","2378953.5537233506","17300788.47063585","26169563.369333152","20776197.485333148","5393365.8840000033"
2000-07-01,"7344628.6620000005","36571432.87184","5609447.8718400011","30961985","43916061.533840001","5082241.2745500002","3962427.8701999998","6026597.7000000002","2432342.6028218996","17503609.447571896","26412452.086268105","20821562.9922681","5590889.0940000042"
2000-08-01,"7865525.892","36613850.334736004","5755323.3347360007","30858527","44479376.226736002","4992766.3521074997","3970183.2632800001","6049241.8470000001","2823003.5063177007","17835194.9687052","26644181.258030802","21039180.8800308","5605000.3780000024"
2000-09-01,"8249985.9209999992","36623122.901350997","5601134.9013510002","31021988","44873108.822350994","4739000.7315175002","4006241.2827199996","6062710.699","3125624.7993199984","17933577.512557499","26939531.309793495","21365476.9817935","5574054.3279999942"
2000-10-01,"8091809.6520000007","36773109.080190003","5865649.0801900001","30907460","44864918.732190005","5098831.0420750007","3923618.1644000001","6145444.5580000002","2988930.773808999","18156824.538284","26708094.193906005","21152250.304905999","5555843.889000006"
2000-11-01,"8221531.8049999988","36759370.599119999","5954376.5991200004","30804994","44980902.404119998","5077691.2284850003","3780459.1743200002","6189718.7640000004","3227978.4929841971","18275847.659789197","26705054.744330801","21034068.868330799","5670985.876000002"
2000-12-01,"8936860.0300000012","36374913.026947998","5974836.0269480003","30400077","45311773.056947999","4593314.9218950002","3804238.4022399997","6218685.0420000004","2682545.988057401","17298784.354192402","28012988.702755596","21607124.6457556","6405864.0569999963"
2001-01-01,"9166759.9560000002","36278344.469686002","6343253.4696859997","29935091","45445104.425686002","4900438.7424525004","3839205.2631800002","6291528.7650000006","2559052.9292457593","17590225.69987826","27854878.725807741","21835540.768807743","6019337.9569999985"
2001-02-01,"9315746.2189999986","36271355.158178002","6419441.1581779998","29851914","45587101.377177998","4694302.3891575001","3821609.6250200002","6377460.0360000003","1727045.0392157985","16620417.089393299","28966684.287784699","22686014.015784699","6280670.2719999999"
2001-03-01,"9099385.8269999996","36121457.882161997","6527810.8821619991","29593647","45220843.709161997","4608316.4418799998","3784376.7754199998","6352253.9670000002","1517629.1080772979","16262576.292377297","28958267.4167847","22775888.535784699","6182378.881000001"
2001-04-01,"9299981.5","36060489.822899997","6594745.8229","29465744","45360471.322899997","5010959.0870000003","3690759.6605000002","6363141.0290000001","1355698.8447800018","16420558.621280003","28939912.701619994","23059312.891619999","5880599.8099999949"
2001-05-01,"9781493.9699999988","36097907.280129999","6591497.2801299999","29506410","45879401.250129998","4824888.905199999","3670261.6397000002","6485986.2459999993","1373293.5297369966","16354430.320636995","29524970.929493003","23345551.436493002","6179419.4930000007"
2001-06-01,"9949925.0539999995","36020570.905868001","6617326.9058680004","29403244","45970495.959867999","5204952.6583200004","3598517.6270000003","6532773.801","1005577.1991931992","16341821.2855132","29628674.674354799","23189186.091354799","6439488.5830000006"
2001-07-01,"10112023.057999998","36176852.887344003","6811419.8873440009","29365433","46288875.945344001","5282305.8795600003","3644039.1051599998","6640507.6659999993","1181300.873545602","16748153.5242656","29540722.421078399","23313630.003078397","6227092.4180000015"
2001-08-01,"10439441.738","35920171.837328002","6760666.837328","29159505","46359613.575328","5103727.1157200001","3740669.37744","6737457.1969999997","817106.72679997142","16398960.416959971","29960653.158368029","23313249.502368029","6647403.6559999995"
2001-09-01,"10586677.9","35923585.150311999","6850939.150312","29072646","46510263.050311998","4969884.9928799998","3755124.6764000002","6989871.8119999999","829779.53937434312","16544661.020654343","29965602.029657654","23417267.847657658","6548334.1819999963"
2001-10-01,"10708292.595999999","36174683.717926003","7082620.7179260002","29092063","46882976.313926004","5025736.6861199997","3685995.2610999998","7141553.5829999996","771477.6396138994","16624763.169833899","30258213.144092105","23560476.129092101","6697737.0150000043"
2001-11-01,"11587507.302999999","36268174.101877004","7300890.1018770002","28967284","47855681.404877007","5598187.7552399999","3650366.8219099995","7159108.9290000005","953927.73591767531","17361591.242067676","30494090.162809331","23608003.353809323","6886086.8090000078"
2001-12-01,"11995961.306","36253876.638258003","7632149.6382579999","28621727","48249837.944258004","5072035.9042400001","3514367.9615600002","7051787.8300000001","1270285.2405825756","16908476.936382577","31341361.007875428","23808541.742875423","7532819.2650000043"
2002-01-01,"12700335.485000001","36190378.151401997","7724892.1514020003","28465486","48890713.636401996","5878881.0105599994","3468612.0120599996","7261421.2769999998","1276429.2348625259","17885343.534482524","31005370.101919472","23639268.953919481","7366101.1479999907"
2002-02-01,"12488655.113","36138801.839528002","7568493.8395280009","28570308","48627456.952528","5666585.9138399996","3445440.7448399998","7519433.5800000001","1084687.6924213674","17716147.931101367","30911309.021426633","23523426.705426633","7387882.3159999996"
2002-03-01,"12039724.236","36275481.115617998","7578999.1156180007","28696482","48315205.351617999","5505983.2640399998","3447266.0395400003","7541104.2439999999","1371865.9617611272","17866219.509341128","30448985.842276871","23526990.634276871","6921995.2080000006"
2002-04-01,"12155769.754999999","36292694.384672001","7510900.3846719991","28781794","48448464.139671996","5551965.39616","3365355.6940000001","7657998.7280000001","1212814.8233629074","17788134.641522907","30660329.49814909","23620864.832149092","7039464.6659999974"
2002-05-01,"12020038.547999999","36232808.079725996","7526722.0797259994","28706086","48252846.627725996","5289034.4742799997","3313955.0420300001","7875071.2539999997","1340807.9276682884","17818868.697978288","30433977.929747708","23380922.946747713","7053054.9829999954"
2002-06-01,"11038977.603","36679786.537869997","7851309.5378699992","28828477","47718764.140869997","5072197.7416000003","3386668.1521999999","7647626.6189999999","1937139.8816278293","18043632.394427828","29675131.746442169","22487499.781442173","7187631.9649999961"
2002-07-01,"7843204.8168100007","36795145.137996003","8080781.1379960002","28714364","44638349.954806","5739379.4358799998","2715868.4736000001","7692335.2020000005","3004447.2086033868","19152030.320083387","25486319.634722613","18937096.135722615","6549223.498999998"
2002-08-01,"8692896.2200031988","37064413.242423996","8421568.2424240001","28642845","45757309.462427199","5768381.704119999","2338414.6918000001","7903475.7640000004","3607202.4435043335","19617474.603424333","26139834.859002866","19410268.616002865","6729566.2430000007"
2002-09-01,"9401211.6490000002","36934688.064213999","8266159.0642140005","28668529","46335899.713213995","5374025.1533199996","2311623.1362699997","8133703.6110000005","3441496.3835593043","19260848.284149304","27075051.429064691","20275205.876064695","6799845.5529999956"
2002-10-01,"9725682.6969999988","37429028.990004003","8632361.9900039993","28796667","47154711.687004","5490897.5165200001","2388229.6756199999","8274830.767","3175534.5625408608","19329492.521680862","27825219.165323138","20948877.588323135","6876341.5770000033"
2002-11-01,"9769264.8529999983","37652277.325793996","8685544.3257940002","28966733","47421542.178793997","5093253.5777200004","2350536.0207400001","8385597.1919999998","3216516.1958203209","19045902.986280322","28375639.192513674","21181751.919513673","7193887.2730000019"
2002-12-01,"10671570.586000001","37741897.369584002","8784781.3695839997","28957116","48413467.955584005","4563916.5739200003","3425912.6001200005","8997946.5980000012","1454701.7318397947","18442477.503879797","29970990.451704208","21855681.487704206","8115308.9640000015"
2003-01-01,"10901316.571999999","37854153.118373998","9005389.1183739994","28848764","48755469.690373994","4600809.0721200006","3409405.4721299997","9228323.4550000001","1445604.1844791537","18684142.183729157","30071327.506644838","22393705.492644846","7677622.0139999911"
2003-02-01,"9689757.7100000009","38087085.641290002","9446578.6412899997","28640507","47776843.351290002","4812064.0112000005","3398118.7604999999","9175085.1549999975","1576854.9617620399","18962122.888462037","28814720.462827966","21584434.184827965","7230286.2780000009"
2003-03-01,"9652976.4240000006","38220924.695163995","9356220.6951639988","28864704","47873901.119163997","4675637.0203200001","3394535.2229000004","8803379.6899999995","2107440.5683975136","18980992.501617514","28892908.617546484","21652402.991546482","7240505.626000002"
2003-04-01,"10085471.386","38294581.340121999","9391989.3401219994","28902592","48380052.726121999","5056442.0953600006","3357182.56941","8683621.8770000003","2047403.8435660042","19144650.385336004","29235402.340785995","21817871.312785994","7417531.0280000009"
2003-05-01,"10037609.162","38779759.822037995","9519688.8220379986","29260071","48817368.984037995","4744575.9654400004","3363615.3813899998","8936133.4890000001","1891787.6079429965","18936112.443772994","29881256.540265001","22148341.658265002","7732914.8819999993"
2003-06-01,"10855720.968999999","38837870.177911997","9697916.1779120006","29139954","49693591.146911994","5268630.3031436","3352624.8832399999","8884211","1889271.9844312794","19394738.170814876","30298852.976097118","22399476.239097122","7899376.736999996"
2003-07-01,"11247301.419000002","39069500.531786002","9807738.5317860004","29261762","50316801.950786002","4958657.8902124995","3356541.1840500003","9071475.1649999991","2072899.2238906557","19459573.463153154","30857228.487632848","22534506.530632846","8322721.9570000023"
2003-08-01,"11391694.067","39386806.240617998","10021588.240618","29365218","50778500.307618","4880186.7558399998","3310485.8521811003","9324478.3550000004","2061796.7126122257","19576947.675633326","31201552.631984673","22813171.083984673","8388381.5480000004"
2003-09-01,"11966356.496000001","39275288.161533996","9905437.1615339983","29369851","51241644.657533996","5110811.0129200006","3375338.7916910998","9426449.0749999993","1693914.0903610014","19606512.9699721","31635131.687561896","23087852.265561897","8547279.4219999984"
2003-10-01,"10547001.060999999","39244334.8301569","9757852.8392168991","29486481.990940001","49791335.891156897","4830390.4440000001","3384674.5639775004","9508290.6319999993","1829195.2131296322","19552550.853107132","30238785.038049765","22135405.407049768","8103379.6309999973"
2003-11-01,"10769431.018999999","39390006.237674795","9818762.0533659998","29571244.184308793","50159437.256674796","5007856.6870799996","3387942.8105894998","9692196.7899999991","1519389.5078720562","19607385.795541555","30552051.461133242","22118996.548133239","8433054.9130000025"
2003-12-01,"12253745.901000001","39446958.914155997","9829980.9141559992","29616978","51700704.815155998","5235067.8732800009","3434689.6481502","9993567.7290000003","1205600.2401745804","19868925.490604784","31831779.324551214","22625682.201551218","9206097.1229999959"
2004-01-01,"11584558.874000002","39211063.915728159","9952568.2287176009","29258495.687010556","50795622.789728165","5088200.6673600003","3454661.9322656002","9940084.2379999999","1001988.8094837368","19484935.647109337","31310687.142618828","22432244.370428823","8878442.7721900046"
2004-02-01,"11023626.744999999","39383780.02147951","10215621.007110002","29168159.01436951","50407406.766479507","5182643.7313999999","3438478.6132970001","9911301.3910000008","1236313.6434063916","19768737.379103392","30638669.387376115","22012734.89537612","8625934.491999995"
2004-03-01,"11472803.385","39441872.883903995","10218492.883903999","29223380","50914676.268903993","5623383.2225200003","3543100.5211148001","10059002.778999999","1463056.3375043832","20688542.860139184","30226133.408764809","21563476.309764817","8662657.098999992"
2004-04-01,"10412864.249","39719358.807861999","10339009.807862001","29380349","50132223.056861997","5696318.9365599994","3560782.7646717001","9853751.6267461926","1512494.2696563974","20623347.597634289","29508875.459227707","21015609.096227713","8493266.3629999943"
2004-05-01,"11075179.897000002","39393783.12782","10092171.127819998","29301612","50468963.02482","5622316.3235999998","3584073.1454130001","9883660.4334923867","1433876.1956239976","20523926.098129384","29945036.926690616","21131094.354690615","8813942.5720000006"
2004-06-01,"10072813.139","39514532.429736003","10411954.429736","29102578","49587345.568736002","6048871.6126800012","2790560.9376960001","9789318.4869847707","1885207.7157588159","20513958.753119588","29073386.815616414","20856768.264616415","8216618.550999999"
2004-07-01,"10654625.896","39288690.053610347","10299760.102013899","28988929.951596446","49943315.949610345","5775404.663376566","2866875.5877747","9825589.7287309654","2045229.7143588006","20513099.694241032","29430216.255369313","21221396.662079312","8208819.5932900012"
2004-08-01,"11489403.455","39568349.503954418","10603809.9092736","28964539.594680816","51057752.958954416","5890058.4734662622","2892221.0705008004","10019403.727969544","2213862.6125498004","21015545.884486407","30042207.074468009","21695611.237468012","8346595.8369999975"
2004-09-01,"12525696.488","39611731.155757122","10704343.585048201","28907387.570708923","52137427.64375712","6232976.746859394","2905626.6468280004","10160678.767461928","2218582.2352139922","21517864.396363314","30619563.247393806","22248747.68139381","8370815.5659999959"
2004-10-01,"12785668.98","39627441.056358002","10850593.056358","28776848","52413110.036357999","6282505.0089490907","2895700.2784703998","10319822.875700507","1839285.414455493","21337313.57757549","31075796.458782509","22607324.42978251","8468472.0289999992"
2004-11-01,"13452383.03584649","39629549.756734312","10808077.572316","28821472.184418313","53081932.792580798","6603778.2366456566","2854066.0494168955","10574665.022446701","1723270.7008261369","21755780.009335391","31326152.783245407","22795297.310245413","8530855.4729999937"
2004-12-01,"13537982.981000001","40393549.833295256","11071133.098412","29322416.734883253","53931532.814295255","6274123.8130387887","2809171.0276939999","10441537.454939086","1659951.9944521692","21184784.290124044","32746748.524171211","23375245.844171211","9371502.6799999997"
2005-01-01,"13197785.483549999","39936692.075938404","10823916.07446","29112776.001478404","53134477.559488401","5892035.8963153539","2817122.0092799999","10438786.26951886","1849360.4124500751","20997304.58756429","32137172.971924111","23366255.489994112","8770917.4819299988"
2005-02-01,"13420349.399913479","39946423.849446781","10848619.2679618","29097804.581484981","53366773.249360263","6013884.8948113183","2814932.3785596881","10505119.951484149","1765500.5456780903","21099437.770533245","32267335.478827018","23674518.017347012","8592817.4614800066"
2005-03-01,"13535146.73222727","39863689.202728465","10580546.763872001","29283142.438856468","53398835.934955731","6144691.5873410497","2763055.8799292841","10427218.153743532","2027510.0009190659","21362475.621932931","32036360.3130228","23559323.017612807","8477037.2954099923"
2005-04-01,"14483414.886468472","40610101.553650469","10881899.844082803","29728201.709567666","55093516.440118939","6628322.3001742503","2758521.452629684","10552475.512831133","1663877.0909010596","21603196.356536124","33490320.083582815","24633225.195792809","8857094.8877900057"
2005-05-01,"14595786.688238472","40642258.668322869","10652460.061904801","29989798.606418069","55238045.35656134","6449341.3595146509","2784509.6713260841","10534651.657982735","1805809.9732650667","21574312.662088536","33663732.694472805","24757011.347282805","8906721.3471900001"
2005-06-01,"14996534.480179673","40758761.600047499","10878712.441453829","29880049.158593673","55755296.080227174","6887630.043264932","2767967.5022036843","10676889.280165531","1994447.9366370179","22326934.762271166","33428361.317956008","24537310.785026006","8891050.5329300016"
2005-07-01,"15957936.396313783","40698610.393607199","10768296.96013099","29930313.433476206","56656546.789920986","7235526.2706790166","2901282.3671464897","10666315.721055362","1919079.3524990031","22722203.711379874","33934343.078541115","24755770.682321109","9178572.396220006"
2005-08-01,"17046842.757414188","40485453.136703417","10587821.242078867","29897631.894624554","57532295.894117609","7015597.3296535518","2912150.5091638928","10760230.548239177","2169133.6899264799","22857112.076983098","34675183.817134514","24922087.891574506","9753095.9255600087"
2005-09-01,"17848770.156472094","40652697.838575333","10608428.348421467","30044269.490153868","58501467.995047428","7073733.9564133119","2962613.7437708001","11189102.654217388","2438802.3350597084","23664252.689461209","34837215.305586219","24899511.539016213","9937703.7665700056"
