"MES","FOCP01","FOCP02","FOCP03","FOCP04","FOCP05","FOCP06","FOCP07","FOCP08","FOCP09","FOCP10","FOCP11","FOCP12","FOCP13","FOCP14","FOCP15","FOCP16","FOCP17","FOCP18","FOCP19","FOCP20","FOCP21","FOCP22","FOCP23","FOCP24","FOCP25","FOCP26","FOCP27","FOCP28","FOCP29","FOCP30","FOCP31","FOCP32","FOCP33","FOCP34","FOCP35","FOCP36","FOCP37","FOCP38","FOCP39","FOCP40","FOCP41","FOCP42","FOCP43"
2000-01-01,"1230.7010969981002","1175.1858749981002","492.16092099999997","454.67637999999999","37.484541",,"230.85566499999999","265.72471099810002","59.477638999999996","33.805498999999998","93.161439999999999","55.515222000000001","1315.6069506181002","1135.4221796181002","363.99482699999999","391.11291199999999","78.086820000000003","15.986478999999996",,,"195.79706299999998","171.88800000000001","90.444078618100008","180.18477100000001","39.763695379999945","-84.905853620000016","171.88800000000001","86.982146379999989","84.905853620000613","54.531190000000002","65.097270000000009","-50.980090000000011",,,,"40.414010000000005","0","30.374663620000604","-18.38553999999964","-19.544799999999999","1.1592600000003586","-17.711415983601924","66.471619603602164"
2000-02-01,"1222.3224616643997","1198.4721806643997","486.33248299999997","445.06271999999996","41.269762999999998",,"213.12068199999999","286.71584766440003","67.405641000000003","33.389662999999999","111.507864","23.850280999999999","1335.2917825244001","1091.0531845244002","370.62453700000003","396.93655000000001","39.311300000000003","33.462753999999997",,,"207.38497199999998","158.441","43.333071524400005","244.238598","107.41899613999954","-112.96932086000038","158.441","45.471679139999623","112.96932099999947","14.999760000000013","74.417350000000013","-51.360120000000002",,,,"1.31453","-9.3719999999999999","97.969560999999459","45.22549999999984","0.32","44.90549999999984","1.793107990969764","50.950953009029845"
2000-03-01,"1576.5915778649005","1474.0592838649004","736.44022300000006","625.51249100000007","110.92773200000001",,"174.03759500000001","282.09281986490004","35.616944000000004","32.936357000000001","212.93534500000001","102.53229399999999","1457.8202498349001","1276.9523228349001","441.21029799999997","387.45003399999996","69.433350000000004","38.397211000000006",,,"229.02770999999998","166.01400000000001","111.43371983490002","180.86792700000001","197.10696103000032","118.7713280300004","166.01400000000001","284.78532803000041","-118.77132801999934","-25.163400000000003","102.26545","-127.43465",,,,"4.7348000000000008","-4.7290000000000001","-93.607928019999335","-152.56810354099963","-4.3","-148.26810354099962","63.369244449721208","-4.4090689287209166"
2000-04-01,"1232.0345143072002","1181.6882353072001","587.21972300000004","542.92487200000005","44.294851000000001",,"145.60117500000001","284.4492193072","9.8947059999999993","37.778725000000001","116.744687","50.346279000000003","1267.8062008171999","1051.6918978171998","416.118967","439.29598099999998","28.732759999999999","-38.093561999999999",,,"174.01038","164.446","31.6273718172","216.11430300000001","129.99633749000031","-35.771686509999654","164.446","128.67431349000034","35.771686466899773","12.181139999999992","68.268339999999995","-50.980090000000004",,,,"-0.35510999999999998","-4.7519999999999998","23.590546466899781","79.266997466899653","-68.445999999999998","147.71299746689965","-22.739896101106822","-32.93655489889305"
2000-05-01,"1648.3758741264","1598.7758021264001","843.25014199999998","788.89543600000002","54.354706",,"221.31247100000002","337.65418712640002","17.519033999999998","32.047531999999997","146.992436","49.600071999999997","1532.9864001264","1282.6450061263999","386.41871400000002","438.34942100000001","53.640300000000003","32.859476999999998",,,"223.85364099999998","184.256","147.5234531264","250.34139400000001","316.13079600000015","115.38947400000006","184.256","299.64547400000004","-115.38947399999952","42.264319999999998","103.62982000000001","-71.975190000000012",,,,"10.609690000000001","0","-157.65379399999952","-216.29599999999968","-7.6189999999999998","-208.67699999999968","115.13707567838277","-56.494869678382614"
2000-06-01,"1390.8171251711001","1328.8157011711","567.67172600000004","513.47733500000004","54.194391000000003",,"231.23424","321.3220001711","13.468588","32.450676999999999","162.66847000000001","62.001424","1617.8996931710999","1289.8560071710999","455.18591099999998","459.606357","50.09543","22.576668999999999",,,"219.35762200000002","175.42","83.034018171099987","328.04368599999998","38.959694000000127","-227.08256799999981","175.42","-51.662567999999823","227.08256827440016","178.73679999999999","211.21569","-35.280490000000007",,,,"7.6006","-4.7990000000000004","48.345768274400172","-192.38859999999949","-15.257999999999996","-177.1305999999995","0.96745575930597738","239.76691251509368"
2000-07-01,"1359.3825464947997","1260.2619444947998","553.68756800000006","501.37218700000005","52.315381000000002",,"208.39753999999999","327.0707838948","15.226485","45.629024000000001","110.2505436","99.120602000000005","1542.2914024948","1236.3230444947999","378.49889200000001","423.65562299999999","74.641630000000006","42.480814000000002",,,"221.24549100000002","194.04599999999999","95.800594494800009","305.96835800000002","23.938899999999876","-182.90885600000024","194.04599999999999","11.137143999999751","182.90885599999976","100.34563000000003","95.667880000000011","-28.957039999999999",,,,"38.457790000000003","-4.8230000000000004","82.56322599999973","253.9257999999997","-14.435999999999993","268.36179999999968","-34.817494002880814","-136.54507999711916"
2000-08-01,"1394.7193069345999","1363.6450629346","596.45261500000004","537.64741400000003","58.805200999999997",,"210.24437","369.57271693460001","13.658507999999999","41.133163000000003","132.58369000000002","31.074244","1632.5240249645999","1317.4571449645998","387.23832700000003","503.94426099999998","39.398519999999998","44.417243000000006",,,"224.779574","175.929","117.67921996459999","315.06688000000003","46.187917970000171","-237.80471803","175.929","-61.875718030000002","237.80471799999938","137.94560000000001","201.17293000000001","-58.013759999999998",,,,"-0.36757000000000001","-4.8460000000000001","99.85911799999937","36.773609999999508","-23.144000000000005","59.917609999999513","71.51161107419361","-8.4261030741937546"
2000-09-01,"1576.9349771821003","1432.2694861821003","495.30912300000006","448.98782800000004","46.321294999999999",,"251.98865899999998","369.83013318210004","13.018581000000001","32.623500999999997","269.49948899999998","144.665491","1732.6655317221","1419.7501407221","390.857529","548.29576999999995","65.770110000000003","81.59066",,,"250.60844599999999","177.077","82.627625722099992","312.915391","12.519345460000295","-155.73055453999973","177.077","21.346445460000268","155.73055480399964","-21.792540000000002","81.619230000000016","-108.04066000000002",,,,"4.6288900000000002","0","177.52309480399964","90.101266645899102","22.343999999999994","67.757266645899108","-66.020735986826153","153.44256414492671"
2000-10-01,"1598.9772909973001","1456.3176169973001","546.01705700000002","503.14774299999999","42.869314000000003",,"259.87409200000002","407.5567349973","15.599603000000002","41.490653000000002","185.77947699999999","142.659674","1539.2800223673","1258.9648333673001","384.70211399999999","550.776523","34.582729999999998","-19.274785999999999",,,"212.26712000000001","175.018","95.911132367299984","280.31518899999998","197.35278362999998","59.697268630000053","175.018","234.71526863000005","-59.697268629998575","15.132670000000001","75.077730000000003","-59.589950000000002",,,,"-0.35510999999999998","0","-74.82993862999858","-209.07889999999867","-57.088999999999999","-151.98989999999867","48.920288000159424","85.328673369840672"
