"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
1999-07-01,"386","4924.3","5310.3","92","298","398","16875","43","6054","5886","23","637","35616.300000000003"
1999-08-01,"497","4608","5105","183","127","332","12727","16","6410.6","5611",,"1075","31586.6"
1999-09-01,"389","5337.2","5726.2","107","263","474","14603","50","5929","8703","96","1077","37028.199999999997"
1999-10-01,"509.7","5913","6422.7","104","620","432","13057.3","32","5950.8","7517","2","822","34959.800000000003"
1999-11-01,"429","6705","7134","209.3","52.3","368","16608.2","39","4851.8","7966","34.700000000000003","741","38004.300000000003"
1999-12-01,"980","5862","6842","54.3","212","303","13892","64","6836.8","10189","33.700000000000003","1605","40031.799999999996"
2000-01-01,"504","7437","7941","160","134","420","12399.7","42.874000000000002","5581.7","7059","4.7439999999999998","512.08499999999992","34255.103000000003"
2000-02-01,"379","5371.8","5750.8","162","244","226","11185.7","53.838000000000001","4731.7","7726","109.52","516.20600000000002","30705.763999999999"
2000-03-01,"473","5471.7","5944.7","215","48","298","17236","34.533000000000001","9327.9","9228","181.45","619.84","43133.422999999995"
2000-04-01,"822.4","4328.7","5151.0999999999995","56.3","98.9","214.5","13844.5","43.052","4138.8","6481.3","14.005000000000001","751.673","30794.129999999997"
2000-05-01,"976.2","6411.8","7388","112.3","80.3","364","14202.5","32.271999999999998","7035.7","5634.2","40.92","871.44100000000003","35761.632999999994"
2000-06-01,"1086","5632.2","6718.2","286.3","337.20000000000005","625.20000000000005","12957.1","20.385999999999999","7506","8993.6","3.3660000000000001","638.59799999999996","38085.949999999997"
