"MES","BCTP01","BCTP02","BCTP03","BCTP04","BCTP05","BCTP06","BCTP07","BCTP08","BCTP09","BCTP10","BCTP11","BCTP12","BCTP13","BCTP14","BCTP15","BCTP16","BCTP17","BCTP18","BCTP19","BCTP20","BCTP21","BCTP22","BCTP23"
2000-11-01,"1383343","30622","1352488","233",,"1115679","664","1115015","0","0","6754.7160000000003","0","5628.848","1125.7550000000001","145338","5558","32739","107041","3319","3211","108","201769","235177"
2000-12-01,"1441305","33995","1407021","289",,"1134973","606","1134367","0",,"6314.9180000000006","0","5569.6890000000003","745.11599999999999","144938","5519","32961","106458","14455","14336","119","210147","231215"
2001-01-01,"1462278","32737","1429280","261",,"1169642","475","1169167","0",,"6326.2560000000003","0","5564.607","761.53599999999994","148694","9585","28407","110702","14253","14122","131","204686","237217"
2001-02-01,"1463155","31196","1431689","270",,"1191421","460","1190961","0",,"6925.6190000000006","0","6199.4750000000004","726.03099999999995","144442","9589","24083","110770","15759","15638","121","207713","243884"
2001-03-01,"1489007","30534","1458206","267",,"1226041","463","1225578","0",,"6610.478000000001","0","5869.5820000000003","740.78300000000002","138553","9507","19437","109609","13948","13822","126","213268","247747"
2001-04-01,"1502422","29023","1473155","244",,"1250693","465","1250228","0",,"7303.9210000000003","0","6468.7489999999998","835.05899999999997","139253","9526","19874","109853","16491","16353","138","217699","252187"
2001-05-01,"1541160","30273","1510635","252",,"1273409","455","1272954","0",,"7498.1930000000002","0","6647.9480000000003","850.13199999999995","139740","9573","19871","110296","13071","12926","145","219185","255734"
2001-06-01,"1565903","31348","1534317","238",,"1288736","381","1288355","0",,"6730.268","0","5867.9309999999996","862.22400000000005","140467","9472","21418","109577","12968","12838","130","223225","259303"
2001-07-01,"1593003","29504","1563270","229",,"1307426","378","1307048","0",,"6728.389000000001","0","5849.6220000000003","878.654","144167","9532","24341","110294","11877","11745","132","229159","262277"
2001-08-01,"1641772","34507","1607043","222",,"1307718","379","1307339","0",,"5794.8780000000006","0","4900.22","894.65800000000002","146293","9562","25872","110859","11102","10947","155","236516","259551"
