"MES","BCTP01","BCTP02","BCTP03","BCTP04","BCTP05","BCTP06","BCTP07","BCTP08","BCTP09","BCTP10","BCTP11","BCTP12","BCTP13","BCTP14","BCTP15","BCTP16","BCTP17","BCTP18","BCTP19","BCTP20","BCTP21","BCTP22","BCTP23"
2007-11-01,"1728787.29648","566187.3740800001","1048356.91152","29.906779999999998","114213.1041","1488610.1732200002","183895.53523000001","1291551.7143500003","16.07038","13146.85326","10681.027129999999","60.74633","10450.864509999999","169.41629","152178.69983","7714.8455999999996","33706.602249999996","110757.25198","7134.5842200000006","3680.5556500000002","3454.0285699999999","501291.28070999996","495316.26971000008"
2007-12-01,"1754590.4453","593720.29654999997","1009294.82582","24.243299999999998","151551.07962999999","1434244.5559399999","191615.95352999997","1224377.5596899998","15.94401","18235.098710000002","10413.860449999998","77.177229999999994","10168.59917","168.08404999999999","149195.49155999999","9851.8629499999988","39275.078540000002","100068.55007","23746.497169999999","18624.174299999999","5122.32287","497147.21637999988","475282.78133999999"
2008-01-01,"1727006.50572","586535.80532000004","952054.09658000001","0","188416.60381999999","1247847.90652","184466.90296000001","1038095.7606700001","15.85976","25269.383129999998","2912.8937700000001","165.06492","2580.6329500000002","167.19589999999999","114465.45994","4182.3878999999997","33382.119469999998","76900.952569999994","19319.023999999998","16755.383529999999","2563.6404699999998","379598.27377000003","562207.10562000005"
2008-02-01,"1745312.5685800002","601138.28075000015","919356.04056999995","0","224818.24726","1227249.2255300002","195447.25894999999","1000944.62358","0","30857.343000000001","2941.1563200000001","104.56216000000001","2670.2864199999999","166.30774","121121.76205","3505.9940999999999","41163.810160000001","76451.95779","18483.47969","16362.785980000001","2120.69371","380971.16231999989","567063.99575000012"
2008-03-01,"1753202.88925","599484.87881999998","891918.38887999998","0","261799.62155000001","1195889.4608299998","199344.12797999996","961257.45241999999","0","35287.880429999997","2916.7827000000002","99.302549999999997","2653.1707700000002","164.30938","119372.33158999999","0","44122.457579999995","75249.87401","19239.655159999995","17356.240789999996","1883.4143700000002","399224.23796000017","557395.20624999993"
2008-04-01,"1747925.0673100001","609016.87725999998","830951.51082999993","0","307956.67921999999","1159638.5809399998","205822.67068999997","912269.3065699999","0","41546.60368","2596.0541300000004","98.939030000000002","2335.0261100000002","162.08899","116097.08910000001","0","41950.312280000006","74146.776819999999","10510.547349999997","10248.060229999997","262.48712","436182.53156000003","513692.79871"
2008-05-01,"1730870.3653599999","613994.59118999995","770584.27179000003","0","346291.50238000002","1131649.3560899999","215725.93432","869509.34076999989","0","46414.080999999998","3373.5260799999996","98.965210000000013","3114.4702499999999","160.09062","116711.14085","0","43650.868240000003","73060.27261","10126.640179999999","9857.5950499999981","269.04513000000003","433982.71069000004","520205.60920000006"
2008-06-01,"1740150.8368899999","627860.07651000004","727806.64474000002","0","384484.11563999997","1107942.63249","220734.15780999998","833170.61418000003","0","54037.860500000003","2437.7351200000003","208.66354999999999","2070.9793","158.09226999999998","112708.54074","0","40885.604960000004","71822.93578","10130.091710000001","9985.1083100000014","144.98339999999999","477705.71327999991","477155.06292"
2008-07-01,"1754040.2490900003","638864.26608000009","696415.22076000005","0","418760.76225000009","1079006.1801100001","225597.32805000001","796342.10440000007","0","57066.747659999994","2282.3292000000001","139.17903000000001","1986.83422","156.31595000000002","108271.26931999999","0","37310.108619999999","70961.160699999993","9951.4470199999978","9782.0000499999969","169.44697000000002","471789.32836999994","483262.05190999998"
2008-08-01,"1738444.71631","632253.79859000002","671377.92053999996","0","434812.99718000001","1054759.07993","222947.79084","771011.97525999998","0","60799.313830000006","2716.9690999999998","137.95687000000001","2423.3624","155.64982999999998","102276.18359000002","13.395","31663.983720000004","70598.804870000007","9749.5086200000005","9573.9902500000007","175.51837","474635.77647999994","491809.64151999995"
2008-09-01,"1747100.0102200001","624096.45666999999","678459.50956999988","0","444544.04398000002","1043278.35066","221932.11365000004","757836.6637899999","0","63509.573219999998","2617.1267900000003","137.95454999999998","2323.9664900000002","155.20574999999999","99605.716640000013","0","29450.757309999997","70154.959330000012","10315.029499999999","10173.94767","141.08183000000002","375559.08799999993","593786.50451999996"
2008-10-01,"1741590.3508899999","604131.12191999995","692448.89816999994","0","445010.3308","1023279.4080000001","214148.66626","746303.79404000007","0","62826.94769999999","2890.32782","141.97114999999999","2593.5949900000001","154.76167999999998","99628.352169999998","0","29735.435140000001","69892.917029999997","9900.4571799999994","9757.9712199999994","142.48596000000001","371863.81085000013","599621.65584999998"
2008-11-01,"1748882.2031199997","590763.34612999996","717224.51124000002","0","440894.34574999998","1015289.1762799999","206224.29290999999","746798.59418999997","0","62266.28918","1918.9471600000004","164.03853000000001","1600.1469500000003","154.76167999999998","94063.867599999998","0","24170.950570000001","69892.917029999997","10246.522710000001","10117.730460000001","128.79225","377656.73432000005","604683.32137999998"
2008-12-01,"1805439.99389","601328.09035000007","752694.78201999993","0","451417.12152000004","1013127.7043499999","199219.78646","753704.59393999993","0","60203.323950000005","1971.1145100000001","276.93131","1539.4215200000001","154.76167999999998","95789.223169999997","0","30026.394809999998","65762.82836","7717.8396499999999","7472.2449299999998","245.59472","376474.50175000005","615082.42950000009"
2009-01-01,"1816859.1254100001","591257.84184999997","777085.62172000005","0","448515.66183999996","1029934.52978","192595.05703","775035.69785","0","62303.774900000004","1996.86149","338.64348999999999","1503.45632","154.76167999999998","93579.127630000003","0","27862.381699999998","65716.745930000005","7181.846849999999","7002.4309199999989","179.41592999999997","374500.50208999997","624502.61170999997"
2009-02-01,"1815702.3484100001","577517.56810000015","788845.64719000005","0","449339.13311999995","1036392.9299699998","186738.95606999996","786280.88158999989","0","63373.092309999993","1930.8204500000002","364.09666000000004","1411.9621099999999","154.76167999999998","90726.617939999996","0","25009.872009999999","65716.745930000005","7070.7862700000005","6884.2726700000003","186.5136","375207.49293000001","630105.7577800001"
2009-03-01,"1832221.1418399999","565265.86807000008","813280.33714999992","0","453674.93661999999","1047732.9921899998","185344.08237000002","798390.23856999981","0","63998.671249999992","2036.0374200000001","390.06124999999997","1491.2144900000001","154.76167999999998","89871.758930000011","0","24155.012999999999","65716.745930000005","7924.7102400000003","7747.5990700000002","177.11116999999999","379540.18704000005","637844.03484999994"
2009-04-01,"1827459.3810899998","558769.5737999999","823476.53981999995","0","445213.26746999996","1061266.35635","185419.06178000002","812329.03586000006","0","63518.258709999995","2348.6805000000004","687.91064000000006","1506.0081800000003","154.76167999999998","90332.77423000001","0","24616.028299999998","65716.745930000005","23089.499629999998","22928.73129","160.76833999999999","383844.50450999994","643687.35020999995"
2009-05-01,"1855379.1575600002","568029.13078000001","844226.77584999998","0","443123.25093000004","1082718.40527","185424.22062000001","836197.67733999994","0","61096.507310000001","2345.5347200000001","713.30875000000003","1477.4642900000001","154.76167999999998","102351.72559","400","36283.483890000003","65668.241699999999","2880.3849699999996","2708.0675199999996","172.31745000000001","384717.92612999992","645821.48794999998"
2009-06-01,"1888227.9201199999","585556.76237999997","870937.61088000005","0","431733.54686","1100677.7432600001","192950.91756999996","851359.47223000019","0","56367.353459999991","2419.0680600000001","718.81105999999988","1545.49532","154.76167999999998","104972.46759","0","39339.919959999999","65632.547630000001","2788.41615","2366.3237400000003","422.09240999999997","387240.72785999998","648827.02704000007"
2009-07-01,"1866157.9736999997","683899.34072999994","896553.07593999989","0","285705.55703000003","1131357.7935200001","212329.26221000002","868764.42810999998","0","50264.103199999998","2398.0767700000001","848.03783999999996","1395.2772500000001","154.76167999999998","106541.36855","0","40908.820919999998","65632.547630000001","2954.9904499999998","2307.1121499999999","647.87829999999997","392691.0136699999","652457.97103000002"
2009-08-01,"1877021.2289400001","726997.21522000001","911776.37737999996","0","238247.63634","1157438.99275","224698.52395999999","890490.22033000004","0","42250.248460000003","2933.0822499999999","958.68679000000009","1819.6337799999999","154.76167999999998","111507.6827","0","46089.890310000003","65417.792390000002","2854.7820100000004","2132.2387200000003","722.54328999999996","398111.46546000015","657114.97514"
2009-09-01,"1915999.9283700001","764291.88654000009","941262.37789999996","0","210445.66393000001","1161063.30275","231064.37497","896600.87494000001","0","33398.052839999997","2106.4972299999999","754.26982999999996","1197.4657199999999","154.76167999999998","113683.98441","0","48266.192020000002","65417.792390000002","3677.0675900000001","2785.67974","891.38785000000007","400143.22623999999","660872.12592000002"
2009-10-01,"1943127.1668699998","790379.86408999993","964112.31513999996","0","188634.98763999998","1153838.7519299998","234477.24763","889783.5215899999","0","29577.982709999997","2131.3263400000001","804.76303000000007","1171.8016299999999","154.76167999999998","119618.38062000001","0","54279.474480000004","65338.906139999999","3025.2263499999999","2235.6509999999998","789.57534999999996","401720.01914000011","663623.26532999997"
2009-11-01,"1963953.0637500002","811377.14439000015","975598.25538999995","0","176977.66396999999","1134907.0807699999","231126.98204999999","876538.46697999991","0","27241.631739999997","2612.8264800000002","714.07636000000002","1743.9884399999999","154.76167999999998","126174.27459999999","0","61010.891039999995","65163.383559999995","3300.8094700000001","2519.5939400000002","781.21553000000006","404855.75268999994","667966.65420999995"
2009-12-01,"2023208.01908","859883.99205999996","998644.18020000006","0","164679.84682000001","1108188.1359999999","227698.9093","856578.7805600001","0","23910.446139999996","2648.1038900000003","758.87954000000002","1889.2243500000002","0","74597.158829999986","0","65846.203509999992","8750.9553199999991","15797.55415","15369.93959","427.61455999999998","397219.29645999987","667227.24300999998"
2010-01-01,"2046214.9029699999","872673.28036999993","1022951.62471","0","150589.99789000003","1081042.42719","227421.75196999998","837899.85698000004","0","15720.818240000001","1972.13175","28.851980000000001","1943.2797700000001","0","79346.141050000006","0","70641.85315000001","8704.2878999999994","15265.836499999999","14857.752349999999","408.08415000000002","402920.39156999998","675229.45600000001"
2010-02-01,"2074777.4090300002","884701.16783000005","1049306.9518200001","0","140769.28938","1061503.4958800001","226336.58495000005","821409.42718","0","13757.483749999999","2704.0460900000003","43.780269999999994","2660.2658200000001","0","83238.663450000007","0","74534.375550000012","8704.2878999999994","15894.603290000003","15502.800510000003","391.80277999999998","403380.48490999994","679778.30950999993"
2010-03-01,"2079210.0259","893822.26486999996","1058958.8454","0","126428.91563","1024301.7834100001","224278.62279999998","788545.00202000013","0","11478.158589999999","4223.6920700000001","107.85911999999999","4115.83295","0","87682.623089999994","0","78978.335189999998","8704.2878999999994","15986.24057","14944.39344","1041.8471299999999","408431.89686000004","681747.19793999987"
2010-04-01,"2081370.1063999999","897792.53865000012","1065766.9984800001","0","117810.56926999998","1005821.2662500001","222356.50873000003","773619.57900000014","0","9845.1785199999995","4938.7378499999995","86.986579999999989","4851.7512699999997","0","93034.779699999999","0","84391.202730000005","8643.5769700000001","9842.4270899999992","8870.9959399999989","971.43115","412383.23171999987","687087.17576000013"
2010-05-01,"2079965.9900100001","902193.14763999998","1064170.6675100001","0","113602.17486","999432.4392599999","220797.54279000004","769162.23651999992","0","9472.6599500000011","4275.5561799999996","103.25787","4172.2983099999992","0","98698.304300000018","0","90120.106980000011","8578.1973199999993","2600.13573","1941.50785","658.62788000000012","410354.56426000001","692226.98937000008"
2010-06-01,"2090243.6410899998","904641.50985999999","1074541.74966","0","111060.38157000001","990258.40123000008","220801.94765000005","760508.27804999996","0","8948.1755299999986","4738.0723500000004","143.91269","4594.1596600000003","0","90168.996140000003","0","81590.798819999996","8578.1973199999993","2932.8832200000002","2588.1267400000002","344.75647999999995","413522.40992999997","695851.3365199999"
2010-07-01,"2104870.4829600002","915268.58943999989","1081984.2201800002","0","107617.67333999999","988507.52879999985","221244.35968999995","758728.27133999986","0","8534.8977699999996","5100.4814299999998","215.60307999999998","4884.87835","0","77548.281709999996","0","69013.537669999991","8534.7440399999996","2816.20514","2475.0475700000002","341.15756999999996","405861.62747999997","702102.25590999995"
2010-08-01,"2106884.2052199999","913012.59085000004","1089478.99547","0","104392.61889999999","972351.36348000006","217356.36649000001","746740.40503000002","0","8254.5919599999997","4210.1856299999999","439.96075999999999","3770.22487","0","59411.601089999989","0","50876.857049999991","8534.7440399999996","2699.2033499999998","2365.6122099999998","333.59114","407163.11499999999","707825.11353999982"
2010-09-01,"2117970.3717999998","923301.17812000006","1092737.4038699998","0","101931.78980999999","974576.00498999993","219604.76428999999","747218.52922999999","0","7752.7114700000002","3884.8477199999998","656.56362000000001","3228.2840999999999","0","59679.996919999998","0","51145.25288","8534.7440399999996","2923.0277799999994","2620.8182199999997","302.20956000000001","413739.30712000001","709835.95554999984"
2010-10-01,"2117827.90026","925968.64561999997","1091781.5010299999","0","100077.75360999999","964460.73485999997","218463.12092000002","738498.24150999996","0","7499.3724299999994","3610.1773100000005","623.88415999999995","2986.2931500000004","0","60210.599689999995","0","51675.855649999998","8534.7440399999996","2475.7971199999997","2158.6789199999998","317.1182","408965.56740999996","714079.36230999988"
2010-11-01,"2112259.16285","969701.4895599999","1042815.6068600002","0","99742.066429999992","955711.60040999996","225122.70601000002","723246.72169999988","0","7342.1727000000001","3045.3654699999997","235.26881","2810.0966599999997","0","63499.610959999998","0","55687.9571","7811.6538600000003","2587.0758700000001","2278.7307900000001","308.34508000000005","410742.27915999992","716906.82605999999"
2010-12-01,"2019350.91151","1023198.84763","896562.51568000007","0","99589.548200000005","921084.49089999998","231439.65540000002","682773.19779999997","0","6871.6377000000002","2780.0804099999996","60.713860000000004","2719.3665499999997","0","122790.11331","69826","48644.906730000002","4319.20658","6936.8221000000003","6608.6516500000007","328.17044999999996","412675.60474000004","719589.04036999994"
2011-01-01,"2005353.9301099998","1035302.30482","868228.19098999992","0","101823.43429999999","902017.59081999992","230926.37953000001","664484.68558999989","0","6606.5257000000001","2533.0180600000003","110.02920999999999","2422.9888500000002","0","52723.512869999999","0","48404.30629","4319.20658","5021.6846599999999","4745.7958600000002","275.88880000000006","413397.62910000002","724934.75925999996"
2011-02-01,"2022637.1598499997","1050006.3893199998","869130.24238000007","0","103500.52815","887198.16790999996","228709.14634000001","651876.61234999995","0","6612.4092199999996","2181.7395499999998","43.608400000000003","2138.1311499999997","0","51054.005469999996","0","46747.246179999995","4306.75929","6266.4704600000005","5959.1688100000001","307.30165","411433.47486999998","728468.14747000008"
2011-03-01,"2040633.5273599999","1081534.1417400001","868525.9789499999","0","90573.406669999997","878541.37647000002","231355.17939","640533.24829000002","0","6652.9487900000004","1537.49846","38.147359999999999","1499.3511000000001","0","51795.295859999998","0","47500.983840000001","4294.3120200000003","8636.1266399999986","8358.9538899999989","277.17275000000001","413345.60944000003","731001.69065999985"
2011-04-01,"2044448.7055699998","1098805.5166800001","864174.39896999986","0","81468.789919999996","874037.28811000008","232060.59341","635734.94647000008","0","6241.7482300000001","1035.2266500000001","114.97812999999999","920.24851999999998","0","53889.955899999994","0","49601.867529999996","4288.0883700000004","28532.456329999997","28272.822209999998","259.63412","402652.98939999996","734626.83959000011"
2011-05-01,"2067180.3303099996","1119879.4676799998","868515.93491999991","0","78784.927710000004","868423.40130000003","234755.73671999996","627692.72295000008","0","5974.9416300000003","971.08492000000001","38.7789","932.30601999999999","0","54307.749560000004","0","50019.661190000006","4288.0883700000004","3572.1797000000001","3324.5604600000001","247.61923999999999","404404.1139","738178.24196000001"
2011-06-01,"2082611.6714999997","1135245.0295199999","868072.82517999993","0","79293.816800000001","859720.97268000001","235656.31521","618084.00229999993","0","5980.65517","1016.23007","103.86185","912.36821999999995","0","54832.711040000002","0","50550.846300000005","4281.86474","2837.8879000000002","2596.4117200000001","241.47618","399059.31926999998","742220.36182000011"
2011-07-01,"2077011.3785299999","1214132.4407599999","862878.93777000008","0","0","854380.23472000007","240027.59792999999","609965.52477999998","0","4387.1120099999998","1116.8109299999999","119.27345999999999","997.53746999999998","0","54216.262759999998","0","49940.621659999997","4275.6410999999998","21036.4015","20790.75677","245.64472999999998","398971.31107999996","745251.03993000009"
2011-08-01,"2077023.9295299998","1240268.2411399998","836755.68839000002","0","0","853057.15983000002","247137.12469000003","603646.00432000007","0","2274.0308199999999","865.08377000000007","47.249900000000004","817.83387000000005","0","53940.709519999997","0","49665.068419999996","4275.6410999999998","3497.8684899999998","3273.4144999999999","224.45398999999998","402789.24449000007","750726.50652000005"
2011-09-01,"2073689.7743500003","1243658.0791600002","830031.69519000011","0","0","854197.4675700001","250432.25274","601481.98656000011","0","2283.2282700000001","1264.68047","56.439","1208.2414699999999","0","64974.512170000009","0","60698.871070000008","4275.6410999999998","3165.3389799999995","2898.8731699999994","266.46580999999998","403833.41629000002","754790.14419999998"
2011-10-01,"2063371.74957","1229331.4453999999","834040.30417000013","0","0","849990.59521000017","255106.71513","594015.0597000001","0","868.82038","820.00060000000008","50.256740000000001","769.74386000000004","0","68302.354319999999","0","64026.713219999998","4275.6410999999998","4073.2750700000001","3832.0772200000001","241.19784999999996","401120.17901000002","758775.04665999999"
2011-11-01,"2054685.01938","1225823.4750699999","828861.54430999991","0","0","844713.99584999995","256550.24786999999","587739.42163999996","0","424.32634000000002","832.78370999999993","51.647660000000002","781.13604999999995","0","66044.736279999997","0","62118.31882","3926.4174600000001","3150.68815","2824.9058299999997","325.78232000000003","413131.73622000002","765331.14208999998"
2011-12-01,"2084628.71059","1250523.4211500001","834105.28943999996","0","0","846968.21043999994","258391.03995999999","588435.35557000001","0","141.81491","929.26511999999991","10.339930000000001","918.92518999999993","0","68285.677980000008","0","67789.260520000011","496.41746000000001","7829.7102199999999","7580.0510199999999","249.6592","403509.21920000005","774288.50920000009"
2012-01-01,"2104488.20108","1262590.0230700001","841898.17801000003","0","0","868807.09788000013","272911.00899","595753.43087000016","0","142.65801999999999","875.93989999999997","11.542110000000001","864.39778999999999","0","77097.132589999994","0","76600.715129999997","496.41746000000001","9993.863080000001","9742.7981500000005","251.06493","398908.41264","779860.44230999995"
2012-02-01,"2108011.0833599996","1261571.7284099997","846439.35495000007","0","0","880992.81828000001","279323.75732999999","601525.69102999999","0","143.36992000000001","795.36212","10.35332","785.00879999999995","0","72221.971369999999","0","71725.553910000002","496.41746000000001","7076.400740000001","6890.8085100000008","185.59222999999997","399634.46118999994","785413.87569000002"
2012-03-01,"2114558.6372799999","1269582.5884399998","844976.04884000006","0","0","893042.23699","291449.71557","601488.28561000002","0","104.23581","897.87400999999988","11.773700000000002","886.10030999999992","0","66919.18045","0","66422.762990000003","496.41746000000001","9529.3318799999997","9298.1144299999996","231.21744999999999","399572.48858999996","789955.13767999993"
2012-04-01,"2110870.6813700004","1269233.4552500001","841637.22612000001","0","0","901012.71834000002","306131.89375999995","594776.22985999996","0","104.59472","954.72668999999996","74.441270000000003","880.28541999999993","0","67354.037459999992","0","66857.62","496.41746000000001","1610.7549400000003","1523.9369400000003","86.817999999999998","397235.38163000008","795866.83493000001"
2012-05-01,"2107300.3853500001","1269165.00773","838135.37762000004","0","0","920715.82460000005","319046.16570000001","601564.71186000004","0","104.94703999999999","899.04112999999995","19.820790000000002","879.22033999999996","0","69386.813519999996","0","68890.396059999999","496.41746000000001","2656.4682700000003","2547.8345900000004","108.63368","401411.74193999998","798629.50173999998"
2012-06-01,"2107912.60139","1275041.01223","832871.58915999997","0","0","918981.59163000016","326175.23330000002","592760.88447000005","0","45.473860000000002","835.2180699999999","11.440389999999999","823.77767999999992","0","68983.28061999999","0","68486.863159999994","496.41746000000001","1870.1174499999997","1722.5983999999999","147.51904999999999","399719.56583000009","802923.98973999999"
2012-07-01,"2101093.75875","1273610.4656800001","827483.2930699999","0","0","923766.88323000015","338137.30155999999","585583.93968000007","0","45.64199","946.30567999999994","53.590759999999996","892.71491999999989","0","72767.17919000001","0","72424.17919000001","343","4862.3651600000003","4620.76721","241.59794999999997","395971.94083999994","806488.12272999994"
2012-08-01,"2083394.1570199998","1269313.83635","814080.32066999993","0","0","920108.46568999998","346364.31875999999","573698.34146000003","0","45.80547","878.09897000000001","42.855419999999995","835.24355000000003","0","87130.099459999998","0","86787.099459999998","343","2892.9067999999997","2796.1524099999997","96.754390000000001","397797.70538999984","812057.59586"
2012-09-01,"2095935.7912300001","1283050.1404300001","812885.65080000006","0","0","922558.10407000012","358578.46507000003","563933.67081000004","0","45.96819","1087.16399","259.50251000000003","827.66147999999998","0","88600.688430000009","0","88257.688430000009","343","4055.4047599999994","3978.9636199999995","76.441140000000004","399307.17758999986","816006.73383000004"
2012-10-01,"2083599.1736200002","1273496.1466700002","810103.02695000009","0","0","931605.77729000011","374882.45565999998","556694.1283000001","0","29.193330000000003","679.38454000000002","35.878059999999998","643.50648000000001","0","106742.18160000001","0","106399.18160000001","343","3741.9905799999992","3532.3559099999993","209.63467","399644.34043999988","819700.71209000004"
2012-11-01,"2068336.4748099996","1269726.9676799998","798609.50712999993","0","0","931160.41265000007","382271.66600000003","548859.44871000003","0","29.297939999999997","912.33209999999997","37.609099999999998","874.72299999999996","0","108174.99773999999","0","108174.99773999999","0","3925.0221799999999","3723.5883100000001","201.43386999999998","405299.57300999993","822821.53416000004"
2012-12-01,"2092665.2269899999","1292865.3912599999","799799.83572999993","0","0","934159.29053000011","391901.99565999996","542227.89217000012","0","29.402699999999999","919.74829","99.08738000000001","820.66090999999994","0","109522.85691","0","109522.85691","0","10942.507619999998","10616.395159999998","326.11246","407286.40724999993","818909.72470000002"
2013-01-01,"2127377.80131","1324991.9175","802385.88381000003","0","0","947871.30981999997","409735.05909999995","538106.73819000006","0","29.512529999999998","840.42603999999994","19.765130000000003","820.66090999999994","0","110972.59951","0","110972.59951","0","10051.832480000001","9891.3486900000007","160.48379","406943.06389999995","823670.1503000001"
2013-02-01,"2117027.5055900002","1320646.97643","796380.52916000003","0","0","951832.23469999991","426216.83208999992","525585.77437","0","29.628240000000002","872.00298999999995","27.479970000000002","844.52301999999997","0","110837.5203","0","110837.5203","0","8181.6227799999997","8027.9785599999996","153.64422000000002","420474.24676999997","828539.41376999998"
2013-03-01,"2110435.2147799996","1312768.9073899998","797666.30738999986","0","0","957638.17408000003","439148.8996","518459.52628000005","0","29.748200000000001","624.83548999999994","16.670490000000001","608.16499999999996","0","111234.32677","0","111234.32677","0","14266.429709999999","14095.377929999999","171.05178000000001","422443.03395999997","833396.74536000006"
2013-04-01,"2100749.6192099997","1304059.4165399997","796690.20266999991","0","0","958520.9617300001","452811.70611000003","505679.38485000003","0","29.87077","893.16093999999998","68.013589999999994","825.14734999999996","0","105200.66129999999","0","105200.66129999999","0","31366.997369999997","31196.162429999997","170.83494000000002","403409.66039000003","838258.54275000002"
2013-05-01,"2121870.6879099999","1323061.8815299999","798808.80637999997","0","0","961061.48233000003","463879.80754999997","497151.68242000003","0","29.992360000000001","957.32045999999991","129.11354999999998","828.20690999999988","0","119163.27084","0","119163.27084","0","7118.9091900000012","6951.6187400000008","167.29045000000002","419339.27737999998","842489.47401000001"
2013-06-01,"2129011.6451000003","1331841.9747800003","797169.67031999992","0","0","959082.07784000004","470909.0846","488142.88157999999","0","30.111660000000001","1631.1637700000001","85.394499999999994","1545.76927","0","116555.10345","0","116555.10345","0","7893.3821999999991","7745.3680999999988","148.01409999999998","417170.25195999997","835971.55878000008"
2013-07-01,"2121167.8882299997","1331653.71431","789514.17391999997","0","0","958178.90554000007","477183.3222","480965.35515000002","0","30.228189999999998","1767.3903700000001","122.00456","1645.38581","0","117582.08391","0","117582.08391","0","5726.4315100000003","5559.47948","166.95203000000001","425977.35142000002","840158.45254000009"
2013-08-01,"2132701.9217400001","1342966.16573","789735.75601000013","0","0","957843.69508000009","490105.46212000004","467707.88137000002","0","30.351590000000002","1758.7839899999997","138.95716999999999","1619.8268199999998","0","119640.90919000001","0","119640.90919000001","0","5266.6055600000009","5112.0616000000009","154.54396","428912.25852000003","845003.31790000014"
2013-09-01,"2146142.52134","1354287.3404399997","791855.18090000015","0","0","953824.05293000012","497221.70403000002","456571.85515000002","0","30.493749999999999","2288.4555499999997","585.03969000000006","1703.4158599999998","0","119715.18987","0","119715.18987","0","4460.4086399999997","4296.8227299999999","163.58591000000001","427501.17602999997","849183.52965000004"
2013-10-01,"2156693.4690699996","1370347.2471799997","786346.22188999993","0","0","957709.04944000009","505764.83639000001","451913.55018000008","0","30.662869999999998","2667.46407","783.78476999999998","1883.6793","0","103252.56542","0","103252.56542","0","4293.0690200000008","4140.0146700000005","153.05435","426837.49978000007","854340.74919000012"
2013-11-01,"2153122.1905100001","1369753.0690600001","783369.12144999998","0","0","953089.2006000001","509643.20416999998","443415.15057000006","0","30.845860000000002","2416.3737799999999","737.45855000000006","1678.9152300000001","0","93283.841369999995","0","93283.841369999995","0","4142.3842199999999","3998.83023","143.55399","441767.38648000004","858515.8833000001"
2013-12-01,"2206116.2637700001","1419750.0096200001","786366.25414999994","0","0","947064.68595000007","507538.92624","439494.73674000002","0","31.022970000000001","1346.14627","122.48602","1223.6602499999999","0","96139.410979999986","0","96139.410979999986","0","6466.32852","6254.8910100000003","211.43751000000003","436488.10333000001","855523.75809000013"
2014-01-01,"2236367.2031999999","1446135.3824099998","790231.82078999991","0","0","948422.69382999989","515389.95984999998","433001.54563999997","0","31.18834","1364.1735899999999","126.97165","1237.2019399999999","0","95560.052630000006","0","95560.052630000006","0","5818.0003100000004","5645.2885800000004","172.71172999999999","435208.96372000006","861979.52248000004"
2014-02-01,"2243890.8969300003","1456418.4766100002","787472.42031999992","0","0","946727.22405999992","519612.74078999995","427083.13659999997","0","31.34667","1263.0822599999999","217.33385999999999","1045.7483999999999","0","88714.516900000002","0","88714.516900000002","0","4786.3341400000008","4629.8415300000006","156.49261000000001","435078.41459","867551.45665999991"
2014-03-01,"2235502.8831700003","1452067.7231200002","783435.16005000006","0","0","939928.58050999988","515592.59801000002","424304.48043999996","0","31.50206","1170.9201099999998","94.108249999999998","1076.8118599999998","0","88178.83898","0","88178.83898","0","8939.6769299999996","8755.6199699999997","184.05696","442818.65488999989","871309.79567999998"
2014-04-01,"2221381.5327900001","1442388.6403400002","778992.89245000004","0","0","934456.8774900001","515166.16955000005","419259.049","0","31.658939999999998","951.38961999999992","107.18567999999999","844.20393999999999","0","90013.806629999992","0","90013.806629999992","0","23867.368299999998","23707.142099999997","160.22620000000001","440287.31404999993","876844.46184"
2014-05-01,"2224005.22487","1452415.21805","771590.00681999989","0","0","927603.75503999996","513938.73706999997","413633.19855999999","0","31.819410000000001","870.78194999999982","96.045810000000003","774.73613999999986","0","90355.58067000001","0","90355.58067000001","0","8494.3222799999985","8357.5224299999991","136.79984999999999","440400.47058999998","881547.20279999997"
2014-06-01,"2249758.6555599999","1480704.9407500001","769053.71480999992","0","0","921829.9982700001","517643.80008999998","404154.21374000004","0","31.984439999999999","976.45285999999987","189.10969","787.34316999999987","0","105263.05833999999","0","105263.05833999999","0","6438.0311099999999","6288.8111200000003","149.21999","439776.25782000006","885500.91518000001"
2014-07-01,"2250552.1825600001","1484969.2367499999","765582.94581000006","0","0","905356.98103999987","517627.16862999991","387697.64708999998","0","32.165320000000001","936.89027999999996","146.50387000000001","790.38640999999996","0","99808.589380000005","0","99808.589380000005","0","4678.5184099999997","4530.9784799999998","147.53993","438859.06393000006","889137.95490000001"
2014-08-01,"2263408.3868799997","1503279.9010599998","760128.48581999994","0","0","899144.67700999998","523324.76881999994","375787.55105000001","0","32.357140000000001","878.26315","120.64970000000001","757.61344999999994","0","99504.786099999998","505","98999.786099999998","0","4563.5125399999997","4417.14635","146.36619000000002","443735.62092999998","894656.03000999999"
2014-09-01,"2262165.0423900001","1508947.86408","753217.17830999999","0","0","883753.76146000007","521939.66613999999","361781.56497000001","0","32.530349999999999","875.41670999999985","120.7283","754.68840999999986","0","106810.25956999999","0","106810.25956999999","0","4846.53766","4718.9721099999997","127.56555","453374.42518999986","897731.96076000005"
2014-10-01,"2249494.7839599997","1504193.7360999999","745301.04785999993","0","0","881730.14461000008","527320.26323000004","354377.21979","0","32.661589999999997","895.25376000000006","139.84327000000002","755.41048999999998","0","121478.52936","0","121478.52936","0","5622.6018600000007","5488.3690600000009","134.2328","448645.9681900001","903691.63152000005"
