"MES","STIC01","STIC02","STIC03","STIC04","STIC05","STIC06","STIC07","STIC08","STIC09","STIC10","STIC11","STIC12","STIC13","STIC14","STIC15","STIC16","STIC17","STIC18","STIC19","STIC20","STIC21","STIC22","STIC23","STIC24","STIC25","STIC26"
1991-01-01,,"96.899631944632688","107.95355657832536","91.735114051185391","83.734650970493362","77.461785134256118","71.494089967202086","91.574562725495824","87.917896023746835","54.600055143574401","47.894588330042559","70.496606565690087",,"82.160281984493366","94.290352417795134","65.130004801410621","99.190382382374779","114.66144470289639","79.268135124916256","91.414754180108872","116.28714511346563","89.869910287788656","84.408739733202111","50.930635839339224","87.443796161688638","88.576665200852176"
1991-02-01,,"116.10872882942729","115.68832878549706","93.309249102143085","84.286356629547896","78.164469534308608","73.152776513385149","92.705612061224556","87.183687277866056","56.19767997711353","48.458522260431863","71.022267757510861",,"81.448035767436153","94.691153790120637","66.410694198705968","99.393778629185093","117.54991381685325","84.136470583142071","89.965980524288767","118.51249960428609","87.68240300524981","84.371405843775207","51.20189865247746","86.722999580737905","90.989837280268517"
1991-03-01,,"132.73281240898027","123.88734821867926","92.913781592039399","83.63116302264784","78.060256272625608","73.726056287673558","93.813749448831601","78.719223671343826","57.654071372518978","49.424266449012748","71.083911440619076",,"77.644058995640677","92.928716184841704","67.072482420445809","99.526528873017071","120.54554211377443","88.971781093441578","81.975153995452146","110.0103560886821","79.045703354928605","86.233850170389928","52.097090465260486","76.73573007758452","89.805307043631089"
1991-04-01,,"136.26347117665355","122.60908892312567","93.576085235270099","86.958283127889203","78.317796775748135","74.604357556567294","94.303607167382765","77.006802545456424","58.434371312257682","49.782729890869625","71.244967823179479",,"79.577359659991586","94.07408903324135","67.520128007744432","99.216554293728649","120.22316181304807","76.739242260269108","83.365888259117909","108.79226851083479","79.101063361778159","85.062997903351345","52.697266482614332","76.374872690163897","89.822443930394073"
1991-05-01,,"139.71167604109866","114.54351747114529","94.589996450205533","87.774516267566128","79.537098472161333","75.0424419781354","95.171995921364399","77.621249447365571","60.132877411526792","50.608690007938321","71.499214723964315",,"79.30685138839246","94.567603386054046","67.94032241486137","99.179782867006963","120.26130281339968","69.706318618523923","84.677433788088805","109.23625520223494","79.527095816331538","89.976766117302674","53.814432297903146","77.123585993976448","89.33262387771552"
1991-06-01,,"143.4751609384856","115.35251387221032","95.386789315260401","88.027438531885323","78.462468089530987","75.055500503614837","95.407750157010142","73.431612068157207","60.820853799331687","51.004559413208973","71.770626625874598",,"78.468035103621133","94.545953855740677","68.456170292782588","100.04051923639005","119.90959074668756","75.31792546359614","79.208759697712637","103.12945380345484","75.259659926646222","90.751580975488864","54.614894527381075","73.724604191544145","88.664187988806447"
1991-07-01,,"146.99793748549112","121.53883299907159","94.39088434167472","89.327860425756228","76.654845410144191","74.946539691698234","95.353317234684482","75.829350909373787","58.253014603983331","52.082604316239241","71.67325609780012",,"79.162009740803683","93.650525899294934","68.566283688365374","99.758092136607161","121.35341144818683","86.002695336937734","82.496409803240084","106.34392982375174","76.835085681958901","90.869981005351576","52.063804418088303","76.831632098769433","91.0703848573567"
1991-08-01,,"148.28722730217518","122.21172997561872","94.821466228368791","88.613923938903824","76.981653482765083","74.070310878461186","94.448928628439177","76.009333878880966","58.820065435631768","51.929906722360499","71.547086603744532",,"79.420006679207788","93.596742691253084","68.44915722411416","99.19451693011591","122.66430773240158","92.959381640229978","82.797567627580875","105.90191579292234","76.971910889906312","92.371070353494645","53.351346957324857","76.779188520553973","91.434558429034951"
1991-09-01,,"152.36137679918127","120.0563786757566","95.930608169742129","89.24411587288364","78.561667991975682","73.748061748430629","94.588322815634996","80.527813121260621","60.812745790123365","51.990403108709685","72.153556536252154",,"82.467597856360698","95.229894567340622","69.130482933985974","99.694623819979","125.30474323876243","93.779220005156958","86.787793560639216","111.96164779566926","81.361178618187736","94.968517733657137","54.657696106026343","80.785322341355837","93.373602484044085"
1991-10-01,,"154.03873116272791","91.351029934139959","96.380445328041986","90.798330311726858","78.579899923537198","73.287547044767351","93.510198452204619","79.367620720990374","61.730953688518369","51.419862083133957","72.153321978880101",,"84.172784429939611","95.224761276759978","69.550262478224937","99.259231265006818","126.50907667300309","84.161474260954947","86.645473881051345","111.51130216577265","80.145641510537615","94.635383405756912","54.973915990332117","80.459932201574361","90.207463474243724"
1991-11-01,,"154.28934815538921","105.76932636512474","95.490045339594261","89.307572655328173","78.009810394874961","72.330441606568016","93.139835914656175","81.500458645366948","56.664220754488383","50.910556334340185","72.156628250495302",,"84.92207578752398","95.270136827367708","70.961171477401422","99.168427279153917","125.75255901138522","81.314728666087191","87.761885556576956","114.17196510269065","82.674386981031162","95.265115980676782","55.979300476915938","82.634970524141266","92.211661477705675"
1991-12-01,,"154.31837034859251","103.5167773051289","93.485156657753507","89.30471075833259","78.145701941611719","72.217483308513678","92.705441638588582","87.387254299722684","58.13305794757332","51.453183863082955","72.343122632793268",,"87.927491275185147","97.1417972133098","72.815188105589797","99.545671007286856","120.62883699111417","90.674722689622641","93.455183564978768","123.39795386034022","87.672709402260708","95.285739215982474","56.345995472357522","89.112283994295879","94.696615799627651"
1992-01-01,,"156.89980725027789","111.05566709577438","90.321623368838317","94.445414246469511","76.604756318159275","72.06488213187599","91.128611491887796","80.55746576002413","58.663877567034739","50.459563688880685","70.823190276433436",,"85.405089435341992","96.544729861471566","72.594032001678414","97.879406525216027","118.3508670957802","89.906121504387031","86.913639219256083","113.53102069308068","81.349211006748789","95.107063602245816","55.37899606202636","82.117518753498004","92.650059133550286"
