"MES","BCMP01","BCMP02","BCMP03","BCMP04","BCMP05","BCMP06","BCMP07","BCMP08","BCMP09","BCMP10","BCMP11","BCMP12","BCMP13","BCMP14","BCMP15","BCMP16","BCMP17","BCMP18","BCMP19","BCMP20","BCMP21","BCMP22","BCMP23","BCMP24","BCMP25","BCMP26","BCMP27","BCMP28","BCMP29","BCMP30","BCMP31","BCMP32","BCMP33","BCMP34","BCMP35","BCMP36","BCMP37","BCMP38","BCMP39","BCMP40","BCMP41","BCMP42","BCMP43","BCMP44","BCMP45","BCMP46","BCMP47","BCMP48"
1999-01-01,"2060518","4279835","1052061","3227763","11",,"15015101.814946","3468903","219585","3245884","3434",,"11125294","118662","10851672","154960",,"420904.814946","31663","361808.814946","27433",,"4306867","3398174","1513705",,"1376535","507934","180259","178282",,"0","1977","436663","313449",,"123214","0","291771","216652",,"75119","0","1298714","119352","3960023","11824491.185054","5269811"
1999-02-01,"2026411","4098711","1062808","3035892","11",,"15248530.675519999","3478844","249684","3225173","3987",,"11342203","119212","11081815","141176",,"427483.67551999999","36210","363646.67551999999","27627",,"4435462","3465941","1575326",,"1390430","500185","176103","175086",,"0","1017","443696","319669",,"124027","0","349722","263445",,"86277","0","1299094","120975","3944010","12276059.324480001","5327458"
1999-03-01,"1988254.2930000001","4146359","1063582","3082766","11",,"15289121.4502928","3422414","243402","3174036","4976",,"11454528","106902","11203277","144349",,"412179.45029279997","33390","351016.45029279997","27773",,"4188895.04","3328061.3109999998","1361732.4990000001",,"1491976.983","474351.82900000003","187590.86300000001","186568.39600000001",,"0","1022.467","398635.92499999999","280592.41800000001",,"118043.507","0","274606.94099999999","185019.56899999999",,"89587.372000000003","0","1317636.382","125575.219","3932194.75","11945536.1937072","5416794.0720000006"
1999-04-01,"2028298.5330000001","3946862","984675","2962176","11",,"15484668.450897601","3422143","257603","3160802","3738",,"11602724","99227","11358346","145151",,"459801.45089760004","61791","370091.45089760004","27919",,"4181014.4289999991","3286169.8029999994","1346502.88",,"1455020.2709999999","484646.652","185973.42299999998","184939.91699999999",,"0","1033.5060000000001","428547.18299999996","310988.15299999999",,"117559.03","0","280324.02","187633.79500000001",,"92690.225000000006","0","1310822.906","125692.629","3912561.8429999999","11872465.964102399","5477723.3909999998"
1999-05-01,"2031915.7830000001","4028761","1030548","2998202","11",,"15532849.6411814","3379884","221597","3155189","3098",,"11694975","87838","11468202","138935",,"457990.64118140005","53815","376161.64118140005","28014",,"4328973.97","3350372.3640000001","1383349.3130000001",,"1467337.6189999999","499685.43199999997","217482.606","216443.288",,"0","1039.318","457682.74300000002","345789.53399999999",,"111893.209","0","303436.25699999998","198356.889",,"105079.368","0","1389502.3740000001","130151.999","3811169.0070000002","12473079.7688186","5223510.5140000004"
1999-06-01,"1971375.118","3756281","968547","2787722","12",,"15508790.900083899","3294952","206716","3085061","3175",,"11748722","82465","11518608","147649",,"465116.90008389996","46013","418009.90008389996","1094",,"4449451.8290000008","3504219.1260000002","1268340.74",,"1701892.0959999999","533986.29","239371.40400000001","238328.48300000001",,"0","1042.921","423201.098","324226.06800000003",,"98975.03","0","282660.201","153318.00200000001",,"129342.19899999999","0","1488811.5360000001","130447.488","3778308.6310000001","12656124.348916098","4690055.7779999999"
1999-07-01,"2002028.85","3697590","984296","2713282","12",,"15910129.566060301","3392382","194361","3196250","1771",,"12076249","124770","11818157","133322",,"441498.56606029999","44977","395419.56606029999","1102",,"4275454.0410000002","3287868.2749999999","1260842.9720000001",,"1495601.8219999999","531423.48100000003","250191.32800000001","249135.34",,"0","1055.9880000000001","435410.95399999997","335769.49099999998",,"99641.463000000003","0","301983.48400000005","165880.50700000001",,"136102.97700000001","0","1540829.054","133623.402","3857488.094","12729672.809939701","4710071.909"
1999-08-01,"1911334.8910000001","3677303","956982","2720309","12",,"16092097.1004257","3439583","195138","3241543","2902",,"12211449","122937","11958133","130379",,"441065.10042570002","41924","398031.10042570002","1110",,"4372324.4840000002","3375606.81","1255007.8689999999",,"1595329.06","525269.88100000005","262630.70899999997","261567.05",,"0","1063.6590000000001","432697.22499999998","329797.19199999998",,"102900.033","0","301389.74","169790.77100000001",,"131598.96900000001","0","1539308.148","133507.93","3901322.7429999998","4654024.5945742996","4772563.2609999999"
1999-09-01,"1909507.2050000001","3678792","956926","2721854","12",,"16535071.915248999","3578720","219005","3356924","2791",,"12398597","119189","12148370","131038",,"557754.91524900007","45614","511025.91524900001","1115",,"4690290.5209999997","3568918.182","1161507.3149999999",,"1879165.655","528245.21200000006","266364.24899999995","265295.15399999998",,"0","1069.095","563046.97600000002","312479.12900000002",,"250567.84700000001","0","291961.114","157037.677",,"134923.43700000001","0","1536660.7760000001","137465.37400000001","3948458.9049999998","4708185.8317510001","5143528.3729999997"
1999-10-01,"1979687.7379999999","3632849","1004679","2628158","12",,"16561177.335013401","3612039","194214","3414681","3144",,"12478514","121134","12224895","132485",,"470624.33501340001","44326","425175.33501340001","1123",,"4746073.0489999987","3605068.7319999998","1423462.8489999999",,"1670237.034","511368.84899999999","287459.55300000001","286848.902",,"0","610.65099999999995","554484.83499999996","300667.99200000003",,"253816.84299999999","0","299059.929","167807.35",,"131252.579","0","1571346.835","138405.152","3980268.4109999998","4856662.0339866001","5218346.9160000002"
1999-11-01,"1944666.5160000001","4360970","990857","3370101","12",,"16361639.544895601","3637487","220702","3414313","2472",,"12242469","124419","11984744","133306",,"481683.5448956","42128","438428.5448956","1127",,"4869972.7609999999","3672065.4590000003","1585354.456",,"1628878.483","457832.52","311704.92300000001","311092.21600000001",,"0","612.70699999999999","531779.05599999998","282939.02500000002",,"248840.03099999999","0","354423.32300000003","225494.39",,"128928.933","0","1616728.182","141473.23699999999","3998320.3849999998","4804619.1071044002","5277356.7170000002"
1999-12-01,"2419177.8629999999","3735163","995036","2740115","12",,"16471880.7547778","3804947","281791","3520859","2297",,"12189679","122929","11930657","136093",,"477254.75477780006","36327","439797.75477780006","1130",,"4463499.5659999996","3332658.9780000001","1157410.2290000001",,"1715738.841","459509.908","251312.72100000002","250697.34700000001",,"0","615.37400000000002","469402.326","224959.72500000001",,"244442.601","0","410125.54099999997","212482.62599999999",,"197642.91500000001","0","1837885.0929999999","140262.64199999999","3999470.8960000002","5066550.1612221999","5347112.2039999999"
2000-01-01,"2004801.4439999999","3848472","1029231","2819229","12",,"16718561.5696011","3975649","224437","3748575","2637",,"12246295","133691","11983677","128927",,"496617.5696011","44095","451367.5696011","1155",,"4501253.25","3516332.3969999999","1251980.8130000001",,"1800260.6410000001","464090.94300000003","271523.84100000001","270904.68900000001",,"0","619.15200000000004","333524.46100000001","245038.22399999999",,"88486.236999999994","0","379872.55099999998","198292.609",,"181579.94200000001","0","1859106.247","144113.6666","3930916.5120000001","5025607.3803989002","5446424.75"
2000-02-01,"1898301.477","3800520","1013903","2786605","12",,"16686781.3844244","4043281","265417","3775786","2078",,"12111984","133558","11848708","129718",,"531516.38442440005","43884","486471.38442439999","1161",,"4666655.1604999993","3632182.2379999999","1442016.419",,"1734248.3629999999","455917.45600000001","264338.05","263715.80699999997",,"0","622.24300000000005","373866.15150000004","284916.84700000001",,"88949.304499999998","0","396268.72100000002","217360.41",,"178908.31099999999","0","1864167.0279999999","142662.715","3840694.747","5155134.4135755999","5568069.9800000004"
2000-03-01,"1899612.378","3780074.2","996732.8","2783329.4","12",,"16695062.43712","3996703","259931","3735699","1073",,"12262719","134913","11996452","131354",,"435640.43712000002","38480","395991.43712000002","1169",,"4621874.591","3645282.5440000002","1311862.6329999999",,"1873560.226","459859.685","241229.147","240602.63699999999",,"0","626.51","410269.01799999998","323717.99099999998",,"86551.027000000002","0","325093.88199999998","196515.56400000001",,"128578.318","0","1835829.2660000001","150660.08300000001","3909589.6639999999","5366237.5188800003","5529373.1639999999"
2000-04-01,"1948221.8810000001","3981092.9","1014298.6","2966782.1","12.2",,"16576062.733356703","3959868.3","229211","3729582","1075.3",,"12215939.600000001","127015.9","11964810.800000001","124112.9",,"400254.83335670002","42424","356656.83335670002","1174",,"4801539.0520000011","3852868.2610000004","1601212.0290000001",,"1793309.4620000001","458346.77","238916.54800000001","238305.432",,"0","611.11599999999999","432087.201","343489.12900000002",,"88598.072","0","277667.04200000002","172865.943",,"104801.099","0","1832340.0449999999","150628.29300000001","3705567.5760000004","5383023.5486433003","5506768.9890000001"
