"MES","BCDA01","BCDA02","BCDA03","BCDA04","BCDA05","BCDA06","BCDA07","BCDA08","BCDA09","BCDA10","BCDA11","BCDA12","BCDA13"
2000-12-01,,"2094.85","991486.03200000001",,,"7410.7970000000005","33364.256999999998","1034355.936","0","0","233508","565553.15500000003","235294.78"
2001-01-01,,"8708.4639999999999","982303.26100000006",,,"23753.095000000001","36539.813000000002","1051304.6330000001","0","0","234606","577502.58499999996","239196.04699999999"
2001-02-01,,"617.70100000000002","980991.39300000004",,,"31199.409","37137.434000000001","1049945.9369999999","0","0","235338","572297.87600000005","242310.06099999999"
2001-03-01,,"2276.1460000000002","981192.17200000002",,,"31294.526999999998","40772.645000000004","1055535.49","0","0","236802","572529.22300000011","246204.26699999999"
2001-04-01,,"28267.010999999999","977517.995",,,"59460.830999999998","44129.288","1109375.125","0","0","243024","618996.15599999996","247354.96900000001"
2001-05-01,,"18741.039000000001","980697.97199999995",,,"41379.489000000001","40240.387000000002","1081058.8870000001","0","0","239730","597966.05300000007","243362.83199999999"
2001-06-01,,"17502.685000000001","983143.19299999997",,,"33844.404000000002","43112.817999999999","1077603.1000000001","0","0","237900","589764.89300000004","249938.209"
2001-07-01,,"28267.010999999999","977517.995",,,"59460.830999999998","44129.288","1109375.125","0","0","243024","618996.15599999996","247354.96900000001"
2001-08-01,,"27697.075000000001","991248.06599999999",,,"52817.921000000002","45287.724000000002","1117050.7859999998","0","0","244488","622613.78899999987","249948.997"
2001-09-01,,"23042.641","1037926.6",,,"55023.249000000003","45393.182000000001","1161385.672","0","0","245952","662616.70600000001","252816.96599999999"
2001-10-01,,"18978.22","1341271.432",,,"41882.858","61260.567000000003","1463393.077","0","0","248148","958425.12","256819.95600000001"
2001-11-01,,"24465.02","1578118.0730000001",,,"54681.972999999998","56050.281999999999","1713315.348","0","0","249247","1204621.2879999999","259447.06"
2001-12-01,,"20240.026999999998","1738179.0460000001",,,"53195.626999999993","61856.407999999996","1873471.1080000002","0","0","249247","1364402.3759999999","259821.71"
2002-01-01,,"29599.937000000002","1697068.456",,,"43262.232000000004","65790.12","1835720.7450000001","0","0","252174","1317997.2690000001","265549.47399999999"
2002-02-01,,"22129.668000000001","1731606.463",,,"43538.335999999996","73709.841","1870984.308","0","0","254736","1345602.1320000002","270646.17499999999"
2002-03-01,,"19432.405999999999","1779397.5319999999",,,"43538.466999999997","77770.039000000004","1920138.4439999999","0","0","256566","1387770.3960000002","275802.04800000001"
2002-04-01,,"26093.653999999999","1746017.577",,,"40029.708999999995","69697.084999999992","1881838.0250000001","0","0","257664","1343826.1970000002","280347.82799999998"
2002-05-01,,"25557.117999999999","1725036.952",,,"37029.873","69808.542000000001","1857432.4849999999","0","0","258762","1324357.9169999999","274312.56800000003"
2002-06-01,,"34981.447","1776931.0149999999",,,"31023.491999999998","64722.415000000001","1907658.3689999999","0","0","261690","1367314.8819999998","278653.48599999998"
2002-07-01,,"54424.004000000001","1822989.9569999999",,,"18315.063999999998","64992.947000000007","1960721.9719999998","0","0","264252","1413652.04","282817.93"
