"MES","STCL01","STCL02","STCL03","STCL04","STCL05","STCL06","STCL07","STCL08"
1997-06-01,"5.2172999999999998","2.8640711817158784E-2","5.2272999999999996","2.8640711817158784E-2","5.2172999999999998","2.8640711817158784E-2","5.2372999999999994","2.8640711817158784E-2"
1997-07-01,"5.2316000000000003","0.27229796633407771","5.2416","0.27229796633407771","5.2316000000000003","0.27229796633407771","5.2515999999999998","0.27229796633407771"
1997-08-01,"5.2554999999999996","0.45303762676522358","5.2654999999999994","0.45303762676522358","5.2554999999999996","0.45303762676522358","5.2754999999999992","0.45303762676522358"
1997-09-01,"5.2713000000000001","0.29860336779242308","5.2812999999999999","0.29860336779242308","5.2713000000000001","0.29860336779242308","5.2912999999999997","0.29860336779242308"
1997-10-01,"5.2948000000000004","0.44216151125160491","5.3048000000000002","0.44216151125160491","5.2948000000000004","0.44216151125160491","5.3148","0.44216151125160491"
1997-11-01,"5.3173000000000004","0.42156146366140118","5.3273000000000001","0.42156146366140118","5.3173000000000004","0.42156146366140118","5.3372999999999999","0.42156146366140118"
1997-12-01,"5.3452000000000002","0.52001789308879098","5.3552","0.52001789308879098","5.3452000000000002","0.52001789308879098","5.3651999999999997","0.52001789308879098"
1998-01-01,"5.3673999999999999","0.41532589987278712","5.3773999999999997","0.41455034359128007","5.3673999999999999","0.41532589987278712","5.3873999999999995","0.41377767837171842"
1998-02-01,"5.3945999999999996","0.50676305101164942","5.4045999999999994","0.50582065682298616","5.3945999999999996","0.50676305101164942","5.4145999999999992","0.50488176114638073"
1998-03-01,"5.4273999999999996","0.60801542283024368","5.4374000000000002","0.60689042667358972","5.4273999999999996","0.60801542283024368","5.4474","0.60576958593434593"
1998-04-01,"5.4626999999999999","0.65040350812544112","5.4726999999999997","0.6492073417442068","5.4626999999999999","0.65040350812544112","5.4826999999999995","0.64801556705951224"
1998-05-01,"5.4813000000000001","0.34049096600583528","5.4912999999999998","0.33986880333292113","5.4813000000000001","0.34049096600583528","5.5012999999999996","0.33924891020846726"
1998-06-01,"5.5","0.3411599438089441","5.51","0.34053867026022644","5.5","0.3411599438089441","5.52","0.33991965535418167"
1998-07-01,"5.5216000000000003","0.39272727272727792","5.5316000000000001","0.39201451905626072","5.5216000000000003","0.39272727272727792","5.5415999999999999","0.39130434782608248"
1998-08-01,"5.5365000000000002","0.2698493190379514","5.5465","0.2693614867307792","5.5365000000000002","0.2698493190379514","5.5564999999999998","0.26887541504259094"
1998-09-01,"5.5576999999999996","0.38291339293776705","5.5676999999999994","0.38222302352834969","5.5576999999999996","0.38291339293776705","5.5776999999999992","0.3815351390263455"
1998-10-01,"5.5842000000000001","0.47681594904367408","5.5941999999999998","0.47595955241841459","5.5842000000000001","0.47681594904367408","5.6041999999999996","0.47510622658084589"
1998-11-01,"5.6032999999999999","0.34203646001218502","5.6132999999999997","0.34142504737049162","5.6032999999999999","0.34203646001218502","5.6232999999999995","0.34081581670890593"
1998-12-01,"5.6261000000000001","0.40690307497368572","5.6360999999999999","0.40617818395596306","5.6261000000000001","0.40690307497368572","5.6460999999999997","0.4054558711077183"
1999-01-01,"5.641","0.26483709852296311","5.6574","0.37792090275190482","5.641","0.26483709852296311","5.6673999999999998","0.37725155417014378"
1999-02-01,"5.6631999999999998","0.39354724339655256","5.6832000000000003","0.45603987697528936","5.6631999999999998","0.39354724339655256","5.6932","0.45523520485584168"
1999-03-01,"5.6928999999999998","0.52443848001129112","5.7128999999999994","0.5225929054053946","5.6928999999999998","0.52443848001129112","5.7229000000000001","0.52167498067869911"
1999-04-01,"5.7229999999999999","0.52872876741203445","5.7429999999999994","0.52687776785871332","5.7229999999999999","0.52872876741203445","5.7530000000000001","0.52595711964213976"
1999-05-01,"5.7538999999999998","0.5399266119168189","5.7738999999999994","0.53804631725578034","5.7538999999999998","0.5399266119168189","5.7839","0.5371110724839312"
1999-06-01,"5.7786999999999997","0.43101200924591243","5.7986999999999993","0.42951904258818896","5.7786999999999997","0.43101200924591243","5.8087","0.4287764311277753"
1999-07-01,"5.8177000000000003","0.67489227680967989","5.8376999999999999","0.67256454032802448","5.8177000000000003","0.67","5.8476999999999997","0.67"
1999-08-01,"5.8513000000000002","0.57754782817951433","5.8712999999999997","0.57556914538259285","5.8513000000000002","0.57754782817951433","5.8813000000000004","0.57458487952528614"
1999-09-01,"5.8863000000000003","0.59815767436295353","5.9062999999999999","0.59612010968610463","5.8863000000000003","0.59815767436295353","5.9162999999999997","0.59510652406780107"
