"MES","BPCA01","BPCA02","BPCA03","BPCA04","BPCA05","BPCA06","BPCA07","BPCA08","BPCA09","BPCA10"
2006-10-01,"2095294.7747199999",1854885.15804,1343918.98464,217983.17567,195311.18638,238669.62623,319789.04273,102036.83233,16130.78454,6384019.56528
2006-11-01,"2215378.736035082",1961190.94386518,1420940.66068731,230476.063806942,206504.714485272,252348.080693343,338116.55230025,107884.690671491,17055.259955132,6749895.7025
2006-12-01,"2317679.94961",2241625.27851,1551450.48752,260009.30007,229128.72301,294907.91422,421831.59478,119933.35746,22718.40495,7459285.01013
2007-01-01,"2295045.7075499999",2209650.38932,1550633.66758,266976.4772,241395.79456,289535.83803,398587.40948,121370.55329,20200.85783,7393396.69484
2007-02-01,"2264348.3659199998",2369233.51832,1607718.90527,269167.74772,245776.84102,293358.34577,394490.07,122943.40896,21508.92294,7588546.12592
2007-03-01,"2384649.1731300005",2361765.49117,1665732.03298,291408.72491,231550.26389,304099.5231,382234.98629,126688.74564,21913.05,7770041.99111
2007-04-01,"2334907.6083599995",2321429.73485,1715889.47423,298029.60696,232789.58773,309623.04532,384299.58773,126215.52963,26087.11316,7749271.28797
2007-05-01,"2438730.0181700001",2576931.27597,1739572.10506,303548.83195,244612.45944,307172.33384,381495.57797,122364.61819,25170.20781,8139597.4284
2007-06-01,"2467672.3087300002",2578614.28938,1771106.89069,311376.4045,251601.70242,318666.2427,394400.96555,121191.18703,24557.71223,8239187.70323
2007-07-01,"2518240.8659799998",2647131.70748,1791319.72353,311357.25798,250785.94046,319276.94696,400199.57574,123184.7487,26370.63322,8387867.40005
2007-08-01,"2526594.4744099998",3037811.03472,1877781.30752,323210.03213,263883.52176,336716.04492,413825.23423,125529.47993,26957.15655,8932308.28617
2007-09-01,"2640964.00232",3113521.22821,1949542.44813,330533.09046,265197.13872,340267.81593,417635.83284,133602.21563,29208.13943,9220471.91167
2007-10-01,"2653253.2419900005",3246421.82601,2022808.92574,345145.55608,271400.03992,356394.16783,434251.45514,145535.37396,29213.30405,9504423.89072
2007-11-01,"2739781.2189600007",3229479.34494,2055118.3278,355662.04945,298719.88379,368182.64586,433442.6455,154307.53125,28102.16863,9662795.81618
2007-12-01,"2980220.0241699996",3479125.25793,2191044.85226,386362.52892,296048.58498,403379.44642,492283.06104,169018.26582,36607.86939,10434089.89093
2008-01-01,"3127649.1094900002",3592039.23139,2275560.37582,399670.77579,309621.34072,416473.78764,507175.2757,173760.72079,34508.05348,10836458.67082
2008-02-01,"3323487.0019299998",3777573.38899,2391663.9095,412772.27072,323961.02438,430742.48098,506965.9896,178486.12672,36341.01149,11381993.20431
2008-03-01,"3415105.9712799997",3831713.60657,2452117.09868,425063.71649,337763.30881,433409.70625,497669.01639,183033.74839,36895.8508,11612772.02366
2008-04-01,"3592923.7047799998",3997006.24979,2442366.32209,426976.64385,359036.9799,453599.65412,517655.47564,193102.95386,37751.30301,12020419.28704
2008-05-01,"3904777.2",4378401.82518,2516048.27453,447779.73539,343226.06157,466561.66747,537402.61311,186977.10656,37669.58923,12818844.07304
2008-06-01,"3965100.5895000002",4388825.65977,2615406.7426,471541.9848,340156.87695,468231.73434,566958.68667,194981.71225,40768.74616,13051972.73304
2008-07-01,"4122628.22474",4445725.58175,2678213.5085,478551.73181,369832.46675,482356.67841,573272.07798,194157.22199,39447.22275,13384184.71468
2008-08-01,"4126093.2579100006",4654565.30024,2615982.01266,490417.49426,383994.68315,483045.89496,581391.24582,199265.3479,43286.10941,13578041.34631
2008-09-01,"4257292.0456799995",4439895.63536,2636568.42754,499349.78358,391695.58341,484870.76157,569653.24037,195933.99636,40264.8815,13515524.35537
2008-10-01,"4268388.9596899999",4403217.66057,2662645.5639,516910.77171,404020.7057,472453.82956,567347.91114,184554.41234,35403.98424,13514943.79885
2008-11-01,"4285493.2013100013",4347154.97563,2697473.62639,510853.81401,388952.77474,474415.93858,570698.80986,183837.92376,41431.20523,13500312.26951
2008-12-01,"4583598.2445099996",4483715.00662,2876560.31379,565566.33419,426581.26832,539320.38192,657705.35714,203887.08453,50925.92376,14387859.91478
2009-01-01,"4745444.8560800003",4323680.74841,2822874.5257,564909.81403,411134.60425,512601.94534,684526.08762,192238.22685,37492.94555,14294903.75383
2009-02-01,"5113030.1005699998",4233538.25359,2824686.99207,546211.6469,384960.87359,515793.30255,623972.02022,179417.91882,33120.411,14454731.51931
2009-03-01,"4904065.575050001",4315522.29137,2779108.44649,549596.45683,376536.05899,513565.70056,600185.03551,185895.49405,31003.43619,14255478.49504
2009-04-01,"4799876.5464399997",4525037.21106,2758701.24136,551787.99204,384532.15604,513999.78508,607021.27342,182395.6553,33121.04791,14356472.90865
2009-05-01,"4730124.6240499998",4371372.74966,2789978.44063,539133.1205,391806.45036,517452.69791,607119.73591,179605.8132,35658.57088,14162252.2031
2009-06-01,"5120669.8374499995",4756674.19977,2861375.78669,542690.05085,380684.14398,527382.97167,601186.90494,183719.95976,35583.21504,15009967.07015
