"MES","BCOP01","BCOP02","BCOP03","BCOP04","BCOP05","BCOP06","BCOP07","BCOP08","BCOP09","BCOP10","BCOP11","BCOP12","BCOP13","BCOP14","BCOP15","BCOP16","BCOP17","BCOP18","BCOP19","BCOP20","BCOP21","BCOP22","BCOP23","BCOP24","BCOP25","BCOP26","BCOP27","BCOP28","BCOP29","BCOP30"
2001-04-01,"1300398.8600000001","462","195","267","0","352503","18632","333871","0",,"940918","843","940075","0",,"6515.86","1966.3879999999999","4549.4719999999998","102766","0","6456","96310","1735","1339","396","-","0","10261","264384","246044"
2001-05-01,"1318028.3799999999","466","189","277","0","356749","14986","341763","0",,"955058","1170","953888","0",,"5755.38","1242.721","4512.6589999999997","104391","0","6217","98174","1773","1348","425","-","0","10011","265299","245651"
2001-06-01,"1374327.1129999999","499","234","265","0","375100","13662","361438","0",,"992906","1188","991718","0",,"5822.1130000000003","1347.354","4474.759","103589","0","9769","93820","1906","1470","436","-","0","8151","269035","257720"
2001-07-01,"1413803.4839999999","517","233","284","0","393397","13741","379656","0",,"1016226","868","1015358","0",,"3663.4839999999999","1282.364","2381.12","103108","0","9070","94038","1790","1353","437","-","0","8006","273536","263769"
2001-08-01,"1443035.48","675","326","349","0","406715","14304","392411","0",,"1031019","867","1030152","0",,"4626.4799999999996","1231.633","3394.8470000000002","102348","0","9308","93040","1766","1343","423","-","0","5254","275976","264042"
2001-09-01,"1463488.2109999999","803","355","448","0","416087","14343","401744","0",,"1041406","879","1040527","0",,"5192.2110000000002","2260.9690000000001","2931.2420000000002","103762","0","10835","92927","1776","1397","379","-","0","4598","284128","264672"
2001-10-01,"1485167.7220000001","826","301","525","0","432129","15084","417045","0",,"1049165","1417","1047748","0",,"3047.7219999999998","1447.037","1600.6849999999999","100682","0","7367","93315","1830","1389","441","-","0","4553","298478","264163"
2001-11-01,"1490902.388","608","218","390","0","437535","16076","421459","0",,"1049797","1421","1048376","0",,"2962.3879999999999","1813.0409999999999","1149.347","103262","0","9525","93737","1897","1385","512","-","0","4541","300873","263681"
2001-12-01,"1515824.2050000001","947","441","506","0","465588","18376","447212","0",,"1046097","1427","1044670","0",,"3192.2049999999999","2115.6999999999998","1076.5050000000001","114511","0","10533","103978","4787","4314","473","-","0","4541","296464","262657"
2002-01-01,"1549463.064","1237","698","539","0","481466","17754","463712","0",,"1064004","1412","1062592","0",,"2756.0640000000003","1745.3530000000001","1010.711","130293","0","15275","115018","4477","4018","459","-","0","4579","303853","263554"
