"MES","BCCA01","BCCA02","BCCA03","BCCA04","BCCA05","BCCA06","BCCA07","BCCA08","BCCA09","BCCA10","BCCA11","BCCA12","BCCA13","BCCA14","BCCA15","BCCA16"
2001-03-01,"6674558.2929999996","1580303.973","2001719.061","3092535.2590000001","800201.61899999995",,"4792713.0429999996","4792713.0429999996","0","0","0","2631575.8059999999","2163505.3849999998","468070.42099999997","916470.63600000006","15815519.396999998"
2001-04-01,"6810721.4069999997","1614788.7590000001","2087928.6029999999","3108004.0449999999","803911.98199999996",,"4814062.4819999998","4814062.4819999998","0","0","0","2638919.361","2190581.642","448337.71899999998","916497.15599999996","15984112.387999998"
2001-05-01,"6946140.0029999996","1666568.281","2023684.814","3255886.9079999998","810095.92099999997",,"4848342.2850000001","4848342.2850000001","0","0","0","2627988.5609999998","2180677.0929999999","447311.46799999999","913104.81900000002","16145671.589"
2001-06-01,"7418011.0460000001","1664934.62","2488442.807","3264633.6189999999","813806.28399999999",,"4873444.7980000004","4873444.7980000004","0","0","0","2783695.895","2360293.2579999999","423402.63699999999","912789.26599999995","16801747.289000001"
2001-07-01,"7537837.2679999992","1660166.9609999999","2461106.8670000001","3416563.44","821227.01",,"4916262.9570000004","4916262.9570000004","0","0","0","2665622.9330000002","2224184.3650000002","441438.56800000003","939606.22","16880556.388"
2001-08-01,"7513613.9519999996","1707798.4879999999","2273382.0099999998","3532433.4539999999","834156.76",,"4938554.22","4938554.22","0","0","0","2572102.5120000001","2205119.4350000001","366983.07699999999","988959.397","16847386.841000002"
2001-09-01,"7425697.699","1828437.733","2155735.0490000001","3441524.9169999999","839151.71100000001",,"4966244.608","4966244.608","0","0","0","2589866.5190000003","2214282.1370000001","375584.38199999998","1030387.754","16851348.291000001"
2001-10-01,"7411465.8589999992","1784926.034","2192193.13","3434346.6949999998","846644.13699999999",,"5012024.1370000001","5012024.1370000001","0","0","0","2679421.2209999999","2288980.8339999998","390440.38699999999","1033681.856","16983237.209999997"
2001-11-01,"7931943.1339999996","1757018.6089999999","2605965.102","3568959.423","850390.35",,"5030199.4469999997","5030199.4469999997","0","0","0","2608747.1710000001","2225289.915","383457.25599999999","1038603.948","17459884.049999997"
2001-12-01,"7689999.9619999994","1767888.084","2339689.0449999999","3582422.8330000001","850390.35",,"5436458.3789999997","5436458.3789999997","0","0","0","2617547.2409999999","2235109.6719999998","382437.56900000002","1047888.013","17642283.945"
2002-01-01,"7931349.4810000006","1771759.7290000001","2500668.9709999999","3658920.781","860380.25100000005",,"5597572.1270000003","5597572.1270000003","0","0","0","2639367.4819999998","2249688.7009999999","389678.78100000002","883048.40599999996","17911717.747000001"
2002-02-01,"7641200.4780000001","1890158.3770000001","1995220.334","3755821.767","869121.41500000004",,"5634881.5710000005","5634881.5710000005","0","0","0","2680024.6720000003","2274147.145","405877.527","893452.78300000005","17718680.919"
2002-03-01,"7185510.0429999996","1913857.2709999999","2073372.4029999999","3198280.3689999999","875365.103",,"5603408.6160000004","5603408.6160000004","0","0","0","2768335.63","2351463.7620000001","416871.86800000002","911079.93400000001","17343699.326000001"
2002-04-01,"7014409.9500000002","1990240.7749999999","1692461.56","3331707.6150000002","879111.31599999999",,"5635657.5829999996","5635657.5829999996","0","0","0","2771717.3840000001","2360833.4530000002","410883.93099999998","957313.36399999994","17258209.596999999"
2002-05-01,"7368862.8819999993","2110282.625","1695243.0209999999","3563337.236","882857.52899999998",,"5638004.0539999995","5638004.0539999995","0","0","0","2737960.9019999998","2320595.162","417365.74","968801.92200000002","17596487.288999997"
2002-06-01,"6889740.6999999993","2080241.4650000001","1885133.4380000001","2924365.7969999998","892847.43",,"5692919.733","5692919.733","0","0","0","3191099.6","2742016.855","449082.745","618954.72699999996","17285562.189999998"
2002-07-01,"6344413.9249999998","2012084.983","3911479.24","420849.70199999999","901588.59400000004",,"5440189.6210000003","5440189.6210000003","0","0","0","4884289.5049999999","4262915.6030000001","621373.902","629554.31599999999","18200035.960999999"
